compound_id	BIOCHEMICAL
CPD000056	1-methylurate
CPD000057	1-methylxanthine
CPD000058	1-myristoyl-2-arachidonoyl-GPC (14:0/20:4)*
CPD000059	1-myristoyl-2-palmitoyl-GPC (14:0/16:0)
CPD000060	1-oleoyl-2-arachidonoyl-GPE (18:1/20:4)*
CPD000061	1-oleoyl-2-docosahexaenoyl-GPC (18:1/22:6)*
CPD000062	1-oleoyl-2-docosahexaenoyl-GPE (18:1/22:6)*
CPD000063	1-oleoyl-2-linoleoyl-GPE (18:1/18:2)*
CPD000064	1-oleoyl-GPC (18:1)
CPD000065	1-oleoyl-GPE (18:1)
CPD000066	1-oleoyl-GPG (18:1)*
CPD000067	1-oleoyl-GPI (18:1)
CPD000068	1-oleoyl-GPS (18:1)
CPD000069	1-oleoylglycerol (18:1)
CPD000070	1-palmitoleoyl-2-linolenoyl-GPC (16:1/18:3)*
CPD000071	1-palmitoleoyl-2-linoleoyl-GPC (16:1/18:2)*
CPD000072	1-palmitoleoyl-GPC* (16:1)*
CPD000073	1-palmitoleoylglycerol (16:1)*
CPD000074	1-palmitoyl-2-arachidonoyl-GPC (16:0/20:4n6)
CPD000075	1-palmitoyl-2-arachidonoyl-GPE (16:0/20:4)*
CPD000076	1-palmitoyl-2-arachidonoyl-GPI (16:0/20:4)*
CPD000077	1-palmitoyl-2-dihomo-linolenoyl-GPC (16:0/20:3n3 or 6)*
CPD000078	1-palmitoyl-2-docosahexaenoyl-GPC (16:0/22:6)
CPD000079	1-palmitoyl-2-docosahexaenoyl-GPE (16:0/22:6)*
CPD000080	1-palmitoyl-2-linoleoyl-GPC (16:0/18:2)
CPD000081	1-palmitoyl-2-linoleoyl-GPE (16:0/18:2)
CPD000082	1-palmitoyl-2-linoleoyl-GPI (16:0/18:2)
CPD000083	1-palmitoyl-2-oleoyl-GPC (16:0/18:1)
CPD000084	1-palmitoyl-2-oleoyl-GPE (16:0/18:1)
CPD000085	1-palmitoyl-2-oleoyl-GPI (16:0/18:1)*
CPD000086	1-palmitoyl-2-palmitoleoyl-GPC (16:0/16:1)*
CPD000087	1-palmitoyl-2-stearoyl-GPC (16:0/18:0)
CPD000088	1-palmitoyl-2-stearoyl-GPE (16:0/18:0)*
CPD000089	1-palmitoyl-GPC (16:0)
CPD000090	1-palmitoyl-GPE (16:0)
CPD000091	1-palmitoyl-GPG (16:0)*
CPD000092	1-palmitoyl-GPI* (16:0)
CPD000093	1-palmitoylglycerol (16:0)
CPD000094	1-ribosyl-imidazoleacetate*
CPD000095	1-stearoyl-2-arachidonoyl-GPC (18:0/20:4)
CPD000096	1-stearoyl-2-arachidonoyl-GPE (18:0/20:4)
CPD000097	1-stearoyl-2-arachidonoyl-GPI (18:0/20:4)
CPD000098	1-stearoyl-2-arachidonoyl-GPS (18:0/20:4)
CPD000099	1-stearoyl-2-docosahexaenoyl-GPC (18:0/22:6)
CPD000100	1-stearoyl-2-docosahexaenoyl-GPE (18:0/22:6)*
CPD000101	1-stearoyl-2-linoleoyl-GPC (18:0/18:2)*
CPD000102	1-stearoyl-2-linoleoyl-GPE (18:0/18:2)*
CPD000103	1-stearoyl-2-linoleoyl-GPI (18:0/18:2)
CPD000104	1-stearoyl-2-oleoyl-GPC (18:0/18:1)
CPD000105	1-stearoyl-2-oleoyl-GPE (18:0/18:1)
CPD000106	1-stearoyl-2-oleoyl-GPI (18:0/18:1)*
CPD000107	1-stearoyl-2-oleoyl-GPS (18:0/18:1)
CPD000108	1-stearoyl-GPC (18:0)
CPD000109	1-stearoyl-GPE (18:0)
CPD000110	1-stearoyl-GPG (18:0)
CPD000111	1-stearoyl-GPI (18:0)
CPD000112	1-stearoyl-GPS (18:0)*
CPD000113	10,11-dihydro-10-hydroxycarbamazepine
CPD000114	10-heptadecenoate (17:1n7)
CPD000115	10-hydroxywarfarin
CPD000116	10-nonadecenoate (19:1n9)
CPD000117	10-undecenoate (11:1n1)
CPD000118	11beta-hydroxyandrosterone glucuronide
CPD000119	12,13-DiHOME
CPD000120	12-HETE
CPD000121	13-HODE + 9-HODE
CPD000122	14-HDoHE/17-HDoHE
CPD000123	16-hydroxypalmitate
CPD000124	16a-hydroxy DHEA 3-sulfate
CPD000125	17alpha-hydroxypregnenolone 3-sulfate
CPD000126	2'-deoxyuridine
CPD000127	2'-O-methylcytidine
CPD000128	2'-O-methyluridine
CPD000129	2,3-dihydroxy-2-methylbutyrate
CPD000130	2,3-dihydroxy-5-methylthio-4-pentenoate (DMTPA)*
CPD000131	2,3-dihydroxyisovalerate
CPD000132	2,4-di-tert-butylphenol
CPD000133	2,6-dihydroxybenzoic acid
CPD000134	2-acetamidophenol sulfate
CPD000135	2-aminoadipate
CPD000136	2-aminobutyrate
CPD000137	2-aminoheptanoate
CPD000138	2-aminooctanoate
CPD000139	2-aminophenol sulfate
CPD000140	2-arachidonoylglycerol (20:4)
CPD000141	2-butenoylglycine
CPD000142	2-hydroxy-3-methylvalerate
CPD000143	2-hydroxy-4-(methylthio)butanoic acid
CPD000144	2-hydroxyacetaminophen sulfate*
CPD000145	2-hydroxyarachidate*
CPD000146	2-hydroxybehenate
CPD000147	2-hydroxybutyrate/2-hydroxyisobutyrate
CPD000148	2-hydroxycarbamazepine
CPD000149	2-hydroxydecanoate
CPD000150	2-hydroxyglutarate
CPD000151	2-hydroxyhippurate (salicylurate)
CPD000152	2-hydroxyibuprofen
CPD000153	2-hydroxynervonate*
CPD000154	2-hydroxyoctanoate
CPD000155	2-hydroxypalmitate
CPD000156	2-hydroxyphenylacetate
CPD000157	2-hydroxysebacate
CPD000158	2-hydroxystearate
CPD000159	2-keto-3-deoxy-gluconate
CPD000160	2-ketocaprylate
CPD000161	2-linoleoylglycerol (18:2)
CPD000162	2-methoxyacetaminophen glucuronide*
CPD000163	2-methoxyacetaminophen sulfate*
CPD000164	2-methoxyresorcinol sulfate
CPD000165	2-methylbutyrylcarnitine (C5)
CPD000166	2-methylserine
CPD000167	2-naphthol sulfate
CPD000168	2-O-methylascorbic acid
CPD000169	2-oxoarginine*
CPD000170	2-palmitoleoyl-GPC* (16:1)*
CPD000171	2-palmitoyl-GPC* (16:0)*
CPD000172	2-piperidinone
CPD000173	2-stearoyl-GPE (18:0)*
CPD000174	21-hydroxypregnenolone disulfate
CPD000175	21-hydroxypregnenolone monosulfate (1)
CPD000176	2R,3R-dihydroxybutyrate
CPD000177	2S,3R-dihydroxybutyrate
CPD000178	3,4-dihydroxybutyrate
CPD000179	3,4-methyleneheptanoate
CPD000180	3,5-dichloro-2,6-dihydroxybenzoic acid
CPD000181	3,7-dimethylurate
CPD000182	3-(3-amino-3-carboxypropyl)uridine*
CPD000183	3-(3-hydroxyphenyl)propionate
CPD000184	3-(4-hydroxyphenyl)lactate (HPLA)
CPD000185	3-(cystein-S-yl)acetaminophen*
CPD000186	3-(methylthio)acetaminophen sulfate*
CPD000187	3-(N-acetyl-L-cystein-S-yl) acetaminophen
CPD000188	3-amino-2-piperidone
CPD000189	3-aminoisobutyrate
CPD000190	3-bromo-5-chloro-2,6-dihydroxybenzoic acid*
CPD000191	3-carboxy-4-methyl-5-pentyl-2-furanpropionate (3-CMPFP)
CPD000192	3-carboxy-4-methyl-5-propyl-2-furanpropanoate (CMPF)
CPD000193	3-formylindole
CPD000194	3-hydroxy-2-ethylpropionate
CPD000195	3-hydroxy-2-methylpyridine sulfate
CPD000196	3-hydroxy-3-methylglutarate
CPD000197	3-hydroxyadipate*
CPD000198	3-hydroxybutyrate (BHBA)
CPD000199	3-hydroxybutyroylglycine
CPD000200	3-hydroxycotinine glucuronide
CPD000201	3-hydroxydecanoate
CPD000202	3-hydroxydecanoylcarnitine
CPD000203	3-hydroxydodecanedioate*
CPD000204	3-hydroxyhexanoate
CPD000205	3-hydroxyhexanoylcarnitine (1)
CPD000206	3-hydroxyhippurate
CPD000207	3-hydroxyisobutyrate
CPD000208	3-hydroxylaurate
CPD000209	3-hydroxymyristate
CPD000210	3-hydroxyoctanoate
CPD000211	3-hydroxyoleoylcarnitine
CPD000212	3-hydroxypyridine glucuronide
CPD000213	3-hydroxypyridine sulfate
CPD000214	3-hydroxysebacate
CPD000215	3-hydroxystachydrine*
CPD000216	3-indoxyl sulfate
CPD000217	3-methoxycatechol sulfate (1)
CPD000218	3-methoxycatechol sulfate (2)
CPD000219	3-methoxytyrosine
CPD000220	3-methyl catechol sulfate (1)
CPD000221	3-methyl-2-oxobutyrate
CPD000222	3-methyl-2-oxovalerate
CPD000223	3-methyladipate
CPD000224	3-methylcytidine
CPD000225	3-methylglutaconate
CPD000226	3-methylglutarylcarnitine (2)
CPD000227	3-methylhistidine
CPD000228	3-methylxanthine
CPD000229	3-phenylpropionate (hydrocinnamate)
CPD000230	3-phosphoglycerate
CPD000231	3-ureidopropionate
CPD000232	3b-hydroxy-5-cholenoic acid
CPD000233	3beta-hydroxy-5-cholestenoate
CPD000234	4-acetamidobenzoate
CPD000235	4-acetamidobutanoate
CPD000236	4-acetamidophenol
CPD000237	4-acetamidophenylglucuronide
CPD000238	4-acetaminophen sulfate
CPD000239	4-acetylcatechol sulfate (1)
CPD000240	4-acetylphenyl sulfate
CPD000241	4-allylcatechol sulfate
CPD000242	4-allylphenol sulfate
CPD000243	4-cholesten-3-one
CPD000244	4-ethylcatechol sulfate
CPD000245	4-ethylphenyl sulfate
CPD000246	4-guanidinobutanoate
CPD000247	4-hydroxy duloxetine glucuronide*
CPD000248	4-hydroxy-2-oxoglutaric acid
CPD000249	4-hydroxychlorothalonil
CPD000250	4-hydroxycoumarin
CPD000251	4-hydroxyglutamate
CPD000252	4-hydroxyhippurate
CPD000253	4-hydroxyphenylacetate
CPD000254	4-hydroxyphenylacetatoylcarnitine
CPD000255	4-hydroxyphenylacetylglutamine
CPD000256	4-hydroxyphenylpyruvate
CPD000257	4-methoxyphenol sulfate
CPD000258	4-methyl-2-oxopentanoate
CPD000259	4-methylbenzenesulfonate
CPD000260	4-methylcatechol sulfate
CPD000261	4-methylguaiacol sulfate
CPD000262	4-oxo-retinoic acid
CPD000263	4-vinylguaiacol sulfate
CPD000264	4-vinylphenol sulfate
CPD000265	5,6-dihydrothymine
CPD000266	5,6-dihydrouridine
CPD000267	5-(galactosylhydroxy)-L-lysine
CPD000268	5-acetylamino-6-amino-3-methyluracil
CPD000269	5-acetylamino-6-formylamino-3-methyluracil
CPD000270	5-dodecenoate (12:1n7)
CPD000271	5-dodecenoylcarnitine (C12:1)
CPD000272	5-hydroxy-2-methylpyridine sulfate
CPD000273	5-hydroxy-6-methoxy duloxetine sulfate*
CPD000274	5-hydroxyindole glucuronide
CPD000275	5-hydroxyindole sulfate
CPD000276	5-hydroxylysine
CPD000277	5-methylthioadenosine (MTA)
CPD000278	5-methyluridine (ribothymidine)
CPD000279	5-oxoproline
CPD000280	5alpha-androstan-3alpha,17alpha-diol monosulfate
CPD000281	5alpha-androstan-3alpha,17beta-diol disulfate
CPD000282	5alpha-androstan-3alpha,17beta-diol monosulfate (1)
CPD000283	5alpha-androstan-3alpha,17beta-diol monosulfate (2)
CPD000284	5alpha-androstan-3beta,17alpha-diol disulfate
CPD000285	5alpha-androstan-3beta,17beta-diol disulfate
CPD000286	5alpha-androstan-3beta,17beta-diol monosulfate (2)
CPD000287	5alpha-pregnan-3alpha,20beta-diol disulfate
CPD000288	5alpha-pregnan-3beta,20alpha-diol disulfate
CPD000289	5alpha-pregnan-3beta,20alpha-diol monosulfate (1)
CPD000290	5alpha-pregnan-3beta,20alpha-diol monosulfate (2)
CPD000291	5alpha-pregnan-3beta,20beta-diol monosulfate (1)
CPD000292	5alpha-pregnan-3beta-ol,20-one sulfate
CPD000293	5alpha-pregnan-diol disulfate
CPD000294	6-bromotryptophan
CPD000295	6-hydroxyindole sulfate
CPD000296	6-hydroxywarfarin
CPD000297	6-oxopiperidine-2-carboxylate
CPD000298	7-HOCA
CPD000299	7-hydroxywarfarin
CPD000300	7-methylguanine
CPD000301	7-methylurate
CPD000302	7-methylxanthine
CPD000303	8-methoxykynurenate
CPD000304	9,10-DiHOME
CPD000305	9-hydroxystearate
CPD000306	acesulfame
CPD000307	acetoacetate
CPD000308	acetylcarnitine (C2)
CPD000309	acisoga
CPD000310	aconitate [cis or trans]
CPD000311	adenine
CPD000312	adenosine 3',5'-cyclic monophosphate (cAMP)
CPD000313	ADP
CPD000314	adenosine 5'-diphosphoribose (ADP-ribose)
CPD000315	AMP
CPD000316	adipoylcarnitine (C6-DC)
CPD000317	adrenate (22:4n6)
CPD000318	adrenoylcarnitine (C22:4)*
CPD000319	alanine
CPD000320	allantoin
CPD000321	alliin
CPD000322	allopurinol
CPD000323	allopurinol riboside
CPD000324	alpha-CEHC
CPD000325	alpha-CEHC glucuronide*
CPD000326	alpha-CEHC sulfate
CPD000327	alpha-hydroxyisocaproate
CPD000328	alpha-hydroxyisovalerate
CPD000329	alpha-hydroxymetoprolol
CPD000330	alpha-ketobutyrate
CPD000331	alpha-ketoglutaramate*
CPD000332	alpha-ketoglutarate
CPD000333	alpha-tocopherol
CPD000334	andro steroid monosulfate C19H28O6S (1)*
CPD000335	androstenediol (3alpha, 17alpha) monosulfate (2)
CPD000336	androstenediol (3alpha, 17alpha) monosulfate (3)
CPD000337	androstenediol (3beta,17beta) disulfate (1)
CPD000338	androstenediol (3beta,17beta) disulfate (2)
CPD000339	androstenediol (3beta,17beta) monosulfate (1)
CPD000340	androstenediol (3beta,17beta) monosulfate (2)
CPD000341	androsterone glucuronide
CPD000342	androsterone sulfate
CPD000343	anthranilate
CPD000344	arabinose
CPD000345	arabitol/xylitol
CPD000346	arabonate/xylonate
CPD000347	arachidate (20:0)
CPD000348	arachidonate (20:4n6)
CPD000349	arachidonoylcarnitine (C20:4)
CPD000350	arachidonoylcholine
CPD000351	arachidoylcarnitine (C20)*
CPD000352	argininate*
CPD000353	arginine
CPD000354	ascorbic acid 2-sulfate
CPD000355	ascorbic acid 3-sulfate*
CPD000356	asparagine
CPD000357	aspartate
CPD000358	azelate (C9-DC)
CPD000359	azithromycin
CPD000360	behenoyl dihydrosphingomyelin (d18:0/22:0)*
CPD000361	behenoyl sphingomyelin (d18:1/22:0)*
CPD000362	behenoylcarnitine (C22)*
CPD000363	benzoate
CPD000364	beta-alanine
CPD000365	beta-citrylglutamate
CPD000366	beta-cryptoxanthin
CPD000367	beta-hydroxyisovalerate
CPD000368	beta-sitosterol
CPD000369	betaine
CPD000370	bilirubin (E,E)*
CPD000371	bilirubin (E,Z or Z,E)*
CPD000372	bilirubin
CPD000373	biliverdin
CPD000374	bradykinin
CPD000375	bradykinin, des-arg(9)
CPD000376	branched chain 14:0 dicarboxylic acid
CPD000377	branched-chain, straight-chain, or cyclopropyl 10:1 fatty acid (1)*
CPD000378	branched-chain, straight-chain, or cyclopropyl 10:1 fatty acid (2)*
CPD000379	branched-chain, straight-chain, or cyclopropyl 12:1 fatty acid*
CPD000380	butyrate/isobutyrate (4:0)
CPD000381	butyrylcarnitine (C4)
CPD000382	butyrylglycine (C4)
CPD000383	C-glycosyltryptophan
CPD000384	caffeic acid sulfate
CPD000385	caffeine
CPD000386	campesterol
CPD000387	caprate (10:0)
CPD000388	caproate (6:0)
CPD000389	caprylate (8:0)
CPD000390	carbamazepine
CPD000391	carbamazepine 10,11-epoxide*
CPD000392	carboxyethyl-GABA
CPD000393	carboxyibuprofen
CPD000394	carboxyibuprofen glucuronide*
CPD000395	carnitine
CPD000396	carnosine
CPD000397	carotene diol (1)
CPD000398	carotene diol (2)
CPD000399	carotene diol (3)
CPD000400	catechol sulfate
CPD000401	celecoxib
CPD000402	ceramide (d16:1/24:1, d18:1/22:1)*
CPD000403	ceramide (d18:1/14:0, d16:1/16:0)*
CPD000404	ceramide (d18:1/17:0, d17:1/18:0)*
CPD000405	ceramide (d18:2/24:1, d18:1/24:2)*
CPD000406	cerotoylcarnitine (C26)*
CPD000407	cetirizine
CPD000408	chenodeoxycholate
CPD000409	chiro-inositol
CPD000410	cholate
CPD000411	cholesterol
CPD000412	cholic acid glucuronide
CPD000413	choline
CPD000414	phosphocholine
CPD000415	cimetidine
CPD000416	cinnamoylglycine
CPD000417	cis-4-decenoate (10:1n6)*
CPD000418	cis-4-decenoylcarnitine (C10:1)
CPD000419	citalopram N-oxide*
CPD000420	citalopram propionate*
CPD000421	citalopram/escitalopram
CPD000422	citraconate/glutaconate
CPD000423	citrate
CPD000424	citrulline
CPD000425	corticosterone
CPD000426	cortisol
CPD000427	cortisone
CPD000428	cortolone glucuronide (1)
CPD000429	cotinine
CPD000430	cotinine N-oxide
CPD000431	creatine
CPD000432	creatinine
CPD000433	cyclo(gly-pro)
CPD000434	cyclobenzaprine
CPD000435	cys-gly, oxidized
CPD000436	cystathionine
CPD000437	cysteine
CPD000438	cysteine s-sulfate
CPD000439	cysteine sulfinic acid
CPD000440	cysteine-glutathione disulfide
CPD000441	cysteinylglycine
CPD000442	cysteinylglycine disulfide*
CPD000443	cystine
CPD000444	cytidine
CPD000445	De(carboxymethoxy) cetirizine acetic acid
CPD000446	decadienedioic acid (C10:2-DC)
CPD000447	decanoylcarnitine (C10)
CPD000448	dehydroepiandrosterone sulfate (DHEA-S)
CPD000449	delta-CEHC
CPD000450	delta-CEHC glucuronide
CPD000451	delta-tocopherol
CPD000452	deoxycarnitine
CPD000453	deoxycholate
CPD000454	deoxycholic acid 12-sulfate*
CPD000455	deoxycholic acid glucuronide
CPD000456	desmethylcitalopram*
CPD000457	desmethylnaproxen
CPD000458	desmethylnaproxen sulfate
CPD000459	diacylglycerol (16:1/18:2 [2], 16:0/18:3 [1])*
CPD000460	dibutyl sulfosuccinate
CPD000461	dihomolinoleate (20:2n6)
CPD000462	dihomolinolenate (20:3n3 or 3n6)
CPD000463	dihomo-linolenoyl-choline
CPD000464	dihomo-linolenoylcarnitine (C20:3n3 or 6)*
CPD000465	dihomo-linoleoylcarnitine (C20:2)*
CPD000466	dihydrocaffeate sulfate (2)
CPD000467	dihydroorotate
CPD000468	dimethyl sulfone
CPD000469	dimethylarginine (ADMA + SDMA)
CPD000470	dimethylglycine
CPD000471	diphenhydramine
CPD000472	docosadienoate (22:2n6)
CPD000473	docosadioate (C22-DC)
CPD000474	docosahexaenoate (DHA; 22:6n3)
CPD000475	docosahexaenoylcholine
CPD000476	docosapentaenoate (DPA; 22:5n3)
CPD000477	docosapentaenoate (n6 DPA; 22:5n6)
CPD000478	docosatrienoate (22:3n3)
CPD000479	dodecadienoate (12:2)*
CPD000480	dodecanedioate (C12)
CPD000481	dodecenedioate (C12:1-DC)*
CPD000482	dopamine 3-O-sulfate
CPD000483	doxycycline
CPD000484	doxylamine
CPD000485	duloxetine
CPD000486	ectoine
CPD000487	EDTA
CPD000488	eicosanedioate (C20-DC)
CPD000489	eicosapentaenoate (EPA; 20:5n3)
CPD000490	eicosenedioate (C20:1-DC)*
CPD000491	eicosenoate (20:1n9 or 1n11)
CPD000492	eicosenoylcarnitine (C20:1)*
CPD000493	epiandrosterone sulfate
CPD000494	equol sulfate
CPD000495	ergothioneine
CPD000496	erucate (22:1n9)
CPD000497	erythritol
CPD000498	erythronate*
CPD000499	ethyl alpha-glucopyranoside
CPD000500	ethyl beta-glucopyranoside
CPD000501	ethyl glucuronide
CPD000502	ethylmalonate
CPD000503	ethylparaben sulfate
CPD000504	etiocholanolone glucuronide
CPD000505	eugenol sulfate
CPD000506	fexofenadine
CPD000507	ADSGEGDFXAEGGGVR*
CPD000508	DSGEGDFXAEGGGVR*
CPD000509	ADpSGEGDFXAEGGGVR*
CPD000510	Fibrinopeptide B (1-13)
CPD000511	FAD
CPD000512	fluconazole
CPD000513	fluoxetine
CPD000514	formiminoglutamate
CPD000515	fructose
CPD000516	fructosyllysine
CPD000517	fucitol
CPD000518	fumarate
CPD000519	gabapentin
CPD000520	galactonate
CPD000521	gamma-CEHC
CPD000522	gamma-CEHC glucuronide*
CPD000523	gamma-glutamyl-2-aminobutyrate
CPD000524	gamma-glutamyl-alpha-lysine
CPD000525	gamma-glutamyl-epsilon-lysine
CPD000526	gamma-glutamylalanine
CPD000527	gamma-glutamylcitrulline*
CPD000528	gamma-glutamylglutamate
CPD000529	gamma-glutamylglutamine
CPD000530	gamma-glutamylglycine
CPD000531	gamma-glutamylhistidine
CPD000532	gamma-glutamylisoleucine*
CPD000533	gamma-glutamylleucine
CPD000534	gamma-glutamylmethionine
CPD000535	gamma-glutamylphenylalanine
CPD000536	gamma-glutamylthreonine
CPD000537	gamma-glutamyltryptophan
CPD000538	gamma-glutamyltyrosine
CPD000539	gamma-glutamylvaline
CPD000540	gamma-tocopherol/beta-tocopherol
CPD000541	genistein sulfate*
CPD000542	gentisate
CPD000543	ginkgolic acid C15:1
CPD000544	GlcNAc sulfate conjugate of C21H34O2 steroid
CPD000545	gluconate
CPD000546	glucose
CPD000547	glucuronate
CPD000548	glucuronide of C10H14O2 (4)*
CPD000549	glucuronide of C10H14O2 (7)*
CPD000550	glucuronide of C10H18O2 (1)*
CPD000551	glucuronide of C10H18O2 (7)*
CPD000552	glucuronide of C10H18O2 (8)*
CPD000553	glucuronide of piperine metabolite C17H21NO3 (3)*
CPD000554	glucuronide of piperine metabolite C17H21NO3 (4)*
CPD000555	glucuronide of piperine metabolite C17H21NO3 (5)*
CPD000556	glutamate
CPD000557	glutamate, gamma-methyl ester
CPD000558	glutamine
CPD000559	glutamine conjugate of C6H10O2 (1)*
CPD000560	glutamine conjugate of C6H10O2 (2)*
CPD000561	glutamine conjugate of C7H12O2*
CPD000562	glutarate (C5-DC)
CPD000563	glutarylcarnitine (C5-DC)
CPD000564	glycerate
CPD000565	glycerol
CPD000566	glycerol 3-phosphate
CPD000567	glycerophosphoethanolamine
CPD000568	glycerophosphorylcholine (GPC)
CPD000569	glycine
CPD000570	glycine conjugate of C10H12O2*
CPD000571	glycine conjugate of C10H14O2 (1)*
CPD000572	glyco-beta-muricholate
CPD000573	glycochenodeoxycholate
CPD000574	glycochenodeoxycholate 3-sulfate
CPD000575	glycochenodeoxycholate glucuronide (1)
CPD000576	glycocholate
CPD000577	glycocholate glucuronide (1)
CPD000578	glycocholenate sulfate*
CPD000579	glycodeoxycholate
CPD000580	glycodeoxycholate 3-sulfate
CPD000581	glycohyocholate
CPD000582	glycolithocholate
CPD000583	glycolithocholate sulfate*
CPD000584	glycosyl ceramide (d18:1/20:0, d16:1/22:0)*
CPD000585	glycosyl ceramide (d18:1/23:1, d17:1/24:1)*
CPD000586	glycosyl ceramide (d18:2/24:1, d18:1/24:2)*
CPD000587	glycosyl-N-behenoyl-sphingadienine (d18:2/22:0)*
CPD000588	glycosyl-N-palmitoyl-sphingosine (d18:1/16:0)
CPD000589	glycosyl-N-stearoyl-sphingosine (d18:1/18:0)
CPD000590	glycoursodeoxycholate
CPD000591	glycoursodeoxycholic acid sulfate (1)
CPD000592	guaiacol sulfate
CPD000593	guaifenesin
CPD000594	guanidinoacetate
CPD000595	guanidinosuccinate
CPD000596	gulonate*
CPD000597	heme
CPD000598	heptanoate (7:0)
CPD000599	heptenedioate (C7:1-DC)*
CPD000600	hexadecadienoate (16:2n6)
CPD000601	hexadecanedioate (C16)
CPD000602	hexadecenedioate (C16:1-DC)*
CPD000603	hexanoylcarnitine (C6)
CPD000604	hexanoylglutamine
CPD000605	hexanoylglycine (C6)
CPD000606	hippurate
CPD000607	histidine
CPD000608	homoarginine
CPD000609	homocitrulline
CPD000610	homostachydrine*
CPD000611	hydantoin-5-propionate
CPD000612	hydrochlorothiazide
CPD000613	hydroquinone sulfate
CPD000614	hydroxy-CMPF*
CPD000615	hydroxy-N6,N6,N6-trimethyllysine*
CPD000616	hydroxyasparagine
CPD000617	hydroxybupropion
CPD000618	hydroxycotinine
CPD000619	hydroxypalmitoyl sphingomyelin (d18:1/16:0(OH))
CPD000620	hyocholate
CPD000621	hypotaurine
CPD000622	hypoxanthine
CPD000623	ibuprofen
CPD000624	ibuprofen acyl glucuronide
CPD000625	imidazole lactate
CPD000626	imidazole propionate
CPD000627	iminodiacetate (IDA)
CPD000628	indoleacetate
CPD000629	indoleacetoylcarnitine*
CPD000630	indoleacetylglutamine
CPD000631	indolelactate
CPD000632	indolepropionate
CPD000633	indolin-2-one
CPD000634	inosine
CPD000635	inosine 5'-monophosphate (IMP)
CPD000636	isobutyrylcarnitine (C4)
CPD000637	isobutyrylglycine (C4)
CPD000638	isocitric lactone
