compound_id	BIOCHEMICAL	KEGG
CPD00003	alpha-ketoglutarate	C00026
CPD00015	Alpha-ketoisovaleric acid	C00141
CPD00222	Alpha-N-Phenylacetyl-glutamine	C04148
CPD00153	Amino-cyanobutanoate	C05715
CPD00543	Anthraniloyl-CoA	C02247
CPD00541	Arabinonate	C00545
CPD00354	Arabinono-1,4-lactone	C01114
CPD00029	Arabitol	C00532
CPD00304	Arachidonic Acid (peroxide free)	C00219
CPD00189	Arginine	C00062
CPD00337	Aryl sulfate	C00850
CPD00016	Asparagine	C00152
CPD00318	Azelaic acid	C08261
CPD00204	Betaine	C00719
CPD00306	Bilirubin	C00486
CPD00307	Bilirubin_2	C00486
CPD00028	Biliverdin	C00500
CPD00145	Bis(5'-adenosyl) pentaphosphate	C04058
CPD00118	Butyl lactate	NA
CPD00356	Caffeic Acid	C01197
CPD00351	Camphor	C00808
CPD00352	Camphor_2	C00808
CPD00044	Capric acid	C01571
CPD00065	Caprylic acid	C06423
CPD00365	Car(10:0)	NA
CPD00366	Car(10:1)	NA
CPD00367	Car(10:2)	NA
CPD00368	Car(11:0)	NA
CPD00369	Car(11:1)	NA
CPD00370	Car(12:0)	NA
CPD00371	Car(12:1)	NA
CPD00372	Car(12:2)	NA
CPD00373	Car(13:0)	NA
CPD00374	Car(13:1)	NA
CPD00375	Car(14:0)	NA
CPD00376	Car(14:1)	NA
CPD00377	Car(14:2)	NA
CPD00378	Car(14:3)	NA
CPD00379	Car(15:0)	NA
CPD00380	Car(16:1)	NA
CPD00381	Car(16:2)	NA
CPD00382	Car(17:0)	NA
CPD00383	Car(18:1)	NA
CPD00384	Car(18:3)	NA
CPD00385	Car(20:0)	NA
CPD00386	Car(20:3)	NA
CPD00387	Car(20:4)	NA
CPD00388	Car(22:0)	NA
CPD00389	Car(24:0)	NA
CPD00390	Car(24:1)	NA
CPD00391	Car(26:0)	NA
CPD00392	Car(26:1)	NA
CPD00393	Car(5:0)	NA
CPD00394	Car(6:0)	NA
CPD00395	Car(8:0)	NA
CPD00396	Car(8:1)	NA
CPD00397	Car(9:0)	NA
CPD00398	Car(9:1)	NA
CPD00199	Carnitine	C00318
CPD00251	CDP	C00112
CPD00340	Cellobiose	C00185
CPD00053	Chenodeoxycholate	C02528
CPD00071	Cholesteryl sulfate	C18043
CPD00032	Cholic acid	C00695
CPD00253	Chorismate	C00251
CPD00168	cis-9,10-Epoxystearic acid	C19418
CPD00091	Citraconic acid	C02226
CPD00092	Citraconic acid_2	C02226
CPD00303	Citrate	C00158
CPD00023	Citrulline	C00327
CPD00359	Corticosterone	C02140
CPD00360	Corticosterone_2	C02140
CPD00348	Cortisol	C00735
CPD00350	Cortisone	C00762
CPD00247	Cotinine	NA
CPD00033	Creatinine	C00791
CPD00137	Cys-Gly	C01419
CPD00131	Cystathionine	C00542
CPD00202	Cystine	C00491
CPD00129	Cytidine	C00475
CPD00254	Cytidine_2	C00475
CPD00201	Cytosine	C00380
CPD00214	Dehydroandrosterone	C01227
CPD00097	Dehydroisoandrosterone sulfate	C04555
CPD00316	Deoxycholic acid	C04483
CPD00358	Dethiobiotin	C01909
CPD00349	Diacetyl	C00741
CPD00353	Dihydrothymine	C00906
CPD00210	Dimethylglycine	C01026
CPD00364	Docosahexaenoic acid	C06429
CPD00110	Docosatetraenoic acid	C16527
CPD00054	Dodecanoic acid	C02679
CPD00257	Dopaquinone	C00822
CPD00197	EDTA	C00284
CPD00119	Eicosenoic acid	NA
CPD00120	Eicosenoic acid_2	NA
CPD00320	Epinephrine	D00095
CPD00399	Erucamide	NA
CPD00400	Erucamide_2	NA
CPD00067	Erucic acid	C08316
CPD00103	Erythro-4-Hydroxyglutamic acid	C05947
CPD00224	Flavone	C15608
CPD00229	Formononetine	C00858
CPD00051	Fructose	C02336
CPD00038	Galactose	C00984
CPD00031	Gentisic acid	C00628
CPD00172	Glucaro-1,5-lactone	C20890
CPD00017	Glucuronate	C00191
CPD00002	Glutamate	C00025
CPD00190	Glutamine	C00064
CPD00280	Glutamylaminopropiononitrile	C06114
CPD00133	Glutamylcysteine	C00669
CPD00100	Glutamylglutamine	C05283
CPD00401	Glutamylphenylalanine	NA
CPD00090	Glyceraldehyde	C02154
CPD00018	Glyceric acid	C00258
CPD00203	Glycerophosphocholine	C00670
CPD00062	Glycochenodeoxycholate	C05466
CPD00338	Glycochenodeoxycholate 7-sulfate	C15559
CPD00551	Glycochenodeoxycholate 7-sulfate_2	C15559
CPD00049	Glycocholic acid	C01921
CPD00060	Glycodeoxycholic acid	C05464
CPD00078	Glycolate	C00160
CPD00134	Gulonate	C00800
CPD00085	Gulonic gamma-lactone	C01040
CPD00075	Heptadecanoic acid	NA
CPD00045	Hippuric acid	C01586
CPD00262	Histidinal	C01929
CPD00013	Histidine	C00135
CPD00207	Histidinol	C00860
CPD00231	Homoarginine	C01924
CPD00232	Homoarginine_2	C01924
CPD00289	Homophenylalanine	C17235
CPD00020	Homoserine	C00263
CPD00282	Homospermidine	C06366
CPD00281	Homospermidine_2	C06366
CPD00402	Homoveratric acid	NA
CPD00548	Hordenine	C06199
CPD00055	hydrocortisone 21-acetate	C02821
CPD00555	Hydroxy-3-Oxo-5beta-Cholanoyl Glycine	NA
CPD00099	Hydroxyacetone	C05235
CPD00098	Hydroxyacetone_2	C05235
CPD00317	Hydroxybutyric acid	C05984
CPD00546	Hydroxydecanoyl-CoA	C05264
CPD00076	Hydroxyisocaproic acid	NA
CPD00057	Hydroxyphenyllactic acid	C03672
CPD00041	Hydroxyproline	C01157
CPD00019	Hypoxanthine	C00262
CPD00336	IMP	C00130
CPD00345	Indole	C00463
CPD00344	Indole_2	C00463
CPD00346	Indole_3	C00463
CPD00132	Indole-3-acetaldehyde	C00637
CPD00106	Indole-3-carboxaldehyde	C08493
CPD00037	Indoleacetic acid	C00954
CPD00403	Indoleacrylic acid	NA
CPD00314	Indolelactic acid	C02043
CPD00539	Indolepyruvate	C00331
CPD00164	Indolylmethylthiohydroximoyl-cysteine	C16518
CPD00321	Indoxyl sulfate	NA
CPD00022	Inosine	C00294
CPD00295	Inosine 5'-Sulfate	NA
CPD00014	Inositol	C00137
CPD00288	Isoglutamine	C16673
CPD00026	Isoleucine	C00407
CPD00166	Isoniazid pyruvate	C16624
CPD00165	Isonicotinylglycine	C16623
CPD00238	Isoxanthopterin	C03975
CPD00047	Kynurenic acid	C01717
CPD00200	Kynurenine	C00328
CPD00042	Lactate	C01432
CPD00012	Leucine	C00123
CPD00312	Linoleic acid	C01595
CPD00404	Linolenic acid	NA
CPD00405	Linolenic acid_2	NA
CPD00095	Lithocholic acid	C03990
CPD00096	Lithocholic acid_2	C03990
CPD00322	LPA(16:0)	NA
CPD00323	LPA(18:0)	NA
CPD00324	LPA(18:2)	NA
CPD00406	LPC(14:0)	NA
CPD00407	LPC(15:0)	NA
CPD00408	LPC(16:0)	NA
CPD00409	LPC(16:0)_2	NA
CPD00410	LPC(16:1)	NA
CPD00411	LPC(17:0)	NA
CPD00412	LPC(17:1)	NA
CPD00413	LPC(17:2)	NA
CPD00414	LPC(18:0)	NA
CPD00415	LPC(18:0)_2	NA
CPD00416	LPC(18:1)	NA
CPD00417	LPC(18:2)	NA
CPD00418	LPC(18:3)	NA
CPD00419	LPC(19:0)	NA
CPD00420	LPC(20:1)	NA
CPD00421	LPC(20:2)	NA
CPD00422	LPC(20:3)	NA
CPD00423	LPC(20:4)	NA
CPD00424	LPC(20:5)	NA
CPD00425	LPC(22:4)	NA
CPD00426	LPC(22:5)	NA
CPD00427	LPC(22:6)	NA
CPD00428	LPC(O-16:0)	NA
CPD00430	LPC(O-16:1)	NA
CPD00429	LPC(O-16:1)_2	NA
CPD00431	LPC(O-18:0)	NA
CPD00432	LPC(O-18:1)	NA
CPD00433	LPC(O-18:1)_2	NA
CPD00434	LPE(16:0)	NA
CPD00435	LPE(18:0)	NA
CPD00436	LPE(18:1)	NA
CPD00437	LPE(18:2)	NA
CPD00438	LPE(18:3)	NA
CPD00439	LPE(20:3)	NA
CPD00440	LPE(20:4)	NA
CPD00441	LPE(20:5)	NA
CPD00442	LPE(22:5)	NA
CPD00443	LPE(22:6)	NA
CPD00444	LPE(O-18:2)	NA
CPD00445	LPE(P-16:0)	NA
CPD00446	LPE(P-18:0)	NA
CPD00325	LPI(18:2)	NA
CPD00326	LPI(20:4)	NA
CPD00188	Lysine	C00047
CPD00079	Malonic acid	C00383
CPD00005	Methionine	C00073
CPD00339	Methyl-5'-thioadenosine	C00170
CPD00315	Methylmalonic acid	C02170
CPD00248	Methyprylon	NA
CPD00121	N-(2-Furoyl)glycine	NA
CPD00223	N1-Methyl-2-pyridone-5-carboxamide	C05842
CPD00151	N6-(delta2-Isopentenyl)-adenosine 5'-monophosphate	C04713
CPD00221	N6,N6,N6-Trimethyllysine	C03793
CPD00218	N6-Methyllysine	C02728
CPD00077	N-Acetylalanine	NA
CPD00285	N-Acetylaspartylglutamate	C12270
CPD00291	N-Acetylaspartylglutamylglutamate	C20776
CPD00290	N-Acetylbialaphos	C17951
CPD00252	N-Acetyl-glucosamine	C00140
CPD00081	N-Acetylglutamic acid	C00624
CPD00158	N-Acetylisoniazid	C07585
CPD00093	N-Acetyllysine	C02727
CPD00021	N-Acetylneuraminic acid	C00270
CPD00217	N-Acetylputrescine	C02714
CPD00127	NAD+	C00003
CPD00068	Nervonic acid	C08323
CPD00219	NG,NG-dimethyl-arginine(ADMA)	C03626
CPD00266	N-Glucosylnicotinate	C03003
CPD00192	Nicotinamide	C00153
CPD00155	Nicotinate ribonucleoside	C05841
CPD00205	Nicotine	C00745
CPD00162	Nicotinic acid adenine dinucleotide phosphate	C13051
CPD00265	N-Methylalanine	C02721
CPD00258	N-Methyl-glutamate	C01077
CPD00122	N-Methylisoleucine	NA
CPD00249	N-Methylproline	NA
CPD00123	N-Methylthreonine	NA
CPD00124	N-Methylvaline	NA
CPD00362	Normetanephrine	C05589
CPD00171	O-Carbamoyladenylate	C20684
CPD00277	Octopine	C04137
CPD00308	Oleic acid	C00712
CPD00294	Ophthalmate	C21016
CPD00301	Ornithine	C00077
CPD00169	P1,P6-Bis(5'-adenosyl)hexaphosphate	C20190
CPD00305	Palmitic acid	C00249
CPD00361	Palmitoylcarnitine	C02990
CPD00036	Pantothenate	C00864
CPD00363	Pantothenol	C05944
CPD00447	PC(16:0/16:0)	NA
CPD00448	PC(18:0)	NA
CPD00449	PC(22:2)	NA
CPD00450	PC(25:1)	NA
CPD00225	PC(32:0)	NA
CPD00451	PC(32:1)	NA
CPD00452	PC(33:5)	NA
CPD00454	PC(34:1)	NA
CPD00453	PC(34:1)_2	NA
CPD00458	PC(34:1)_3	NA
CPD00455	PC(34:1)_4	NA
CPD00456	PC(34:1)_5	NA
CPD00457	PC(34:1)_6	NA
CPD00327	PC(34:2)	NA
CPD00328	PC(34:2)_2	NA
CPD00459	PC(34:2)_3	NA
CPD00461	PC(34:2)_4	NA
CPD00462	PC(34:2)_5	NA
CPD00463	PC(34:2)_6	NA
CPD00464	PC(34:2)_7	NA
CPD00460	PC(34:2)_8	NA
CPD00465	PC(34:6)	NA
CPD00466	PC(35:5)	NA
CPD00467	PC(36:1)	NA
CPD00329	PC(36:2)	NA
CPD00468	PC(36:2)_2	NA
CPD00469	PC(36:2)_3	NA
CPD00470	PC(36:2)_4	NA
CPD00472	PC(36:3)	NA
CPD00471	PC(36:3)_2	NA
CPD00330	PC(36:4)	NA
CPD00473	PC(36:4)_2	NA
CPD00474	PC(36:5)	NA
CPD00475	PC(38:3)	NA
CPD00331	PC(38:4)	NA
CPD00479	PC(38:6)	NA
CPD00480	PC(38:6)_2	NA
CPD00481	PC(38:6)_3	NA
CPD00476	PC(38:6)_4	NA
CPD00477	PC(38:6)_5	NA
CPD00478	PC(38:6)_6	NA
CPD00482	PC(38:6)_7	NA
CPD00484	PC(40:6)	NA
CPD00483	PC(40:6)_2	NA
CPD00485	PC(40:7)	NA
CPD00486	PC(42:10)	NA
CPD00487	PC(42:6)	NA
CPD00488	PC(42:9)	NA
CPD00489	PC(42:9)_2	NA
CPD00490	PC(42:9)_3	NA
CPD00491	PC(O-18:2)	NA
CPD00492	PC(O-20:2)	NA
CPD00493	PC(O-30:2)	NA
CPD00494	PC(O-30:3)	NA
CPD00495	PC(O-33:3)	NA
CPD00496	PC(O-38:4)	NA
CPD00497	PC(O-38:6)	NA
CPD00498	PC(O-38:6)_2	NA
CPD00499	PC(O-38:7)	NA
CPD00500	PC(O-40:7)	NA
CPD00501	PC(O-40:7)_2	NA
CPD00502	PC(O-42:8)	NA
CPD00332	PC(P-18:0)	NA
CPD00503	PC(P-19:0)	NA
CPD00504	PC(P-20:0)	NA
CPD00505	PC(P-34:4)	NA
CPD00506	PC(P-36:3)	NA
CPD00507	PC(P-36:4)	NA
CPD00509	PC(P-38:4)	NA
CPD00510	PC(P-38:4)_2	NA
CPD00508	PC(P-38:4)_3	NA
CPD00334	PE(36:2)	NA
CPD00333	PE(36:2)_2	NA
CPD00335	PE(38:4)	NA
CPD00511	PE(38:6)	NA
CPD00046	Pelargonic acid	C01601
CPD00070	Pentadecanoic Acid	C16537
CPD00239	Phenethylamine	C05332
CPD00302	Phenol	C00146
CPD00007	Phenylalanine	C00079
CPD00347	Phosphorylcholine	C00588
CPD00089	Phthalic acid	C01606
CPD00154	Phycocyanobilin	C05786
CPD00542	Phytanoyl-CoA	C02060
CPD00156	Phytochromobilin	C05913
CPD00343	Pipecolic acid	C00408
CPD00072	pregnenolone sulfate	C18044
CPD00191	Proline	C00148
CPD00125	Proline-hydroxyproline	NA
CPD00236	Propionylcarnitine	C03017
CPD00050	Pseudouridine	C02067
CPD00227	Pyridine	C00747
CPD00228	Pyridine_2	C00747
CPD00250	Pyridoxal phosphate	C00018
CPD00048	Pyroglutamic acid	C01879
CPD00080	Pyruvaldehyde	C00546
CPD00001	Pyruvate	C00022
CPD00196	Riboflavin	C00255
CPD00105	Riluzole	C07937
CPD00512	S1P(d18:1)	NA
CPD00513	S1P(d18:2)	NA
CPD00034	Salicylic acid	C00805
CPD00341	Sarcosine	C00213
CPD00004	Serine	C00065
CPD00515	SM(d32:1)	NA
CPD00514	SM(d32:1)_2	NA
CPD00516	SM(d32:2)	NA
CPD00518	SM(d33:1)	NA
CPD00517	SM(d33:1)_2	NA
CPD00519	SM(d34:0)	NA
CPD00521	SM(d34:0)_2	NA
CPD00520	SM(d34:0)_3	NA
CPD00523	SM(d34:1)	NA
CPD00526	SM(d34:1)_2	NA
CPD00527	SM(d34:1)_3	NA
CPD00528	SM(d34:1)_4	NA
CPD00529	SM(d34:1)_5	NA
CPD00525	SM(d34:1)_6	NA
CPD00522	SM(d34:1)_7	NA
CPD00530	SM(d34:1)_8	NA
CPD00524	SM(d34:1)_9	NA
CPD00531	SM(d36:2)	NA
CPD00532	SM(d36:2)_2	NA
CPD00533	SM(d38:5)	NA
CPD00260	sn-Glycero-3-phospho-1-inositol	C01225
CPD00206	Sphinganine	C00836
CPD00355	Sphinganine 1-phosphate	C01120
CPD00226	Sphingomyelin (36:0)	NA
CPD00342	Sphingosine	C00319
CPD00311	Stearic acid	C01530
CPD00534	Stearoylcarnitine	NA
CPD00136	Succinyl-homoserine	C01118
CPD00009	Sucrose	C00089
CPD00237	Targinine	C03884
CPD00030	Tartaric acid	C00552
CPD00195	Taurine	C00245
CPD00061	Taurochenodeoxycholate	C05465
CPD00059	Taurodeoxycholic acid	C05463
CPD00157	Tetradecanoic acid	C06424
CPD00101	Tetrahydrocorticosterone	C05476
CPD00066	Theophylline	C07130
CPD00144	threo-3-Methylaspartate	C03618
CPD00313	Threonate	C01620
CPD00194	Threonine	C00188
CPD00215	Thyroxine	C01829
CPD00039	Trehalose	C01083
CPD00283	Triethanolamine	C06771
CPD00209	Trigonelline	C01004
CPD00006	Tryptophan	C00078
CPD00540	Tyramine	C00483
CPD00008	Tyrosine	C00082
CPD00182	Tyrosine O-Sulfate	NA
CPD00535	Ubiquinone (Q2)	NA
CPD00537	Ubiquinone (Q2)_2	NA
CPD00536	Ubiquinone (Q2)_3	NA
CPD00010	Uracil	C00106
CPD00024	Uric acid	C00366
CPD00198	Uridine	C00299
CPD00256	Urocanate	C00785
CPD00104	Ursodeoxycholic acid	C07880
CPD00126	Vaccenic acid	NA
CPD00193	Valine	C00183
CPD00025	Xanthine	C00385
CPD00255	Xanthosine 5'-phosphate	C00655
CPD00130	Xylonate	C00502
