chemical_name	analysismode	mz	rt	compound_id
169.08497_4.172	HILIC_POS	169.08497	4.172	C000040
152.05844_4.168	HILIC_POS	152.05844	4.168	C000041
314.14134_2.802	HILIC_POS	314.14134	2.802	C000042
247.08425_2.93	HILIC_POS	247.08425	2.93	C000043
282.16775_1.441	HILIC_POS	282.16775	1.441	C000044
312.07783_2.526	HILIC_POS	312.07783	2.526	C000045
143.09453_3.733	HILIC_POS	143.09453	3.733	C000046
151.04763_2.67	HILIC_POS	151.04763	2.67	C000047
170.06893_1.68	HILIC_POS	170.06893	1.68	C000048
131.09454_1.59	HILIC_POS	131.09454	1.59	C000049
117.07854_3.784	HILIC_POS	117.07854	3.784	C000050
117.07902_3.881	HILIC_POS	117.07902	3.881	C000051
264.19665_3.806	HILIC_POS	264.19665	3.806	C000052
147.08941_3.934	HILIC_POS	147.08941	3.934	C000053
243.12018_1.708	HILIC_POS	243.12018	1.708	C000054
136.03813_1.223	HILIC_POS	136.03813	1.223	C000055
412.13681_3.158	HILIC_POS	412.13681	3.158	C000056
120.03239_1.683	HILIC_POS	120.03239	1.683	C000057
272.11914_3.178	HILIC_POS	272.11914	3.178	C000058
423.1529_1.303	HILIC_POS	423.1529	1.303	C000059
429.16376_3.184	HILIC_POS	429.16376	3.184	C000060
171.08937_3.097	HILIC_POS	171.08937	3.097	C000061
161.06871_1.934	HILIC_POS	161.06871	1.934	C000062
203.11564_4.167	HILIC_POS	203.11564	4.167	C000063
75.06906_4.425	HILIC_POS	75.06906	4.425	C000064
311.12296_2.203	HILIC_POS	311.12296	2.203	C000065
145.07381_3.672	HILIC_POS	145.07381	3.672	C000066
137.04759_3.403	HILIC_POS	137.04759	3.403	C000067
294.09564_2.201	HILIC_POS	294.09564	2.201	C000068
113.04789_3.637	HILIC_POS	113.04789	3.637	C000069
263.18842_3.121	HILIC_POS	263.18842	3.121	C000070
145.07369_3.587	HILIC_POS	145.07369	3.587	C000071
113.04753_3.59	HILIC_POS	113.04753	3.59	C000072
267.99096_4.52	HILIC_POS	267.99096	4.52	C000073
253.05179_0.844	HILIC_POS	253.05179	0.844	C000074
256.10584_2.011	HILIC_POS	256.10584	2.011	C000075
239.07931_1.999	HILIC_POS	239.07931	1.999	C000076
171.08933_4.161	HILIC_POS	171.08933	4.161	C000077
169.07375_1.553	HILIC_POS	169.07375	1.553	C000078
206.14183_1.201	HILIC_POS	206.14183	1.201	C000079
137.04757_3.822	HILIC_POS	137.04757	3.822	C000080
93.05834_4.968	HILIC_POS	93.05834	4.968	C000081
151.0632_1.534	HILIC_POS	151.0632	1.534	C000082
210.10019_1.478	HILIC_POS	210.10019	1.478	C000083
175.06333_1.546	HILIC_POS	175.06333	1.546	C000084
113.04831_3.605	HILIC_POS	113.04831	3.605	C000085
343.11703_1.125	HILIC_POS	343.11703	1.125	C000086
546.3256_2.54	HILIC_POS	546.3256	2.54	C000087
189.04249_1.797	HILIC_POS	189.04249	1.797	C000088
228.14719_4.206	HILIC_POS	228.14719	4.206	C000089
267.99073_4.637	HILIC_POS	267.99073	4.637	C000090
345.11492_1.122	HILIC_POS	345.11492	1.122	C000091
188.15231_6.029	HILIC_POS	188.15231	6.029	C000092
309.07829_2.545	HILIC_POS	309.07829	2.545	C000093
165.11528_3.489	HILIC_POS	165.11528	3.489	C000094
156.06473_1.898	HILIC_POS	156.06473	1.898	C000095
131.06946_3.903	HILIC_POS	131.06946	3.903	C000096
181.05998_1.851	HILIC_POS	181.05998	1.851	C000097
268.05159_2.577	HILIC_POS	268.05159	2.577	C000098
246.06983_2.538	HILIC_POS	246.06983	2.538	C000099
747.47684_2.733	HILIC_POS	747.47684	2.733	C000100
184.12115_1.925	HILIC_POS	184.12115	1.925	C000101
140.03363_1.89	HILIC_POS	140.03363	1.89	C000102
125.08407_3.097	HILIC_POS	125.08407	3.097	C000103
203.07937_1.95	HILIC_POS	203.07937	1.95	C000104
221.08994_1.945	HILIC_POS	221.08994	1.945	C000105
150.13678_4.422	HILIC_POS	150.13678	4.422	C000106
253.1092_3.448	HILIC_POS	253.1092	3.448	C000107
247.15702_4.064	HILIC_POS	247.15702	4.064	C000108
136.08883_3.504	HILIC_POS	136.08883	3.504	C000109
136.08831_3.508	HILIC_POS	136.08831	3.508	C000110
148.03829_2.608	HILIC_POS	148.03829	2.608	C000111
167.05007_1.616	HILIC_POS	167.05007	1.616	C000112
203.07919_2.028	HILIC_POS	203.07919	2.028	C000113
528.39173_3.84	HILIC_POS	528.39173	3.84	C000114
563.35225_2.528	HILIC_POS	563.35225	2.528	C000115
253.05175_1.973	HILIC_POS	253.05175	1.973	C000116
414.16148_1.277	HILIC_POS	414.16148	1.277	C000117
270.10034_1.108	HILIC_POS	270.10034	1.108	C000118
225.07492_2.086	HILIC_POS	225.07492	2.086	C000119
295.06261_0.745	HILIC_POS	295.06261	0.745	C000120
188.15225_6.107	HILIC_POS	188.15225	6.107	C000121
268.08062_1.228	HILIC_POS	268.08062	1.228	C000122
218.08006_1.283	HILIC_POS	218.08006	1.283	C000123
180.04583_1.847	HILIC_POS	180.04583	1.847	C000124
115.06246_1.253	HILIC_POS	115.06246	1.253	C000125
288.21988_0.902	HILIC_POS	288.21988	0.902	C000126
153.11519_3.496	HILIC_POS	153.11519	3.496	C000127
225.10011_2.99	HILIC_POS	225.10011	2.99	C000128
182.07903_1.9	HILIC_POS	182.07903	1.9	C000129
113.04809_1.939	HILIC_POS	113.04809	1.939	C000130
324.16374_3.037	HILIC_POS	324.16374	3.037	C000131
121.0634_2.975	HILIC_POS	121.0634	2.975	C000132
400.14607_2.282	HILIC_POS	400.14607	2.282	C000133
266.16281_3.676	HILIC_POS	266.16281	3.676	C000134
267.09675_1.968	HILIC_POS	267.09675	1.968	C000135
114.06231_2.794	HILIC_POS	114.06231	2.794	C000136
275.12878_3.115	HILIC_POS	275.12878	3.115	C000137
232.15736_1.549	HILIC_POS	232.15736	1.549	C000138
254.10511_0.921	HILIC_POS	254.10511	0.921	C000139
282.09643_1.601	HILIC_POS	282.09643	1.601	C000140
254.09015_2.941	HILIC_POS	254.09015	2.941	C000141
348.17594_1.542	HILIC_POS	348.17594	1.542	C000142
162.11562_1.857	HILIC_POS	162.11562	1.857	C000143
567.21512_2.388	HILIC_POS	567.21512	2.388	C000144
549.20478_2.404	HILIC_POS	549.20478	2.404	C000145
254.08899_2.4	HILIC_POS	254.08899	2.4	C000146
609.24213_2.58	HILIC_POS	609.24213	2.58	C000147
286.18912_3.84	HILIC_POS	286.18912	3.84	C000148
93.05829_5.074	HILIC_POS	93.05829	5.074	C000149
161.10507_4.029	HILIC_POS	161.10507	4.029	C000150
143.0945_4.035	HILIC_POS	143.0945	4.035	C000151
249.06047_0.863	HILIC_POS	249.06047	0.863	C000152
414.153_2.218	HILIC_POS	414.153	2.218	C000153
231.02002_0.602	HILIC_POS	231.02002	0.602	C000154
114.06221_2.891	HILIC_POS	114.06221	2.891	C000155
103.98529_4.632	HILIC_POS	103.98529	4.632	C000156
248.04645_0.603	HILIC_POS	248.04645	0.603	C000157
129.05391_2.499	HILIC_POS	129.05391	2.499	C000158
330.08489_0.898	HILIC_POS	330.08489	0.898	C000159
557.35646_2.588	HILIC_POS	557.35646	2.588	C000160
589.38306_2.61	HILIC_POS	589.38306	2.61	C000161
136.06356_4.911	HILIC_POS	136.06356	4.911	C000162
277.2044_2.654	HILIC_POS	277.2044	2.654	C000163
303.14733_1.451	HILIC_POS	303.14733	1.451	C000164
513.18523_3.078	HILIC_POS	513.18523	3.078	C000165
438.15702_0.898	HILIC_POS	438.15702	0.898	C000166
255.10241_1.059	HILIC_POS	255.10241	1.059	C000167
421.14742_1.268	HILIC_POS	421.14742	1.268	C000168
111.04359_2.148	HILIC_POS	111.04359	2.148	C000169
245.07145_2.313	HILIC_POS	245.07145	2.313	C000170
188.06922_1.736	HILIC_POS	188.06922	1.736	C000171
235.15701_3.448	HILIC_POS	235.15701	3.448	C000172
318.04585_2.605	HILIC_POS	318.04585	2.605	C000173
431.17949_2.202	HILIC_POS	431.17949	2.202	C000174
384.1997_3.542	HILIC_POS	384.1997	3.542	C000175
253.13137_1.4	HILIC_POS	253.13137	1.4	C000176
401.22625_3.543	HILIC_POS	401.22625	3.543	C000177
173.11636_4.142	HILIC_POS	173.11636	4.142	C000178
156.08988_4.123	HILIC_POS	156.08988	4.123	C000179
192.08975_1.449	HILIC_POS	192.08975	1.449	C000180
256.10752_1.754	HILIC_POS	256.10752	1.754	C000181
166.04907_1.231	HILIC_POS	166.04907	1.231	C000182
301.22536_3.703	HILIC_POS	301.22536	3.703	C000183
161.06875_2.006	HILIC_POS	161.06875	2.006	C000184
428.22594_3.567	HILIC_POS	428.22594	3.567	C000185
446.20684_2.474	HILIC_POS	446.20684	2.474	C000186
147.10475_3.536	HILIC_POS	147.10475	3.536	C000187
194.1054_1.432	HILIC_POS	194.1054	1.432	C000188
138.04294_1.89	HILIC_POS	138.04294	1.89	C000189
318.19421_3.268	HILIC_POS	318.19421	3.268	C000190
445.25257_3.569	HILIC_POS	445.25257	3.569	C000191
237.09156_0.897	HILIC_POS	237.09156	0.897	C000192
249.17287_3.084	HILIC_POS	249.17287	3.084	C000193
472.2521_3.582	HILIC_POS	472.2521	3.582	C000194
238.14154_1.297	HILIC_POS	238.14154	1.297	C000195
170.06906_3.566	HILIC_POS	170.06906	3.566	C000196
336.20495_3.259	HILIC_POS	336.20495	3.259	C000197
438.15719_1.187	HILIC_POS	438.15719	1.187	C000198
256.14218_2.952	HILIC_POS	256.14218	2.952	C000199
125.01481_2.9	HILIC_POS	125.01481	2.9	C000200
330.08488_2.069	HILIC_POS	330.08488	2.069	C000201
126.08736_1.175	HILIC_POS	126.08736	1.175	C000202
376.13848_1.754	HILIC_POS	376.13848	1.754	C000203
501.28803_3.481	HILIC_POS	501.28803	3.481	C000204
141.07896_1.236	HILIC_POS	141.07896	1.236	C000205
315.14715_1.076	HILIC_POS	315.14715	1.076	C000206
340.17337_3.526	HILIC_POS	340.17337	3.526	C000207
489.27898_3.58	HILIC_POS	489.27898	3.58	C000208
185.98786_4.635	HILIC_POS	185.98786	4.635	C000209
224.0618_1.083	HILIC_POS	224.0618	1.083	C000210
285.19401_3.824	HILIC_POS	285.19401	3.824	C000211
212.11609_1.411	HILIC_POS	212.11609	1.411	C000212
141.07898_3.161	HILIC_POS	141.07898	3.161	C000213
165.02472_1.112	HILIC_POS	165.02472	1.112	C000214
206.05144_1.096	HILIC_POS	206.05144	1.096	C000215
357.20025_3.528	HILIC_POS	357.20025	3.528	C000216
151.06332_2.069	HILIC_POS	151.06332	2.069	C000217
125.08418_1.052	HILIC_POS	125.08418	1.052	C000218
487.27307_3.562	HILIC_POS	487.27307	3.562	C000219
159.08946_3.17	HILIC_POS	159.08946	3.17	C000220
239.11561_2.955	HILIC_POS	239.11561	2.955	C000221
320.12568_2.926	HILIC_POS	320.12568	2.926	C000222
140.05846_3.652	HILIC_POS	140.05846	3.652	C000223
153.04255_1.678	HILIC_POS	153.04255	1.678	C000224
299.12745_3.172	HILIC_POS	299.12745	3.172	C000225
202.08526_1.451	HILIC_POS	202.08526	1.451	C000226
249.17274_3.393	HILIC_POS	249.17274	3.393	C000227
192.05362_1.13	HILIC_POS	192.05362	1.13	C000228
267.18334_3.225	HILIC_POS	267.18334	3.225	C000229
172.12879_3.502	HILIC_POS	172.12879	3.502	C000230
143.05827_1.959	HILIC_POS	143.05827	1.959	C000231
271.15717_3.525	HILIC_POS	271.15717	3.525	C000232
209.0687_1.762	HILIC_POS	209.0687	1.762	C000233
110.07342_0.928	HILIC_POS	110.07342	0.928	C000234
446.11141_1.931	HILIC_POS	446.11141	1.931	C000235
289.15246_3.982	HILIC_POS	289.15246	3.982	C000236
170.06911_3.618	HILIC_POS	170.06911	3.618	C000237
117.0793_1.26	HILIC_POS	117.0793	1.26	C000238
126.03168_1.971	HILIC_POS	126.03168	1.971	C000239
135.00683_1.922	HILIC_POS	135.00683	1.922	C000240
504.21084_3.287	HILIC_POS	504.21084	3.287	C000241
169.05983_1.865	HILIC_POS	169.05983	1.865	C000242
169.11015_1.459	HILIC_POS	169.11015	1.459	C000243
429.16423_3.271	HILIC_POS	429.16423	3.271	C000244
444.30651_4.0	HILIC_POS	444.30651	4	C000245
127.07466_2.346	HILIC_POS	127.07466	2.346	C000246
121.01643_1.913	HILIC_POS	121.01643	1.913	C000247
195.11051_5.127	HILIC_POS	195.11051	5.127	C000248
135.93285_4.705	HILIC_POS	135.93285	4.705	C000249
103.05522_2.581	HILIC_POS	103.05522	2.581	C000250
159.08948_3.77	HILIC_POS	159.08948	3.77	C000251
167.05822_1.249	HILIC_POS	167.05822	1.249	C000252
184.07474_1.198	HILIC_POS	184.07474	1.198	C000253
99.06888_1.286	HILIC_POS	99.06888	1.286	C000254
97.05088_4.431	HILIC_POS	97.05088	4.431	C000255
115.06341_3.734	HILIC_POS	115.06341	3.734	C000256
133.07393_3.737	HILIC_POS	133.07393	3.737	C000257
155.06952_4.045	HILIC_POS	155.06952	4.045	C000258
407.11769_0.66	HILIC_POS	407.11769	0.66	C000259
426.29582_3.989	HILIC_POS	426.29582	3.989	C000260
392.13372_1.762	HILIC_POS	392.13372	1.762	C000261
516.27839_3.595	HILIC_POS	516.27839	3.595	C000262
430.09036_1.799	HILIC_POS	430.09036	1.799	C000263
763.47197_2.682	HILIC_POS	763.47197	2.682	C000264
300.12975_3.163	HILIC_POS	300.12975	3.163	C000265
173.08001_4.009	HILIC_POS	173.08001	4.009	C000266
285.194_3.795	HILIC_POS	285.194	3.795	C000267
272.07704_1.75	HILIC_POS	272.07704	1.75	C000268
252.12094_3.475	HILIC_POS	252.12094	3.475	C000269
368.10421_3.167	HILIC_POS	368.10421	3.167	C000270
173.10511_0.99	HILIC_POS	173.10511	0.99	C000271
90.0469_1.003	HILIC_POS	90.0469	1.003	C000272
431.13489_2.918	HILIC_POS	431.13489	2.918	C000273
379.12005_2.852	HILIC_POS	379.12005	2.852	C000274
187.09571_3.591	HILIC_POS	187.09571	3.591	C000275
212.11603_1.489	HILIC_POS	212.11603	1.489	C000276
210.06411_0.914	HILIC_POS	210.06411	0.914	C000277
219.05665_3.057	HILIC_POS	219.05665	3.057	C000278
185.10502_1.979	HILIC_POS	185.10502	1.979	C000279
111.04368_1.45	HILIC_POS	111.04368	1.45	C000280
345.10603_2.107	HILIC_POS	345.10603	2.107	C000281
296.14717_3.509	HILIC_POS	296.14717	3.509	C000282
533.30529_3.594	HILIC_POS	533.30529	3.594	C000283
345.05956_2.003	HILIC_POS	345.05956	2.003	C000284
169.08516_3.612	HILIC_POS	169.08516	3.612	C000285
354.15267_3.707	HILIC_POS	354.15267	3.707	C000286
219.12171_3.625	HILIC_POS	219.12171	3.625	C000287
201.11128_3.628	HILIC_POS	201.11128	3.628	C000288
184.08476_3.63	HILIC_POS	184.08476	3.63	C000289
160.08481_3.623	HILIC_POS	160.08481	3.623	C000290
306.04101_0.894	HILIC_POS	306.04101	0.894	C000291
197.12052_1.0	HILIC_POS	197.12052	1	C000292
245.07158_2.617	HILIC_POS	245.07158	2.617	C000293
128.05864_3.994	HILIC_POS	128.05864	3.994	C000294
337.14262_3.247	HILIC_POS	337.14262	3.247	C000295
269.10253_2.241	HILIC_POS	269.10253	2.241	C000296
112.08922_1.012	HILIC_POS	112.08922	1.012	C000297
665.09561_3.55	HILIC_POS	665.09561	3.55	C000298
494.09819_1.303	HILIC_POS	494.09819	1.303	C000299
395.14334_2.669	HILIC_POS	395.14334	2.669	C000300
212.09092_1.25	HILIC_POS	212.09092	1.25	C000301
398.17876_3.731	HILIC_POS	398.17876	3.731	C000302
185.06877_1.944	HILIC_POS	185.06877	1.944	C000303
185.06884_2.014	HILIC_POS	185.06884	2.014	C000304
267.18352_3.141	HILIC_POS	267.18352	3.141	C000305
235.15722_3.494	HILIC_POS	235.15722	3.494	C000306
228.07463_1.188	HILIC_POS	228.07463	1.188	C000307
309.19391_3.753	HILIC_POS	309.19391	3.753	C000308
253.05202_2.193	HILIC_POS	253.05202	2.193	C000309
349.99423_4.527	HILIC_POS	349.99423	4.527	C000310
279.06771_2.46	HILIC_POS	279.06771	2.46	C000311
431.99749_4.523	HILIC_POS	431.99749	4.523	C000312
252.12109_3.526	HILIC_POS	252.12109	3.526	C000313
102.04721_2.592	HILIC_POS	102.04721	2.592	C000314
422.16207_0.878	HILIC_POS	422.16207	0.878	C000315
296.06508_0.813	HILIC_POS	296.06508	0.813	C000316
453.20027_2.211	HILIC_POS	453.20027	2.211	C000317
111.0437_2.662	HILIC_POS	111.0437	2.662	C000318
139.99652_1.574	HILIC_POS	139.99652	1.574	C000319
300.12566_3.437	HILIC_POS	300.12566	3.437	C000320
345.11465_0.921	HILIC_POS	345.11465	0.921	C000321
127.06332_3.755	HILIC_POS	127.06332	3.755	C000322
377.16997_2.965	HILIC_POS	377.16997	2.965	C000323
245.16275_3.937	HILIC_POS	245.16275	3.937	C000324
149.04768_1.261	HILIC_POS	149.04768	1.261	C000325
290.19918_3.421	HILIC_POS	290.19918	3.421	C000326
317.16282_1.677	HILIC_POS	317.16282	1.677	C000327
166.07415_1.288	HILIC_POS	166.07415	1.288	C000328
431.9973_4.635	HILIC_POS	431.9973	4.635	C000329
572.23446_1.554	HILIC_POS	572.23446	1.554	C000330
377.10473_1.359	HILIC_POS	377.10473	1.359	C000331
209.07998_1.591	HILIC_POS	209.07998	1.591	C000332
388.15549_3.089	HILIC_POS	388.15549	3.089	C000333
589.22259_3.0	HILIC_POS	589.22259	3	C000334
346.07981_1.259	HILIC_POS	346.07981	1.259	C000335
284.07576_1.912	HILIC_POS	284.07576	1.912	C000336
223.05929_1.333	HILIC_POS	223.05929	1.333	C000337
157.01966_2.949	HILIC_POS	157.01966	2.949	C000338
270.10018_0.932	HILIC_POS	270.10018	0.932	C000339
605.37781_2.997	HILIC_POS	605.37781	2.997	C000340
259.09551_1.0	HILIC_POS	259.09551	1	C000341
384.10591_1.766	HILIC_POS	384.10591	1.766	C000342
666.09496_3.575	HILIC_POS	666.09496	3.575	C000343
151.06323_0.6	HILIC_POS	151.06323	0.6	C000344
95.03763_0.61	HILIC_POS	95.03763	0.61	C000345
172.06232_2.565	HILIC_POS	172.06232	2.565	C000346
143.07341_2.322	HILIC_POS	143.07341	2.322	C000347
128.04749_2.589	HILIC_POS	128.04749	2.589	C000348
172.15743_5.118	HILIC_POS	172.15743	5.118	C000349
312.16905_3.508	HILIC_POS	312.16905	3.508	C000350
545.10835_2.646	HILIC_POS	545.10835	2.646	C000351
249.17295_3.633	HILIC_POS	249.17295	3.633	C000352
152.03337_1.997	HILIC_POS	152.03337	1.997	C000353
96.0211_1.928	HILIC_POS	96.0211	1.928	C000354
191.1156_0.94	HILIC_POS	191.1156	0.94	C000355
172.0595_1.294	HILIC_POS	172.0595	1.294	C000356
211.0956_3.593	HILIC_POS	211.0956	3.593	C000357
415.2056_3.734	HILIC_POS	415.2056	3.734	C000358
109.05313_4.035	HILIC_POS	109.05313	4.035	C000359
343.0906_2.029	HILIC_POS	343.0906	2.029	C000360
155.06951_4.114	HILIC_POS	155.06951	4.114	C000361
359.09411_2.881	HILIC_POS	359.09411	2.881	C000362
181.06785_1.903	HILIC_POS	181.06785	1.903	C000363
611.20531_2.961	HILIC_POS	611.20531	2.961	C000364
329.22034_3.739	HILIC_POS	329.22034	3.739	C000365
311.20966_3.745	HILIC_POS	311.20966	3.745	C000366
279.18337_3.729	HILIC_POS	279.18337	3.729	C000367
228.07868_1.483	HILIC_POS	228.07868	1.483	C000368
274.15303_3.051	HILIC_POS	274.15303	3.051	C000369
169.08502_4.034	HILIC_POS	169.08502	4.034	C000370
137.04764_1.96	HILIC_POS	137.04764	1.96	C000371
306.13281_1.658	HILIC_POS	306.13281	1.658	C000372
346.08009_0.894	HILIC_POS	346.08009	0.894	C000373
129.04279_2.616	HILIC_POS	129.04279	2.616	C000374
371.17947_3.713	HILIC_POS	371.17947	3.713	C000375
231.14701_4.006	HILIC_POS	231.14701	4.006	C000376
146.06912_2.964	HILIC_POS	146.06912	2.964	C000377
265.11397_2.975	HILIC_POS	265.11397	2.975	C000378
320.21_3.123	HILIC_POS	320.21	3.123	C000379
154.04904_1.243	HILIC_POS	154.04904	1.243	C000380
379.12798_2.333	HILIC_POS	379.12798	2.333	C000381
457.14194_2.381	HILIC_POS	457.14194	2.381	C000382
208.05776_2.327	HILIC_POS	208.05776	2.327	C000383
349.05916_0.898	HILIC_POS	349.05916	0.898	C000384
139.07449_2.019	HILIC_POS	139.07449	2.019	C000385
413.87741_3.778	HILIC_POS	413.87741	3.778	C000386
229.07728_3.667	HILIC_POS	229.07728	3.667	C000387
343.09906_3.128	HILIC_POS	343.09906	3.128	C000388
494.09846_1.194	HILIC_POS	494.09846	1.194	C000389
349.07733_2.605	HILIC_POS	349.07733	2.605	C000390
377.10476_0.903	HILIC_POS	377.10476	0.903	C000391
385.15973_3.554	HILIC_POS	385.15973	3.554	C000392
345.07848_0.891	HILIC_POS	345.07848	0.891	C000393
431.19477_3.552	HILIC_POS	431.19477	3.552	C000394
161.14156_4.74	HILIC_POS	161.14156	4.74	C000395
219.11079_3.18	HILIC_POS	219.11079	3.18	C000396
184.06362_1.843	HILIC_POS	184.06362	1.843	C000397
233.90991_4.713	HILIC_POS	233.90991	4.713	C000398
349.22547_3.657	HILIC_POS	349.22547	3.657	C000399
226.16808_3.605	HILIC_POS	226.16808	3.605	C000400
284.07572_1.254	HILIC_POS	284.07572	1.254	C000401
73.05367_1.813	HILIC_POS	73.05367	1.813	C000402
73.05353_1.8	HILIC_POS	73.05353	1.8	C000403
420.1397_1.664	HILIC_POS	420.1397	1.664	C000404
285.09614_1.407	HILIC_POS	285.09614	1.407	C000405
122.04814_1.989	HILIC_POS	122.04814	1.989	C000406
318.06585_1.303	HILIC_POS	318.06585	1.303	C000407
98.04801_1.921	HILIC_POS	98.04801	1.921	C000408
182.10548_1.895	HILIC_POS	182.10548	1.895	C000409
327.09552_1.846	HILIC_POS	327.09552	1.846	C000410
175.86804_4.695	HILIC_POS	175.86804	4.695	C000411
284.13484_1.531	HILIC_POS	284.13484	1.531	C000412
330.15308_3.703	HILIC_POS	330.15308	3.703	C000413
327.09548_1.935	HILIC_POS	327.09548	1.935	C000414
132.04354_1.859	HILIC_POS	132.04354	1.859	C000415
129.04264_2.969	HILIC_POS	129.04264	2.969	C000416
129.0426_3.837	HILIC_POS	129.0426	3.837	C000417
121.07409_3.253	HILIC_POS	121.07409	3.253	C000418
306.19447_2.484	HILIC_POS	306.19447	2.484	C000419
132.09392_3.125	HILIC_POS	132.09392	3.125	C000420
330.1361_3.573	HILIC_POS	330.1361	3.573	C000421
109.05195_1.337	HILIC_POS	109.05195	1.337	C000422
442.20499_3.741	HILIC_POS	442.20499	3.741	C000423
237.09204_1.072	HILIC_POS	237.09204	1.072	C000424
208.08475_1.909	HILIC_POS	208.08475	1.909	C000425
446.20693_0.897	HILIC_POS	446.20693	0.897	C000426
438.15716_1.053	HILIC_POS	438.15716	1.053	C000427
75.06906_4.541	HILIC_POS	75.06906	4.541	C000428
514.00077_4.525	HILIC_POS	514.00077	4.525	C000429
161.06881_2.626	HILIC_POS	161.06881	2.626	C000430
239.06529_3.505	HILIC_POS	239.06529	3.505	C000431
312.15824_0.887	HILIC_POS	312.15824	0.887	C000432
144.04227_2.634	HILIC_POS	144.04227	2.634	C000433
161.14157_4.805	HILIC_POS	161.14157	4.805	C000434
180.06468_1.12	HILIC_POS	180.06468	1.12	C000435
283.05495_2.616	HILIC_POS	283.05495	2.616	C000436
112.064_2.099	HILIC_POS	112.064	2.099	C000437
143.13099_4.769	HILIC_POS	143.13099	4.769	C000438
286.11397_3.396	HILIC_POS	286.11397	3.396	C000439
299.09376_0.999	HILIC_POS	299.09376	0.999	C000440
241.09444_1.75	HILIC_POS	241.09444	1.75	C000441
514.00051_4.64	HILIC_POS	514.00051	4.64	C000442
520.14464_1.754	HILIC_POS	520.14464	1.754	C000443
457.14247_2.452	HILIC_POS	457.14247	2.452	C000444
395.15178_2.178	HILIC_POS	395.15178	2.178	C000445
145.05609_1.151	HILIC_POS	145.05609	1.151	C000446
486.23139_3.766	HILIC_POS	486.23139	3.766	C000447
450.15044_2.192	HILIC_POS	450.15044	2.192	C000448
315.19472_2.022	HILIC_POS	315.19472	2.022	C000449
440.15456_2.735	HILIC_POS	440.15456	2.735	C000450
94.07884_1.03	HILIC_POS	94.07884	1.03	C000451
128.02955_1.16	HILIC_POS	128.02955	1.16	C000452
664.09383_3.569	HILIC_POS	664.09383	3.569	C000453
244.06275_1.106	HILIC_POS	244.06275	1.106	C000454
146.06905_3.846	HILIC_POS	146.06905	3.846	C000455
307.17847_3.763	HILIC_POS	307.17847	3.763	C000456
129.04268_3.064	HILIC_POS	129.04268	3.064	C000457
129.04268_3.115	HILIC_POS	129.04268	3.115	C000458
147.05308_1.486	HILIC_POS	147.05308	1.486	C000459
285.12138_4.081	HILIC_POS	285.12138	4.081	C000460
122.04746_4.08	HILIC_POS	122.04746	4.08	C000461
125.04781_1.943	HILIC_POS	125.04781	1.943	C000462
180.06331_1.91	HILIC_POS	180.06331	1.91	C000463
209.12765_3.286	HILIC_POS	209.12765	3.286	C000464
206.05149_1.265	HILIC_POS	206.05149	1.265	C000465
