compound_id	BIOCHEMICAL	PLATFORM	CHEMICAL ID	RI	MASS	PUBCHEM	CAS	KEGG
CPD000054	2,6-dihydroxybenzoic acid	LC/MS Neg	100020837	2575	153.0193	9338	303-07-1	
CPD000055	2-acetamidophenol sulfate	LC/MS Neg	100006190	2251	230.0129	181671	40712-60-5	
CPD000056	2-aminoadipate	LC/MS Polar	381	3500	160.0615	469	542-32-5;1118-90-7	C00956
CPD000057	2-aminobutyrate	LC/MS Pos Early	1128	2059	104.0706	439691	1492-24-6	C02261
CPD000058	2-aminoheptanoate	LC/MS Pos Early	100004542	3160	146.1176	227939	1115-90-8	
CPD000059	2-aminooctanoate	LC/MS Neg	100004227	3385	158.1187	69522	644-90-6	
CPD000060	2-aminophenol sulfate	LC/MS Neg	100004322	1677	188.0023	181670		
CPD000061	2-ethylphenylsulfate	LC/MS Neg	100001809	3416	201.0227			
CPD000062	2-hydroxy-3-methylvalerate	LC/MS Neg	100001541	1800	131.0714	164623	488-15-3	
CPD000063	2-hydroxy-4-(methylthio)butanoic acid	LC/MS Neg	100021372	1397	149.0278		583-91-5	
CPD000064	2-hydroxyacetaminophen sulfate*	LC/MS Neg	100001791	1674	246.0078	86290013		
CPD000065	2-hydroxyarachidate*	LC/MS Neg	100019892	5990	327.2905	5225199		
CPD000066	2-hydroxybutyrate/2-hydroxyisobutyrate	LC/MS Polar	100008928	1258	103.0401			
CPD000067	2-hydroxydecanoate	LC/MS Neg	100004089	4840	187.134	21488	5393-81-7	
CPD000068	2-hydroxyfluorene sulfate	LC/MS Neg	100020585	4372	261.0227			
CPD000069	2-hydroxyglutarate	LC/MS Pos Early	100002070	958	131.0339	43	40951-21-1	C02630
CPD000070	2-hydroxyhippurate (salicylurate)	LC/MS Polar	1869	1123.9	194.0459	10253	487-54-7	C07588
CPD000071	2-hydroxylaurate	LC/MS Neg	100008934	5211	215.1653	97783	2984-55-6	
CPD000072	2-hydroxyoctanoate	LC/MS Neg	100000743	3736.8	159.1027	94180	617-73-2	
CPD000073	2-hydroxypalmitate	LC/MS Neg	100001579	5511.2	271.2279	92836	764-67-0	
CPD000074	2-hydroxyphenylacetate	LC/MS Polar	235	858.6	151.0401	11970	614-75-5	C05852
CPD000075	2-hydroxysebacate	LC/MS Neg	100020378	1324	217.1081	128458	103963-71-9	
CPD000076	2-hydroxystearate	LC/MS Neg	1239	5695	299.2592	69417	629-22-1	C03045
CPD000077	2-isopropylmalate	LC/MS Polar	100000409	2605	175.0612	77	3237-44-3	C02504
CPD000078	2-ketocaprylate	LC/MS Neg	100020833	3951	157.087	67600	328-51-8	
CPD000079	2-methoxyacetaminophen glucuronide*	LC/MS Neg	100001795	1633	356.0987	14367271		
CPD000080	2-methoxyacetaminophen sulfate*	LC/MS Neg	100001793	1949	260.0234	86290014		
CPD000081	2-methoxyhydroquinone sulfate (1)	LC/MS Neg	100021839	1505	218.9969			
CPD000082	2-methoxyhydroquinone sulfate (2)	LC/MS Neg	100021840	1619	218.9969			
CPD000083	2-methoxyresorcinol sulfate	LC/MS Neg	100006184	1863	218.9969		1446269-78-8	
CPD000084	2-methylbutyrylcarnitine (C5)	LC/MS Pos Early	100001509	3050	246.17	6426901	31023-25-3	
CPD000085	2-methylcitrate/homocitrate	LC/MS Neg	100008929	575	205.0354			
CPD000086	2-methylmalonylcarnitine (C4-DC)	LC/MS Pos Early	100001596	2440	262.1285	53481628	149181-64-6	
CPD000087	2-methylserine	LC/MS Pos Early	100009246	1652	120.0655	94309		C02115
CPD000088	2-naphthol sulfate	LC/MS Neg	100020515	3658	223.0071	74428		
CPD000089	2-O-methylascorbic acid	LC/MS Neg	100003258	778	189.0405	99779	17860-87-6	
CPD000090	2-oxindole-3-acetate	LC/MS Neg	100003109	2076	190.051	3080590	2971-31-5	
CPD000091	2-oxoarginine*	LC/MS Pos Early	100002784	1760	174.0873	558	10/4/3715	C03771
CPD000092	2-piperidinone	LC/MS Pos Early	100004295	1675	100.0757	12665	675-20-7	
CPD000093	21-hydroxypregnenolone disulfate	LC/MS Neg	100001999	3935	245.0671	134595	1164-98-3	
CPD000094	2R,3R-dihydroxybutyrate	LC/MS Polar	100002367	1543	119.035	13120901	759-06-8	
CPD000095	2S,3R-dihydroxybutyrate	LC/MS Polar	100002284	1660	119.035	10964471	5057-93-2	
CPD000096	3,4-dihydroxybutyrate	LC/MS Polar	100001730	2204	119.035		51267-44-8	
CPD000097	3,5-dichloro-2,6-dihydroxybenzoic acid	LC/MS Polar	100021324	693	220.9414			
CPD000098	3,7-dimethylurate	LC/MS Neg	100001398	1418	195.0524	83126	13087-49-5	C16360
CPD000099	3-(3-amino-3-carboxypropyl)uridine*	LC/MS Neg	100001426	1369	344.1099	171198	52745-94-5	
CPD000100	3-(3-hydroxyphenyl)propionate	LC/MS Neg	100001624	1980	165.0557	91	621-54-5	C11457
CPD000101	3-(3-hydroxyphenyl)propionate sulfate	LC/MS Neg	100005391	1294	245.0125	187488	86321-32-6	
CPD000102	3-(4-hydroxyphenyl)lactate (HPLA)	LC/MS Neg	240	1379	181.0506	9378	6482-98-0	C03672
CPD000103	3-(cystein-S-yl)acetaminophen*	LC/MS Pos Early	100001797	2420	271.0747	5233914		
CPD000104	3-(methylthio)acetaminophen sulfate*	LC/MS Neg	100020827	2265	276.0006			
CPD000105	3-(N-acetyl-L-cystein-S-yl) acetaminophen	LC/MS Neg	2048	2094	311.0707	83967	52372-86-8	
CPD000106	3-acetylphenol sulfate	LC/MS Neg	100004326	2477	215.002			
CPD000107	3-amino-2-piperidone	LC/MS Pos Early	100020361	2065	115.0866	5200225	1892-22-4	
CPD000108	3-aminoisobutyrate	LC/MS Pos Early	1114	2190	104.0706	64956	10569-72-9;214139-20-5	C05145
CPD000109	3-bromo-5-chloro-2,6-dihydroxybenzoic acid*	LC/MS Neg	100021707	4505	264.8909			
CPD000110	3-carboxy-4-methyl-5-pentyl-2-furanpropionate (3-CMPFP)	LC/MS Neg	100020004	4000	267.1238	194501		
CPD000111	3-carboxy-4-methyl-5-propyl-2-furanpropanoate (CMPF)	LC/MS Neg	100001178	2800	239.0925	123979	86879-39-2	
CPD000112	3-decenoylcarnitine	LC/MS Pos Late	100021136	1045	314.2326			
CPD000113	3-ethylcatechol sulfate (1)	LC/MS Neg	100020851	3422	217.0176			
CPD000114	3-ethylcatechol sulfate (2)	LC/MS Neg	100020852	3555	217.0176			
CPD000115	3-formylindole	LC/MS Pos Early	100020219	2736	146.06	10256	487-89-8	C08493
CPD000116	3-hydroxy-2-ethylpropionate	LC/MS Neg	100001170	975	117.0557	188979	4374-62-3	
CPD000117	3-hydroxy-2-methylpyridine sulfate	LC/MS Neg	100020975	1849	188.0023			
CPD000118	3-hydroxy-3-methylglutarate	LC/MS Polar	112	2850	161.0456	1662	503-49-1	C03761
CPD000119	3-hydroxyadipate*	LC/MS Polar	100004396	3131	161.0455	151913		
CPD000120	3-hydroxybutyrate (BHBA)	LC/MS Polar	254	1480	103.0401	441	625-72-9	C01089
CPD000121	3-hydroxybutyroylglycine	LC/MS Pos Early	100020211	978	162.0761			
CPD000122	3-hydroxycotinine glucuronide	LC/MS Neg	100004494	1745	367.1147	183115	132929-88-5	
CPD000123	3-hydroxydecanoate	LC/MS Neg	100000997	4634.7	187.134	26612	5561-87-5	
CPD000124	3-hydroxydecanoylcarnitine	LC/MS Pos Late	100021141	961	332.2432			
CPD000125	3-hydroxydodecanedioate*	LC/MS Neg	100001454	2252	245.1394	16663321	34574-69-1	
CPD000126	3-hydroxyhexanoate	LC/MS Neg	100006367	1725	131.0714	151492	10191-24-9	
CPD000127	3-hydroxyhexanoylcarnitine (1)	LC/MS Pos Early	100020825	2918	276.1806			
CPD000128	3-hydroxyhippurate	LC/MS Neg	100002122	1687	194.0459	450268	1637-75-8	
CPD000129	3-hydroxyhippurate sulfate	LC/MS Neg	100020410	1047	274.0027	186339		
CPD000130	3-hydroxyisobutyrate	LC/MS Polar	111	1619	103.0401	87	2068-83-9	C06001
CPD000131	3-hydroxylaurate	LC/MS Neg	100001112	5175	215.1653	94216	53941-38-1	
CPD000132	3-hydroxymyristate	LC/MS Neg	100000882	5335	243.1966	16064	3422-31-9	
CPD000133	3-hydroxyoctanoate	LC/MS Neg	100000773	3446	159.1027	26613	88930-08-9	
CPD000134	3-hydroxyoleoylcarnitine	LC/MS Pos Late	100019801	1406	442.3527			
CPD000135	3-hydroxypyridine glucuronide	LC/MS Pos Early	100020591	1657	272.0765			
CPD000136	3-hydroxypyridine sulfate	LC/MS Neg	100006098	1595.5	173.9867		1955-23-3	
CPD000137	3-hydroxysebacate	LC/MS Neg	100001145	1282	217.1081	3017884	73141-46-5	
CPD000138	3-hydroxystachydrine*	LC/MS Pos Early	100020203	1049	160.0968	442640		
CPD000139	3-hydroxystearate	LC/MS Neg	100008933	5674	299.2592	5282907	45261-96-9	
CPD000140	3-indoleglyoxylic acid	LC/MS Neg	100020372	2140	188.0353	73863	1477-49-2	
CPD000141	3-indoxyl sulfate	LC/MS Neg	100000467	2222.2	212.0023	10258	2642-37-7	
CPD000142	3-methoxycatechol sulfate (1)	LC/MS Neg	100006375	2163	218.9969			
CPD000143	3-methoxycatechol sulfate (2)	LC/MS Neg	100006376	2200	218.9969			
CPD000144	3-methoxytyramine sulfate	LC/MS Neg	100004634	1722	246.0442			
CPD000145	3-methoxytyrosine	LC/MS Pos Early	1342	2555	212.0917	1670	300-48-1	
CPD000146	3-methyl catechol sulfate (1)	LC/MS Neg	100004112	2790	203.002			
CPD000147	3-methyl catechol sulfate (2)	LC/MS Neg	100004110	2860	203.002			
CPD000148	3-methyl-2-oxobutyrate	LC/MS Neg	100000936	1465	115.0401	49	3715-29-5	C00141
CPD000149	3-methyl-2-oxovalerate	LC/MS Neg	100000036	2064.2	129.0557	47	1460-34-0;51829-07-3	C00671
CPD000150	3-methyladipate	LC/MS Polar	100001765	2865	159.0663	12292	1/3/3058	
CPD000151	3-methylcytidine	LC/MS Pos Early	100001466	2176	258.1085	159649	21028-20-6	
CPD000152	3-methylglutaconate	LC/MS Polar	100002458	2700	99.0452	1551553	5746-90-7	
CPD000153	3-methylglutarate/2-methylglutarate	LC/MS Polar	100010834	2832	145.0506			
CPD000154	3-methylglutarylcarnitine (2)	LC/MS Pos Early	100005850	2687	290.1598	128145		
CPD000155	3-methylhistidine	LC/MS Neg	100000042	906.3	168.0779	64969	368-16-1	C01152
CPD000156	3-methylxanthine	LC/MS Neg	100001108	1700	165.0418	70639	1076-22-8	C16357
CPD000157	3-phenylpropionate (hydrocinnamate)	LC/MS Neg	100000010	2860	149.0608	107	501-52-0	C05629
CPD000158	3-phosphoglycerate	LC/MS Pos Early	132	590	187.0002	724	80731-10-8	C00597
CPD000159	3-ureidopropionate	LC/MS Polar	1053	2230	131.0462	111	462-88-4	C02642
CPD000160	3beta,7alpha-dihydroxy-5-cholestenoate	LC/MS Neg	100001611	5275	431.3167	3081084	115538-84-6	C17335
CPD000161	3beta-hydroxy-5-cholestenoate	LC/MS Neg	100006370	5398	415.3218	165511	6561-58-6	C17333
CPD000162	4-acetamidobutanoate	LC/MS Neg	1113	894	144.0666	18189	3025-96-5	C02946
CPD000163	4-acetamidophenol	LC/MS Pos Early	1383	1670	152.0706	1983	103-90-2	C06804
CPD000164	4-acetamidophenylglucuronide	LC/MS Neg	100000043	1400	326.0881	83944	120595-80-4	
CPD000165	4-acetaminophen sulfate	LC/MS Neg	2049	1792	230.0129	83939	10066-90-7;32113-41-0	C06804
CPD000166	4-acetylcatechol sulfate (1)	LC/MS Neg	100020853	1774	230.9969			
CPD000167	4-acetylphenyl sulfate	LC/MS Neg	100000711	2375	215.002	4684006		
CPD000168	4-allylcatechol sulfate	LC/MS Neg	100020578	3571	229.0176			
CPD000169	4-allylphenol sulfate	LC/MS Neg	100001868	3805	213.0227			
CPD000170	4-chlorobenzoic acid	LC/MS Neg	100021784	3015	154.9905		74-11-3	
CPD000171	4-cholesten-3-one	LC/MS Pos Late	100002227	2520	385.3465	91477	601-57-0	C00599
CPD000172	4-ethylcatechol sulfate	LC/MS Neg	100020536	3379	217.0176			
CPD000173	4-ethylphenyl sulfate	LC/MS Neg	100001756	3580	201.0227	20822574	123-07-9	C13637
CPD000174	4-guanidinobutanoate	LC/MS Pos Early	100000096	2320	146.0924	500	463-003;463-00-3	C01035
CPD000175	4-hydroxy-2-oxoglutaric acid	LC/MS Polar	100002537	3073	161.0092	599	1187-99-1	C01127
CPD000176	4-hydroxychlorothalonil	LC/MS Neg	100006082	4427	244.9082	34217	28343-61-5	
CPD000177	4-hydroxycoumarin	LC/MS Neg	100002049	2470	161.0244	54682930	1076-38-6	C20414
CPD000178	4-hydroxyglutamate	LC/MS Pos Early	100002544	1141	164.0554	439902	2485-33-8	C03079
CPD000179	4-hydroxyhippurate	LC/MS Neg	100001423	1475	194.0459	151012	2482-25-9	
CPD000180	4-hydroxyphenylacetatoylcarnitine	LC/MS Pos Early	100006619	2730	296.1493			
CPD000181	4-hydroxyphenylacetylglutamine	LC/MS Neg	100010850	1650	279.0986			
CPD000182	4-hydroxyphenylpyruvate	LC/MS Neg	1141	1690	179.035	979	156-39-8	C01179
CPD000183	4-imidazoleacetate	LC/MS Pos Early	100001207	2055	127.0502	96215	645-65-8	C02835
CPD000184	4-methoxyphenol sulfate	LC/MS Neg	100006262	2412	203.002		3233-60-1	
CPD000185	4-methyl-2-oxopentanoate	LC/MS Neg	100000551	2170	129.0557	70	816-66-0	C00233
CPD000186	4-methylcatechol sulfate	LC/MS Neg	100004111	2665	203.002			
CPD000187	4-methylguaiacol sulfate	LC/MS Neg	100006105	2978	217.0176		756760-43-7	
CPD000188	4-methylhexanoylglutamine	LC/MS Neg	100020631	3390	257.1507			
CPD000189	4-methylnonanoylcarnitine	LC/MS Pos Late	100021138	1055	316.2482			
CPD000190	4-vinylguaiacol sulfate	LC/MS Neg	100006126	3354	229.0176			
CPD000191	4-vinylphenol sulfate	LC/MS Neg	100001755	3320	199.0071	6426766	2628-17-3	C05627
CPD000192	5,6-dihydrothymine	LC/MS Neg	158	1637.8	127.0513	93556	696-04-8	C00906
CPD000193	5,6-dihydrouracil	LC/MS Neg	1125	1120	113.0357	649	504-07-4	C00429
CPD000194	5,6-dihydrouridine	LC/MS Neg	100001425	1119	245.0779	94312	5/4/5627	
CPD000195	5-(galactosylhydroxy)-L-lysine	LC/MS Pos Early	100002462	2755	325.1606	123986	32448-36-5	
CPD000196	5-acetylamino-6-amino-3-methyluracil	LC/MS Polar	100001403	1710	197.068	88299	1196153-01-1	C16366
CPD000197	5-acetylamino-6-formylamino-3-methyluracil	LC/MS Polar	100001402	1424	225.0629	108214	85438-96-6	C16365
CPD000198	5-dodecenoate (12:1n7)	LC/MS Neg	100001232	5224	197.1547	5312378	2430-94-6	
CPD000199	5-dodecenoylcarnitine (C12:1)	LC/MS Pos Late	100016069	1135	342.2639			
CPD000200	5-hydroxy-2-methylpyridine sulfate	LC/MS Neg	100020973	2074	188.0023			
CPD000201	5-hydroxyhexanoate	LC/MS Neg	100001148	1267	131.0714	170748	44843-89-2	
CPD000202	5-hydroxylysine	LC/MS Pos Early	100000054	2790	163.1077	1029	13204-98-3	C16741
CPD000203	5-hydroxymethyl-2-furoic acid	LC/MS Neg	100003954	962	141.0193	80642	6338-41-6	C20448
CPD000204	5-hydroxymethyl-2-furoylcarnitine*	LC/MS Pos Early	100021012	2471	286.1285			
CPD000205	5-methylthioadenosine (MTA)	LC/MS Pos Early	212	2752	298.0968	439176	2457-80-9	C00170
CPD000206	5-methyluridine (ribothymidine)	LC/MS Neg	100001446	1778.1	257.0779	445408	1463-10-1	
CPD000207	5-oxoproline	LC/MS Neg	1021	738.5	128.0353	7405	98-79-3	C01879
CPD000208	5alpha-androstan-3alpha,17alpha-diol monosulfate	LC/MS Neg	100002008	5208	371.1898			
CPD000209	5alpha-androstan-3alpha,17beta-diol 17-glucuronide	LC/MS Neg	100005396	4930	467.265			
CPD000210	5alpha-androstan-3alpha,17beta-diol disulfate	LC/MS Neg	100002017	4275	225.0697			
CPD000211	5alpha-androstan-3alpha,17beta-diol monosulfate (1)	LC/MS Neg	100002018	4925	371.1898			
CPD000212	5alpha-androstan-3alpha,17beta-diol monosulfate (2)	LC/MS Neg	100006005	5080	371.1898			
CPD000213	5alpha-androstan-3beta,17alpha-diol disulfate	LC/MS Neg	100002021	4215	225.0697			
CPD000214	5alpha-androstan-3beta,17beta-diol disulfate	LC/MS Neg	100001987	3880	225.0697	242332	571-20-0	C12525
CPD000215	5alpha-androstan-3beta,17beta-diol monosulfate (2)	LC/MS Neg	100002024	4685	371.1898			
CPD000216	5alpha-pregnan-3beta,20alpha-diol disulfate	LC/MS Neg	100001988	3962	239.0853			
CPD000217	5alpha-pregnan-3beta,20alpha-diol monosulfate (2)	LC/MS Neg	100002014	5060	399.2211			
CPD000218	5alpha-pregnan-3beta,20beta-diol monosulfate (1)	LC/MS Neg	100002009	5180	399.2211			
CPD000219	5alpha-pregnan-diol disulfate	LC/MS Neg	100002015	4310	239.0853	5127902		
CPD000220	6-bromotryptophan	LC/MS Pos Early	100020414	3371	283.0077			
CPD000221	6-hydroxyindole sulfate	LC/MS Neg	100006260	2498	212.0023	122198196		
CPD000222	6-hydroxywarfarin	LC/MS Neg	100020814	3358	323.0925			
CPD000223	6-oxopiperidine-2-carboxylate	LC/MS Neg	100004499	965	142.051	3014237	34622-39-4	
CPD000224	7-HOCA	LC/MS Neg	100001609	5288.1	429.301	3081085	115538-85-7	C17337
CPD000225	7-hydroxyindole sulfate	LC/MS Neg	100009043	1765	212.0023			
CPD000226	7-hydroxywarfarin	LC/MS Neg	100020813	3300	323.0925			
CPD000227	7-methylguanine	LC/MS Pos Early	100001456	2175	166.0723	11361	578-76-7	C02242
CPD000228	7-methylxanthine	LC/MS Pos Early	100001396	1350	167.0564	68374	552-62-5	C16353
CPD000229	8-methoxykynurenate	LC/MS Neg	100020360	2863	218.0459	76230	2929-14-8	C05830
CPD000230	9,10-DiHOME	LC/MS Neg	179	5180	313.2384	9966640	263399-34-4	C14828
CPD000231	9-hydroxystearate	LC/MS Neg	100005834	5384	299.2592	9570127	25498-28-6	
CPD000232	abacavir	LC/MS Pos Early	100020915	3009	287.1615	441300	136470-78-5	D07057
CPD000233	acesulfame	LC/MS Neg	100006203	1581	161.9867	36573	55589-62-3	
CPD000234	acetoacetate	LC/MS Pos Early	1218	1062	103.039	96	11/2/3483	C00164
CPD000235	acetylcarnitine (C2)	LC/MS Pos Early	100000802	2282	204.123	1	5080-50-2	C02571
CPD000236	acisoga	LC/MS Neg	100004541	2297	183.1139	129397	106692-36-8	
CPD000237	aconitate [cis or trans]	LC/MS Neg	100001359	580	173.0092			
CPD000238	adenosine 3',5'-cyclic monophosphate (cAMP)	LC/MS Neg	207	1952.2	328.0452	6076	60-92-4	C00575
CPD000239	AMP	LC/MS Pos Early	209	1013	348.0704	6083	149022-20-8	C00020
CPD000240	adipate	LC/MS Polar	100000863	3000	145.0506	196	124-04-9	C06104
CPD000241	adipoylcarnitine (C6-DC)	LC/MS Pos Early	100006614	2570	290.1598	71296139		
CPD000242	adrenate (22:4n6)	LC/MS Neg	100001193	5678	331.2643	5497181	2091-25-0	C16527
CPD000243	adrenoylcarnitine (C22:4)*	LC/MS Pos Late	100015850	1415	476.3734			
CPD000244	alanine	LC/MS Pos Early	811	1700	90.055	5950	56-41-7	C00041
CPD000245	allantoin	LC/MS Polar	1002	1672	157.0367	204	97-59-6	C02350
CPD000246	alliin	LC/MS Pos Early	100003473	1470	178.0532	87310	556-27-4	C08265
CPD000247	allo-threonine	LC/MS Polar	100000272	2511.1	118.051	99289	28954-12-3	C05519
CPD000248	allopurinol	LC/MS Neg	100004518	1530	135.0312	2094	315-30-0	
CPD000249	allopurinol riboside	LC/MS Neg	100002454	1660	267.0735		16220-07-8	
CPD000250	alpha-hydroxyisocaproate	LC/MS Neg	100000706	1840	131.0714	83697	10303-64-7	C03264
CPD000251	alpha-hydroxyisovalerate	LC/MS Neg	100001300	1126	117.0557	99823	600-37-3	
CPD000252	alpha-hydroxymetoprolol	LC/MS Pos Early	100006385	2900	284.1856	114962	56392-16-6	
CPD000253	alpha-ketobutyrate	LC/MS Polar	796	940	101.0244	58	600-18-0	C00109
CPD000254	alpha-ketoglutaramate*	LC/MS Polar	100002397	1916	144.0302	48	18465-19-5	
CPD000255	alpha-ketoglutarate	LC/MS Polar	93	2700	145.0143	51	305-72-6;328-50-7;22202-68-2	C00026
CPD000256	alpha-tocopherol	LC/MS Pos Late	1105	2522	430.3782	14985	59-02-9;10191-41-0	C02477
CPD000257	andro steroid monosulfate C19H28O6S (1)*	LC/MS Neg	100002152	3871	383.1534			
CPD000258	androstenediol (3alpha, 17alpha) monosulfate (2)	LC/MS Neg	100002026	4712	369.1741			
CPD000259	androstenediol (3alpha, 17alpha) monosulfate (3)	LC/MS Neg	100002027	5180	369.1741			
CPD000260	androstenediol (3beta,17beta) disulfate (1)	LC/MS Neg	100001992	3740	224.0618	87120982		C04295
CPD000261	androstenediol (3beta,17beta) disulfate (2)	LC/MS Neg	100001994	4065	224.0624			
CPD000262	androstenediol (3beta,17beta) monosulfate (1)	LC/MS Neg	100002028	4535	369.1741	13847309	521-17-5	
CPD000263	androstenediol (3beta,17beta) monosulfate (2)	LC/MS Neg	100002029	4500	369.1741			
CPD000264	androsterone glucuronide	LC/MS Neg	100002761	4953	465.2494	114833	1852-43-3	C11135
CPD000265	androsterone sulfate	LC/MS Neg	100001073	5022	369.1741	159663	2479-86-9	
CPD000266	anserine	LC/MS Neg	100000044	1124.8	239.115	112072	10030-52-1	C01262
CPD000267	anthranilate	LC/MS Pos Early	1258	2606	120.0444	227	118-92-3	C00108
CPD000268	arabinose	LC/MS Polar	828	1804.5	195.051	66308	28697-53-2	C00216
CPD000269	arabitol/xylitol	LC/MS Polar	100006430	1932.4	151.0612			
CPD000270	arabonate/xylonate	LC/MS Polar	100006115	2700	165.0405			
CPD000271	arachidate (20:0)	LC/MS Neg	893	6240	311.2956	10467	506-30-9	C06425
