compound_id	BIOCHEMICAL	INCHIKEY
CPD0335	1-palmitoyl-2-linoleoyl-GPE (16:0/18:2)	HBZNVZIRJWODIB-NHCUFCNUBC
CPD0147	1-palmitoyl-2-oleoyl-GPC (16:0/18:1)	WTJKGGKOPKCXLL-MRCUWXFGBH
CPD0144	1-palmitoyl-2-oleoyl-GPE (16:0/18:1)	FHQVHHIBKUMWTI-OTMQOFQLBI
CPD0487	1-palmitoyl-2-palmitoleoyl-GPC (16:0/16:1)*	NA
CPD0476	1-palmitoyl-2-stearoyl-GPC (16:0/18:0)	PZNPLUBHRSSFHT-RRHRGVEJBV
CPD0195	1-palmitoylglycerol (16:0)	QHZLMUACJMDIAE-UHFFFAOYAU
CPD0280	1-palmitoyl-GPA (16:0)	YNDYKPRNFWPPFU-GOSISDBHBW
CPD0243	1-palmitoyl-GPC (16:0)	ASWBNKHCZGQVJV-UHFFFAOYAM
CPD0295	1-palmitoyl-GPE (16:0)	YVYMBNSKXOXSKW-HXUWFJFHBX
CPD0434	1-palmitoyl-GPG (16:0)*	BVJSKAUUFXBDOB-UHFFFAOYAJ
CPD0315	1-palmitoyl-GPI (16:0)	NA
CPD0318	1-ribosyl-imidazoleacetate*	AHPWEWASPTZMEK-UHFFFAOYAY
CPD0334	1-stearoyl-2-arachidonoyl-GPC (18:0/20:4)	PSVRFUPOQYJOOZ-QNPWAGBNBV
CPD0474	1-stearoyl-2-docosahexaenoyl-GPC (18:0/22:6)	NA
CPD0485	1-stearoyl-2-linoleoyl-GPC (18:0/18:2)*	NA
CPD0484	1-stearoyl-2-linoleoyl-GPE (18:0/18:2)*	YDTWOEYVDRKKCR-KNERPIHHBL
CPD0489	1-stearoyl-2-linoleoyl-GPI (18:0/18:2)	KZVRAFHIKMDULK-PDPKURFXBD
CPD0471	1-stearoyl-2-oleoyl-GPC (18:0/18:1)	ATHVAWFAEPLPPQ-VRDBWYNSBX
CPD0246	1-stearoyl-GPC (18:0)	IHNKQIMGVNPMTC-RUZDIDTEBJ
CPD0284	1-stearoyl-GPE (18:0)	BBYWOYAFBUOUFP-JOCHJYFZBR
CPD0181	1-stearoyl-GPI (18:0)	LXUGKKVCSTYZFK-DYLKWFMLBW
CPD0575	2,3-dihydroxy-5-methylthio-4-pentenoate (DMTPA)*	NA
CPD0372	2,3-dihydroxyisovalerate	JTEYKUFKXGDTEU-UHFFFAOYAT
CPD0599	2,4-di-tert-butylphenol	NA
CPD0573	2,6-dihydroxybenzoic acid	AKEUNCKRJATALU-UHFFFAOYAG
CPD0345	21-hydroxypregnenolone disulfate	CBOVWLYQUCVTFA-WPWXJNKXBZ
CPD0049	2-aminoadipate	OYIFNHCXNCRBQI-UHFFFAOYAC
CPD0125	2-aminobutyrate	QWCKQJZIFLGMSD-GSVOUGTGBL
CPD0424	2-aminoheptanoate	RDFMDVXONNIGBC-UHFFFAOYAG
CPD0415	2-aminooctanoate	AKVBCGQVQXPRLD-UHFFFAOYAX
CPD0418	2-aminophenol sulfate	VSTZVCJQGSLNLL-UHFFFAOYAM
CPD0076	2'-deoxyuridine	MXHRCPNRJAMMIM-SHYZEUOFBK
CPD0291	2-hydroxy-3-methylvalerate	RILPIWOPNGRASR-UHFFFAOYAI
CPD0477	2-hydroxybutyrate/2-hydroxyisobutyrate	NA
CPD0410	2-hydroxydecanoate	GHPVDCPCKSNJDR-UHFFFAOYAC
CPD0571	2-hydroxyfluorene sulfate	NA
CPD0352	2-hydroxyglutarate	HWXBTNAVRSUOJR-UHFFFAOYAI
CPD0150	2-hydroxyhippurate (salicylurate)	ONJSZLXSECQROL-UHFFFAOYAK
CPD0479	2-hydroxylaurate	YDZIJQXINJLRLL-UHFFFAOYAT
CPD0188	2-hydroxyoctanoate	JKRDADVRIYVCCY-UHFFFAOYAG
CPD0299	2-hydroxypalmitate	JGHSBPIZNUXPLA-UHFFFAOYAI
CPD0556	2-hydroxysebacate	LPIOYESQKJFWPQ-UHFFFAOYAM
CPD0134	2-hydroxystearate	KIHBGTRZFAVZRV-UHFFFAOYAD
CPD0174	2-isopropylmalate	BITYXLXUCSKTJS-UHFFFAOYAE
CPD0438	2-keto-3-deoxy-gluconate	WPAMZTWLKIDIOP-WVZVXSGGBW
CPD0567	2-naphthol sulfate	HXEZIDSFDHEIIQ-UHFFFAOYAY
CPD0398	2-O-methylascorbic acid	RMHBODZVODTFAH-UHFFFAOYAP
CPD0512	2'-O-methyluridine	SXUXMRMBWZCMEN-ZOQUXTDFBL
CPD0294	2-palmitoyl-GPC (16:0)*	NEGQHKSYEYVFTD-HSZRJFAPBY
CPD0417	2-piperidinone	XUWHAWMETYGRKB-UHFFFAOYAE
CPD0216	2-pyrrolidinone	HNJBEVLQSNELDL-UHFFFAOYAP
CPD0370	2R,3R-dihydroxybutyrate	LOUGYXZSURQALL-PWNYCUMCBK
CPD0368	2S,3R-dihydroxybutyrate	LOUGYXZSURQALL-GBXIJSLDBN
CPD0407	2-stearoyl-GPE (18:0)*	KIHAGWUUUHJRMS-JOCHJYFZBB
CPD0279	3-(3-amino-3-carboxypropyl)uridine*	YXNIEZJFCGTDKV-JANFQQFMBG
CPD0024	3-(4-hydroxyphenyl)lactate	JVGVDSSUAVXRDY-UHFFFAOYAV
CPD0320	3,4-dihydroxybutyrate	NA
CPD0587	3,5-dichloro-2,6-dihydroxybenzoic acid	NA
CPD0552	3-amino-2-piperidone	YCCMTCQQDULIFE-UHFFFAOYAX
CPD0122	3-aminoisobutyrate	QCHPKSFMDHPSNR-UHFFFAOYAN
CPD0307	3beta,7alpha-dihydroxy-5-cholestenoate	GYJSAWZGYQXRBS-GRJZKGIBBR
CPD0462	3beta-hydroxy-5-cholestenoate	NA
CPD0413	3b-hydroxy-5-cholenoic acid	HIAJCGFYHIANNA-QIZZZRFXBQ
CPD0594	3-bromo-5-chloro-2,6-dihydroxybenzoic acid*	NA
CPD0543	3-carboxy-4-methyl-5-pentyl-2-furanpropionate (3-CMPFP)**	NA
CPD0228	3-carboxy-4-methyl-5-propyl-2-furanpropanoate (CMPF)	WMCQWXZMVIETAO-UHFFFAOYAJ
CPD0582	3-decenoylcarnitine	NA
CPD0549	3-formylindole	OLNJUISKUQQNIM-UHFFFAOYAL
CPD0227	3-hydroxy-2-ethylpropionate	ZMZQVAUJTDKQGE-UHFFFAOYAZ
CPD0008	3-hydroxy-3-methylglutarate	NPOAOTPXWNWTSH-NUQVWONBAH
CPD0028	3-hydroxybutyrate (BHBA)	WHBMMWSBFZVSSR-UHFFFAOYAO
CPD0547	3-hydroxybutyroylglycine**	NA
CPD0206	3-hydroxydecanoate	FYSSBMZUBSBFJL-UHFFFAOYAJ
CPD0583	3-hydroxydecanoylcarnitine	VCRSQDIROUELAR-UHFFFAOYAT
CPD0461	3-hydroxyhexanoate	HPMGFDVTYHWBAG-UHFFFAOYAJ
CPD0357	3-hydroxyhippurate	XDOFWFNMYJRHEW-UHFFFAOYAF
CPD0007	3-hydroxyisobutyrate	DBXBTMSZEOQQDU-REWHXWOFAW
CPD0221	3-hydroxylaurate	MUCMKTPAZLSKTL-UHFFFAOYAV
CPD0200	3-hydroxymyristate	ATRNZOYKSNPPBF-UHFFFAOYAM
CPD0189	3-hydroxyoctanoate	NDPLAKGOSZHTPH-UHFFFAOYAI
CPD0600	3-hydroxyoctanoylcarnitine (1)	NA
CPD0601	3-hydroxyoctanoylcarnitine (2)	NA
CPD0537	3-hydroxyoleate*	NA
CPD0445	3-hydroxypyridine sulfate	NA
CPD0554	3-indoleglyoxylic acid	DWLVFWDCSFTDOD-UHFFFAOYAW
CPD0177	3-indoxyl sulfate	BXFFHSIDQOFMLE-UHFFFAOYAB
CPD0140	3-methoxytyrosine	PFDUUKDQEHURQC-ZETCQYMHBZ
CPD0412	3-methyl catechol sulfate (1)	NA
CPD0373	3-methylglutaconate	WKRBKYFIJPGYQC-DUXPYHPUBK
CPD0163	3-methylhistidine	JDHILDINMRGULE-LURJTMIEBU
CPD0157	3-phenylpropionate (hydrocinnamate)	XMIIGOLPHOKFCH-UHFFFAOYAR
CPD0113	3-ureidopropionate	JSJWCHRYRHKBBW-UHFFFAOYAH
CPD0121	4-acetamidobutanoate	UZTFMUBKZQVKLK-UHFFFAOYAY
CPD0570	4-allylcatechol sulfate	NA
CPD0333	4-allylphenol sulfate	NA
CPD0365	4-cholesten-3-one	NYOXRYYXRWJDKP-UHFFFAOYAV
CPD0327	4-ethylphenylsulfate	NA
CPD0165	4-guanidinobutanoate	TUHVEAJXIMEOSA-UHFFFAOYAM
CPD0379	4-hydroxyglutamate	HBDWQSHEVMSFGY-SCQFTWEKBW
CPD0277	4-hydroxyhippurate	ZMHLUFWWWPBTIU-UHFFFAOYAI
CPD0010	4-hydroxynonenal	JVJFIQYAHPMBBX-UHFFFAOYAI
CPD0011	4-hydroxyphenylacetate	XQXPVVBIMDBYFF-REWHXWOFAL
CPD0451	4-methoxyphenol sulfate	NA
CPD0411	4-methylcatechol sulfate	NA
CPD0586	4-vinylcatechol sulfate	NA
CPD0326	4-vinylphenol sulfate	IETVQHUKTKKBFF-UHFFFAOYAU
CPD0012	5,6-dihydrothymine	NBAKTGXDIBVZOO-UHFFFAOYAR
CPD0124	5,6-dihydrouracil	OIVLITBTBDPEFK-UHFFFAOYAM
CPD0278	5,6-dihydrouridine	ZPTBLXKRQACLCR-XVFCMESIBI
CPD0338	5alpha-androstan-3beta,17beta-diol disulfate	NA
CPD0339	5alpha-pregnan-3beta,20alpha-diol disulfate	NA
CPD0347	5alpha-pregnan-3beta,20alpha-diol monosulfate (2)	NA
CPD0346	5alpha-pregnan-3beta,20beta-diol monosulfate (1)	NA
CPD0237	5-dodecenoate (12:1n7)	IJBFSOLHRKELLR-FPLPWBNLBG
CPD0535	5-dodecenoylcarnitine (C12:1)	NA
CPD0360	5-HEPE	FTAGQROYQYQRHF-FCWZHQICBZ
CPD0361	5-HETE	KGIJOOYOSFUGPC-XTDASVJIBK
CPD0224	5-hydroxyhexanoate	YDCRNMJQROAWFT-UHFFFAOYAI
CPD0004	5-hydroxyindoleacetate	DUUGKQCEGZLZNO-UHFFFAOYAY
CPD0164	5-hydroxylysine	YSMODUONRAFBET-UHFFFAOYAX
CPD0281	5-methyluridine (ribothymidine)	DWRXFEITVBNRMK-JXOAFFINBW
CPD0107	5-oxoproline	ODHCTXKNWHHXJC-VKHMYHEABY
CPD0557	6-bromotryptophan	NA
CPD0450	6-hydroxyindole sulfate	NA
CPD0441	7-hydroxycholesterol (alpha or beta)	NA
CPD0283	7-methylguanine	FZWGECJQACGGTI-UHFFFAOYAT
CPD0202	8-hydroxyoctanoate	KDMSVYIHKLZKET-UHFFFAOYAJ
CPD0014	9,10-DiHOME	XEBKSQSGNGRGDW-YFHOEESVBC
CPD0436	9-hydroxystearate	RKHXDCVAPIMDMG-UHFFFAOYAA
CPD0194	acetylcarnitine (C2)	RDHQFKQIGNGIED-MRVPVSSYBU
CPD0423	acisoga	OAUYENAPBFTAQT-UHFFFAOYAN
CPD0266	aconitate [cis or trans]	NA
CPD0093	adenine	GFFGJBXGBJISGV-UHFFFAOYAT
CPD0020	adenosine 5'-monophosphate (AMP)	UDMBCSSLTHHNCD-RWLQFSFNBF
CPD0199	adipate (C6-DC)	WNLRTRBMVRJNCN-UHFFFAOYAY
CPD0467	adipoylcarnitine (C6-DC)	BSVHAXJKBCWVDA-UHFFFAOYAF
CPD0231	adrenate (22:4n6)	TWSWSIQAPQLDBP-CGRWFSSPBH
CPD0088	alanine	QNAYBMKLOCPYGJ-REOHCLBHBS
CPD0105	allantoin	POJWUDADGALRAB-UHFFFAOYAE
CPD0319	alpha-hydroxycaproate	NYHNVHGFPZAZGA-UHFFFAOYAC
CPD0185	alpha-hydroxyisocaproate	LVRFTAZAXQPQHI-YFKPBYRVBW
CPD0257	alpha-hydroxyisovalerate	NGEWQZIDQIYUNV-UHFFFAOYAS
CPD0371	alpha-ketoglutaramate*	COJBGNAUUSNXHX-UHFFFAOYAQ
CPD0005	alpha-ketoglutarate	KPGXRSRHYNQIFN-UHFFFAOYAN
CPD0348	androstenediol (3alpha, 17alpha) monosulfate (3)	NA
CPD0342	androstenediol (3beta,17beta) disulfate (1)	NA
CPD0344	androstenediol (3beta,17beta) disulfate (2)	NA
CPD0349	androstenediol (3beta,17beta) monosulfate (1)	NA
CPD0350	androstenediol (3beta,17beta) monosulfate (2)	NA
CPD0380	androsterone glucuronide	VFUIRAVTUVCQTF-BSOWLZGZBS
CPD0215	androsterone sulfate	ZMITXKRGXGRMKS-CZTOYULQBN
CPD0137	anthranilate	RWZYAGGXGHYGMB-UHFFFAOYAS
CPD0464	arabitol/xylitol	NA
CPD0446	arabonate/xylonate	NA
CPD0098	arachidate (20:0)	VKOBVWXKNCXXDE-UHFFFAOYAB
CPD0021	arachidonate (20:4n6)	YZXBAPSDXZZRGB-DOFZRALJBE
CPD0528	arachidonoylcarnitine (C20:4)	NA
CPD0381	argininate*	BMFMQGXDDJALKQ-BYPYZUCNBB
CPD0022	arginine	ODKSFYDXXFIFQN-UHFFFAOYAT
CPD0508	ascorbic acid 2-sulfate	SKKZOYBAANIUOV-ZAFYKAAXBH
CPD0099	asparagine	DCXYFEDJOCDNAF-REOHCLBHBD
CPD0023	aspartate	CKLJMWTZIZZHCS-REOHCLBHBW
CPD0151	azelate (C9-DC)	BDJRBEYXGGNYIS-UHFFFAOYAK
CPD0495	behenoyl dihydrosphingomyelin (d18:0/22:0)*	FONAXCRWZQFJHY-JCGOJSMZBF
CPD0455	behenoyl sphingomyelin (d18:1/22:0)*	NA
CPD0156	benzoate	WPYMKLBDIGXBTP-UHFFFAOYAD
CPD0025	beta-alanine	UCMIRNVEIXFBKS-UHFFFAOYAL
CPD0399	beta-citrylglutamate	GAQNUGISBQJMKO-UHFFFAOYAK
CPD0141	beta-hydroxyisovalerate	4000
CPD0084	betaine	KWIUHFFTVRNATP-UHFFFAOYAI
CPD0602	bilirubin degradation product, C16H18N2O5 (2)**	NA
CPD0607	bilirubin degradation product, C16H18N2O5 (3)**	NA
CPD0608	bilirubin degradation product, C16H18N2O5 (4)**	NA
CPD0603	bilirubin degradation product, C17H18N2O4 (3)**	NA
CPD0604	bilirubin degradation product, C17H20N2O5 (1)**	NA
CPD0605	bilirubin degradation product, C17H20N2O5 (2)**	NA
CPD0026	biliverdin	QBUVFDKTZJNUPP-BBROENKCBK
CPD0205	bradykinin	QXZGBUJJYSLZLT-FDISYFBBBG
CPD0593	branched-chain, straight-chain, or cyclopropyl 10:1 fatty acid (1)*	NA
CPD0595	branched-chain, straight-chain, or cyclopropyl 12:1 fatty acid*	NA
CPD0129	butyrate/isobutyrate (4:0)	FERIUCNNQQJTOY-UHFFFAOYAP
CPD0094	caprate (10:0)	GHVNFZFCNZKVNT-UHFFFAOYAC
CPD0101	caproate (6:0)	FUZZWVXGSFPDMH-UHFFFAOYAY
CPD0102	caprylate (8:0)	WWZKQHOCKIZLMA-UHFFFAOYAH
CPD0155	carnitine	PHIQHXFUZVPYII-ZCFIWIBFBS
CPD0305	catechol sulfate	MZPWKJZDOCIALD-UHFFFAOYAC
CPD0517	ceramide (d18:2/24:1, d18:1/24:2)*	NA
CPD0526	cerotoylcarnitine (C26)*	KOCKWDDTAHPJSX-UHFFFAOYAQ
CPD0463	C-glycosyltryptophan	CPXSBHKDEPPWIX-RAYCSJGIBM
CPD0009	cholate	BHQCQFFYRZLCQQ-OELDTZBJBZ
CPD0029	cholesterol	HVYWMOMLDIMFJA-LBHVWCRMBB
CPD0306	cholesterol sulfate	BHYOQNUELFTYRT-WHYDCBPWBW
CPD0136	choline	CRBHXDCYXIISFC-UHFFFAOYAW
CPD0030	choline phosphate	YHHSONZFOIEMCP-UHFFFAOYAD
CPD0366	cinnamoylglycine	YAADMLWHGMUGQL-VOTSOKGWBK
CPD0597	cis-3,4-methyleneheptanoate	NA
CPD0598	cis-3,4-methyleneheptanoylcarnitine	NA
CPD0382	cis-4-decenoate (10:1n6)*	XKZKQTCECFWKBN-SREVYHEPBE
CPD0367	cis-4-decenoylcarnitine (C10:1)	NA
CPD0466	citraconate/glutaconate	NA
CPD0207	citramalate	XFTRTWQBIOMVPK-UHFFFAOYAT
CPD0123	citrate	KRKNYBCHXYNGOX-UHFFFAOYAM
CPD0050	citrulline	RHGKLRLOHDJJDR-UHFFFAOYAQ
CPD0045	cortisol	JYGXADMDTFJGBT-VWUMJDOOBO
CPD0031	cortisone	IWIJFUQFXLWZIA-UHFFFAOYAP
CPD0533	cortolone glucuronide (1)	NA
CPD0132	creatine	CVSVTCORWBXHQV-UHFFFAOYAV
CPD0032	creatinine	DDRJAANPRJIHGJ-UHFFFAOYAV
CPD0035	cystathionine	ILRYLPWNYFXEMH-UHFFFAOYAH
CPD0085	cysteine	XUJNEKJLAYXESH-REOHCLBHBU
CPD0033	cysteinylglycine	ZUKPVRWZDMRIEO-UHFFFAOYAS
CPD0374	cysteinylglycine disulfide*	ZHRLECIZINSPKL-AKGZTFGVBW
CPD0596	decadienedioic acid (C10:2-DC)**	NA
CPD0239	decanoylcarnitine (C10)	LZOSYCMHQXPBFU-UHFFFAOYAC
CPD0193	dehydroepiandrosterone sulfate (DHEA-S)	CZWCKYRVOZZJNM-USOAJAOKBK
CPD0558	delta-CEHC	BNVXCCQXUZCRSR-UHFFFAOYAT
CPD0317	deoxycarnitine	JHPNVNIEXXLNTR-UHFFFAOYAL
CPD0569	deoxycholic acid glucuronide	NA
CPD0133	dihomo-linoleate (20:2n6)	XSXIVVZCUAHUJO-HZJYTTRNBM
CPD0323	dihomo-linolenate (20:3n3 or n6)	AHANXAKGNAKFSK-PDBXOOCHBM
CPD0531	dihomo-linolenoylcarnitine (C20:3n3 or 6)*	NA
CPD0530	dihomo-linoleoylcarnitine (C20:2)*	NA
CPD0331	dimethylarginine (SDMA + ADMA)	YDGMGEXADBMOMJ-LURJTMIEBT
CPD0087	dimethylglycine	FFDGPVCHZBVARC-UHFFFAOYAX
CPD0230	docosadienoate (22:2n6)	HVGRZDASOHMCSK-AVQMFFATBO
CPD0390	docosadioate (C22-DC)	4000
CPD0183	docosahexaenoate (DHA; 22:6n3)	MBMBGCFOFBJSGT-KUBAVDMBBZ
CPD0229	docosapentaenoate (n3 DPA; 22:5n3)	YUFFSWGQGVEMMI-RCHUDCCIBW
CPD0300	docosapentaenoate (n6 DPA; 22:5n6)	AVKOENOBFIYBSA-WMPRHZDHBF
CPD0565	dodecadienoate (12:2)*	NA
CPD0219	dodecanedioate (C12-DC)	TVIDDXQYHWJXFK-UHFFFAOYAC
CPD0539	dodecenedioate (C12:1-DC)*	NA
CPD0460	dopamine 3-O-sulfate	NZKRYJGNYPYXJZ-UHFFFAOYAU
CPD0389	eicosanedioate (C20-DC)	JJOJFIHJIRWASH-UHFFFAOYAR
CPD0152	eicosapentaenoate (EPA; 20:5n3)	JAZBEHYOTPTENJ-JLNKQSITBZ
CPD0264	eicosenoate (20:1)	BITHHVVYSMSWAG-KTKRTIGZBC
CPD0529	eicosenoylcarnitine (C20:1)*	NA
CPD0253	epiandrosterone sulfate	ZMITXKRGXGRMKS-KZBQTZLVBC
CPD0116	erucate (22:1n9)	DPUOLQHDNGRHBS-UHFFFAOYAW
CPD0198	erythritol	UNXHWFMMPAWVPI-UHFFFAOYAU
CPD0260	erythronate*	JPIJQSOTBSSVTP-PWNYCUMCBA
CPD0555	ethyl beta-glucopyranoside	WYUFTYLVLQZQNH-JAJWTYFOBO
CPD0154	ethylmalonate	UKFXDFUAPNAMPJ-UHFFFAOYAZ
CPD0261	Fibrinopeptide A*	JWICNZAGYSIBAR-UHFFFAOYAQ
CPD0376	formiminoglutamate	NRXIKWMTVXPVEF-BYPYZUCNBD
CPD0092	fructose	BJHIKXHVCXFQLS-UYFOZJQFBH
CPD0430	fructosyllysine	BFSYFTQDGRDJNV-QCNRFFRDBO
CPD0037	fumarate	VZCYOOQTPOCHFL-OWOJBTEDBF
CPD0353	gamma-CEHC	VMJQLPNCUPGMNQ-UHFFFAOYAS
CPD0416	gamma-CEHC glucuronide*	NA
CPD0513	gamma-glutamyl-alpha-lysine	LNLLNTMHVMIMOG-YUMQZZPRBS
CPD0038	gamma-glutamylglutamate	OWQDWQKWSLFFFR-WDSKDSINBR
CPD0255	gamma-glutamylglycine	ACIJGUBIMXQCMF-BYPYZUCNBW
CPD0286	gamma-glutamylisoleucine*	SNCKGJWJABDZHI-SIPWABPFBP
CPD0138	gamma-glutamylleucine	MYFMARDICOWMQP-YUMQZZPRBM
CPD0178	gamma-glutamylphenylalanine	XHHOHZPNYFQJKL-QWRGUYRKBO
CPD0258	gamma-glutamylthreonine	GWNXFCYUJXASDX-JUZNGCLZBW
CPD0118	gamma-glutamyltyrosine	VVLXCWVSSLFQDS-QWRGUYRKBA
CPD0223	gamma-glutamylvaline	SITLTJHOQZFJGG-UUEFVBAFBQ
CPD0039	gluconate	RGHNJXZEOKUKBD-SQOUGZDYBY
CPD0083	glucose	WQZGKKKJIJFFOK-DVKNGEFBBQ
CPD0167	glucuronate	IAJILQKETJEXLJ-QTBDOELSBX
CPD0078	glutamate	WHUUTDBJXJRKMK-UHFFFAOYAD
CPD0079	glutamine	ZDXPYRJPNDTMRX-VKHMYHEABV
CPD0550	glutamine conjugate of C6H10O2 (1)*	NA
CPD0290	glutamine_degradant*	NPWMTBZSRRLQNJ-UHFFFAOYAH
CPD0040	glutarate (C5-DC)	JFCQEDHGNNZCLN-NUQVWONBAE
CPD0303	glutarylcarnitine (C5-DC)	NXJAXUYOQLTISD-UHFFFAOYAA
CPD0112	glycerate	RBNPOMFGQQGHHO-UHFFFAOYAE
CPD0135	glycerol	PEDCQBHIVMGVHV-UHFFFAOYAF
CPD0168	glycerol 3-phosphate	AWUCVROLDVIAJX-UHFFFAOYAM
CPD0312	glycerophosphoethanolamine	JZNWSCPGTDBMEW-UHFFFAOYAI
CPD0313	glycerophosphoinositol*	NA
CPD0171	glycerophosphorylcholine (GPC)	SUHOQUVVVLNYQR-MRVPVSSYBR
CPD0041	glycine	DHMQDGOQFOQNFH-UHFFFAOYAW
CPD0148	glycochenodeoxycholate	GHCZAUBVMUEKKP-UHFFFAOYAS
CPD0468	glycochenodeoxycholate 3-sulfate	NA
CPD0506	glycochenodeoxycholate glucuronide (1)	NA
CPD0042	glycocholate	RFDAIACWWDREDC-FRVQLJSFBG
CPD0340	glycocholenate sulfate*	NA
CPD0316	glycolithocholate sulfate*	FHXBAFXQVZOILS-OETIFKLTBP
CPD0507	glycosyl-N-palmitoyl-sphingosine (d18:1/16:0)	NA
CPD0386	glycoursodeoxycholate	4000
