compound_id	chemical_name	analysismode	mz	rt	BIOCHEMICAL
C000059	1-stearoyl-2-linoleoyl-GPI (18:0/18:2)	RP_POS	880.591	3185	1-stearoyl-2-linoleoyl-GPI (18:0/18:2)
C000060	1-stearoyl-2-oleoyl-GPC (18:0/18:1)	RP_POS	788.6164	2644	1-stearoyl-2-oleoyl-GPC (18:0/18:1)
C000061	1-stearoyl-2-oleoyl-GPE (18:0/18:1)	RP_POS	746.5694	2858	1-stearoyl-2-oleoyl-GPE (18:0/18:1)
C000062	1-stearoyl-2-oleoyl-GPI (18:0/18:1)	RP_POS	882.6066	3711	1-stearoyl-2-oleoyl-GPI (18:0/18:1)
C000063	1-stearoyl-2-oleoyl-GPS (18:0/18:1)	RP_POS	790.5593	3000	1-stearoyl-2-oleoyl-GPS (18:0/18:1)
C000064	1-stearoyl-GPC (18:0)	RP_POS	524.3711	1606	1-stearoyl-GPC (18:0)
C000065	1-stearoyl-GPE (18:0)	RP_POS	482.3241	1626	1-stearoyl-GPE (18:0)
C000066	1,2-dilinoleoyl-GPC (18:2/18:2)	RP_POS	782.5694	2006	1,2-dilinoleoyl-GPC (18:2/18:2)
C000067	1,2-dilinoleoyl-GPE (18:2/18:2)	RP_POS	740.5225	2083	1,2-dilinoleoyl-GPE (18:2/18:2)
C000068	1,2-dipalmitoyl-GPC (16:0/16:0)	RP_POS	734.5694	2365	1,2-dipalmitoyl-GPC (16:0/16:0)
C000069	4-cholesten-3-one	RP_POS	385.3465	2520	4-cholesten-3-one
C000070	alpha-tocopherol	RP_POS	430.3782	2522	alpha-tocopherol
C000071	arachidonoylcarnitine (C20:4)	RP_POS	448.3422	1353	arachidonoylcarnitine (C20:4)
C000072	arachidonoylcholine	RP_POS	390.3367	1390	arachidonoylcholine
C000073	arachidoylcarnitine (C20)	RP_POS	456.4047	1512	arachidoylcarnitine (C20)
C000074	behenoyl dihydrosphingomyelin (d18:0/22:0)	RP_POS	789.6844	3150	behenoyl dihydrosphingomyelin (d18:0/22:0)
C000075	behenoyl sphingomyelin (d18:1/22:0)	RP_POS	787.6688	3083	behenoyl sphingomyelin (d18:1/22:0)
C000076	beta-cryptoxanthin	RP_POS	552.4326	2560	beta-cryptoxanthin
C000077	bilirubin (E,E)	RP_POS	585.2708	1045	bilirubin (E,E)
C000078	bilirubin (Z,Z)	RP_POS	585.2708	1840	bilirubin (Z,Z)
C000079	biliverdin	RP_POS	583.2551	1016	biliverdin
C000080	carotene diol (1)	RP_POS	568.4276	1720	carotene diol (1)
C000081	carotene diol (2)	RP_POS	568.4279	1904	carotene diol (2)
C000082	carotene diol (3)	RP_POS	568.4279	1948	carotene diol (3)
C000083	ceramide (d16:1/24:1, d18:1/22:1)	RP_POS	620.5976	3850	ceramide (d16:1/24:1, d18:1/22:1)
C000084	ceramide (d18:1/14:0, d16:1/16:0)	RP_POS	510.4881	2477	ceramide (d18:1/14:0, d16:1/16:0)
C000085	ceramide (d18:1/17:0, d17:1/18:0)	RP_POS	552.5351	3055	ceramide (d18:1/17:0, d17:1/18:0)
C000086	ceramide (d18:1/20:0, d16:1/22:0, d20:1/18:0)	RP_POS	594.582	3920	ceramide (d18:1/20:0, d16:1/22:0, d20:1/18:0)
C000087	ceramide (d18:2/24:1, d18:1/24:2)	RP_POS	646.6133	3858	ceramide (d18:2/24:1, d18:1/24:2)
C000088	cerotoylcarnitine (C26)	RP_POS	540.4986	1649	cerotoylcarnitine (C26)
C000089	cholesterol	RP_POS	369.3516	2707	cholesterol
C000090	cis-4-decenoylcarnitine (C10:1)	RP_POS	314.2326	1057	cis-4-decenoylcarnitine (C10:1)
C000091	decanoylcarnitine (C10)	RP_POS	316.2482	1130	decanoylcarnitine (C10)
C000092	diacylglycerol (12:0/18:1, 14:0/16:1, 16:0/14:1) [2]	RP_POS	556.4936	2716	diacylglycerol (12:0/18:1, 14:0/16:1, 16:0/14:1) [2]
C000093	diacylglycerol (14:0/18:1, 16:0/16:1) [1]	RP_POS	584.5249	3057	diacylglycerol (14:0/18:1, 16:0/16:1) [1]
C000094	diacylglycerol (14:0/18:1, 16:0/16:1) [2]	RP_POS	584.5249	3183	diacylglycerol (14:0/18:1, 16:0/16:1) [2]
C000095	diacylglycerol (16:1/18:2 [2], 16:0/18:3 [1])	RP_POS	608.5249	2733	diacylglycerol (16:1/18:2 [2], 16:0/18:3 [1])
C000096	dihomo-linolenoylcarnitine (C20:3n3 or 6)	RP_POS	450.3578	1392	dihomo-linolenoylcarnitine (C20:3n3 or 6)
C000097	dihomo-linoleoylcarnitine (C20:2)	RP_POS	452.3734	1436	dihomo-linoleoylcarnitine (C20:2)
C000098	docosahexaenoylcarnitine (C22:6)	RP_POS	472.3422	1349	docosahexaenoylcarnitine (C22:6)
C000099	docosahexaenoylcholine	RP_POS	414.3367	1378	docosahexaenoylcholine
C000100	gamma-tocopherol/beta-tocopherol	RP_POS	416.3643	2384	gamma-tocopherol/beta-tocopherol
C000101	glycosyl ceramide (d16:1/24:1, d18:1/22:1)	RP_POS	782.6505	3373	glycosyl ceramide (d16:1/24:1, d18:1/22:1)
C000102	glycosyl ceramide (d18:1/20:0, d16:1/22:0)	RP_POS	756.6348	3414	glycosyl ceramide (d18:1/20:0, d16:1/22:0)
C000103	glycosyl ceramide (d18:1/23:1, d17:1/24:1)	RP_POS	796.6661	3667	glycosyl ceramide (d18:1/23:1, d17:1/24:1)
C000104	glycosyl ceramide (d18:2/24:1, d18:1/24:2)	RP_POS	808.6661	3380	glycosyl ceramide (d18:2/24:1, d18:1/24:2)
C000105	glycosyl-N-(2-hydroxynervonoyl)-sphingosine (d18:1/24:1(2OH))	RP_POS	826.6767	3839	glycosyl-N-(2-hydroxynervonoyl)-sphingosine (d18:1/24:1(2OH))
C000106	glycosyl-N-behenoyl-sphingadienine (d18:2/22:0)	RP_POS	782.6505	3420	glycosyl-N-behenoyl-sphingadienine (d18:2/22:0)
C000107	glycosyl-N-palmitoyl-sphingosine (d18:1/16:0)	RP_POS	700.5722	2623	glycosyl-N-palmitoyl-sphingosine (d18:1/16:0)
C000108	glycosyl-N-stearoyl-sphingosine (d18:1/18:0)	RP_POS	728.6035	3053	glycosyl-N-stearoyl-sphingosine (d18:1/18:0)
C000109	heme	RP_POS	616.1762	1124	heme
C000110	hexanoylcarnitine (C6)	RP_POS	260.1856	800	hexanoylcarnitine (C6)
C000111	lactosyl-N-behenoyl-sphingosine (d18:1/22:0)	RP_POS	946.7189	3842	lactosyl-N-behenoyl-sphingosine (d18:1/22:0)
C000112	lactosyl-N-nervonoyl-sphingosine (d18:1/24:1)	RP_POS	972.7346	3778	lactosyl-N-nervonoyl-sphingosine (d18:1/24:1)
C000113	lactosyl-N-palmitoyl-sphingosine (d18:1/16:0)	RP_POS	862.625	2527	lactosyl-N-palmitoyl-sphingosine (d18:1/16:0)
C000114	laurylcarnitine (C12)	RP_POS	344.2795	1235	laurylcarnitine (C12)
C000115	lignoceroyl sphingomyelin (d18:1/24:0)	RP_POS	815.7001	3437	lignoceroyl sphingomyelin (d18:1/24:0)
C000116	lignoceroylcarnitine (C24)	RP_POS	512.4673	1603	lignoceroylcarnitine (C24)
C000117	linolenoylcarnitine (C18:3)	RP_POS	422.3265	1310	linolenoylcarnitine (C18:3)
C000118	linoleoyl-arachidonoyl-glycerol (18:2/20:4) [1]	RP_POS	658.5405	2590	linoleoyl-arachidonoyl-glycerol (18:2/20:4) [1]
C000119	linoleoyl-docosahexaenoyl-glycerol (18:2/22:6) [1]	RP_POS	682.5405	2450	linoleoyl-docosahexaenoyl-glycerol (18:2/22:6) [1]
C000120	linoleoyl-linolenoyl-glycerol (18:2/18:3) [1]	RP_POS	632.5249	2426	linoleoyl-linolenoyl-glycerol (18:2/18:3) [1]
C000121	linoleoyl-linoleoyl-glycerol (18:2/18:2) [1]	RP_POS	634.5405	2720	linoleoyl-linoleoyl-glycerol (18:2/18:2) [1]
C000122	linoleoylcarnitine (C18:2)	RP_POS	424.3421	1430	linoleoylcarnitine (C18:2)
C000123	linoleoylcholine	RP_POS	366.3367	1388	linoleoylcholine
C000124	margaroylcarnitine (C17)	RP_POS	414.3578	1424	margaroylcarnitine (C17)
C000125	myristoleoylcarnitine (C14:1)	RP_POS	370.2947	1316	myristoleoylcarnitine (C14:1)
C000126	myristoyl dihydrosphingomyelin (d18:0/14:0)	RP_POS	677.5592	2060	myristoyl dihydrosphingomyelin (d18:0/14:0)
C000127	myristoyl-linoleoyl-glycerol (14:0/18:2) [1]	RP_POS	582.5092	2679	myristoyl-linoleoyl-glycerol (14:0/18:2) [1]
C000128	myristoyl-linoleoyl-glycerol (14:0/18:2) [2]	RP_POS	582.5092	2720	myristoyl-linoleoyl-glycerol (14:0/18:2) [2]
C000129	myristoylcarnitine (C14)	RP_POS	372.3108	1350	myristoylcarnitine (C14)
C000130	N-behenoyl-sphingadienine (d18:2/22:0)	RP_POS	620.5976	3911	N-behenoyl-sphingadienine (d18:2/22:0)
C000131	N-palmitoyl-sphingadienine (d18:2/16:0)	RP_POS	536.5037	2490	N-palmitoyl-sphingadienine (d18:2/16:0)
C000132	N-palmitoyl-sphinganine (d18:0/16:0)	RP_POS	540.535	3090	N-palmitoyl-sphinganine (d18:0/16:0)
C000133	N-palmitoyl-sphingosine (d18:1/16:0)	RP_POS	538.5194	2893	N-palmitoyl-sphingosine (d18:1/16:0)
C000134	N-stearoyl-sphingadienine (d18:2/18:0)	RP_POS	564.535	2846	N-stearoyl-sphingadienine (d18:2/18:0)
C000135	N-stearoyl-sphinganine (d18:0/18:0)	RP_POS	568.5663	3526	N-stearoyl-sphinganine (d18:0/18:0)
C000136	N-stearoyl-sphingosine (d18:1/18:0)	RP_POS	566.5507	3392	N-stearoyl-sphingosine (d18:1/18:0)
C000137	octadecanedioylcarnitine (C18-DC)	RP_POS	458.3476	1227	octadecanedioylcarnitine (C18-DC)
C000138	octadecenedioylcarnitine (C18:1-DC)	RP_POS	456.332	1180	octadecenedioylcarnitine (C18:1-DC)
C000139	octanoylcarnitine (C8)	RP_POS	288.2169	950	octanoylcarnitine (C8)
C000140	oleoyl-arachidonoyl-glycerol (18:1/20:4) [1]	RP_POS	660.5562	2907	oleoyl-arachidonoyl-glycerol (18:1/20:4) [1]
C000141	oleoyl-arachidonoyl-glycerol (18:1/20:4) [2]	RP_POS	660.5562	2990	oleoyl-arachidonoyl-glycerol (18:1/20:4) [2]
C000142	oleoyl-linoleoyl-glycerol (18:1/18:2) [1]	RP_POS	636.5562	3115	oleoyl-linoleoyl-glycerol (18:1/18:2) [1]
C000143	oleoyl-linoleoyl-glycerol (18:1/18:2) [2]	RP_POS	636.5562	3223	oleoyl-linoleoyl-glycerol (18:1/18:2) [2]
C000144	oleoyl-oleoyl-glycerol (18:1/18:1) [1]	RP_POS	638.5718	3571	oleoyl-oleoyl-glycerol (18:1/18:1) [1]
C000145	oleoyl-oleoyl-glycerol (18:1/18:1) [2]	RP_POS	638.5718	3695	oleoyl-oleoyl-glycerol (18:1/18:1) [2]
C000146	oleoylcarnitine (C18:1)	RP_POS	426.3578	1423	oleoylcarnitine (C18:1)
C000147	oleoylcholine	RP_POS	368.3523	1449	oleoylcholine
C000148	palmitoleoyl-linoleoyl-glycerol (16:1/18:2) [1]	RP_POS	608.5249	2664	palmitoleoyl-linoleoyl-glycerol (16:1/18:2) [1]
C000149	palmitoleoylcarnitine (C16:1)	RP_POS	398.3265	1357	palmitoleoylcarnitine (C16:1)
C000150	palmitoyl dihydrosphingomyelin (d18:0/16:0)	RP_POS	705.5905	2290	palmitoyl dihydrosphingomyelin (d18:0/16:0)
C000151	palmitoyl sphingomyelin (d18:1/16:0)	RP_POS	703.5749	2168	palmitoyl sphingomyelin (d18:1/16:0)
C000152	palmitoyl-arachidonoyl-glycerol (16:0/20:4) [1]	RP_POS	634.5405	2916	palmitoyl-arachidonoyl-glycerol (16:0/20:4) [1]
C000153	palmitoyl-arachidonoyl-glycerol (16:0/20:4) [2]	RP_POS	634.5405	3015	palmitoyl-arachidonoyl-glycerol (16:0/20:4) [2]
C000154	palmitoyl-docosahexaenoyl-glycerol (16:0/22:6) [1]	RP_POS	658.5405	2749	palmitoyl-docosahexaenoyl-glycerol (16:0/22:6) [1]
C000155	palmitoyl-linoleoyl-glycerol (16:0/18:2) [1]	RP_POS	610.5405	3080	palmitoyl-linoleoyl-glycerol (16:0/18:2) [1]
C000156	palmitoyl-linoleoyl-glycerol (16:0/18:2) [2]	RP_POS	610.5405	3197	palmitoyl-linoleoyl-glycerol (16:0/18:2) [2]
C000157	palmitoyl-myristoyl-glycerol (16:0/14:0) [1]	RP_POS	558.5092	3054	palmitoyl-myristoyl-glycerol (16:0/14:0) [1]
C000158	palmitoyl-myristoyl-glycerol (16:0/14:0) [2]	RP_POS	558.5092	3180	palmitoyl-myristoyl-glycerol (16:0/14:0) [2]
C000159	palmitoyl-oleoyl-glycerol (16:0/18:1) [1]	RP_POS	612.5562	3562	palmitoyl-oleoyl-glycerol (16:0/18:1) [1]
C000160	palmitoyl-oleoyl-glycerol (16:0/18:1) [2]	RP_POS	612.5562	3695	palmitoyl-oleoyl-glycerol (16:0/18:1) [2]
C000161	palmitoyl-palmitoyl-glycerol (16:0/16:0) [1]	RP_POS	586.5405	3568	palmitoyl-palmitoyl-glycerol (16:0/16:0) [1]
C000162	palmitoyl-palmitoyl-glycerol (16:0/16:0) [2]	RP_POS	586.5405	3734	palmitoyl-palmitoyl-glycerol (16:0/16:0) [2]
C000163	palmitoylcarnitine (C16)	RP_POS	400.3421	1425	palmitoylcarnitine (C16)
C000164	palmitoylcholine	RP_POS	342.3367	1482	palmitoylcholine
C000165	retinol (Vitamin A)	RP_POS	269.2264	1636	retinol (Vitamin A)
C000166	sphinganine	RP_POS	302.3054	1413	sphinganine
C000167	sphinganine-1-phosphate	RP_POS	382.2717	1431	sphinganine-1-phosphate
C000168	sphingomyelin (d17:1/14:0, d16:1/15:0)	RP_POS	661.5279	1950	sphingomyelin (d17:1/14:0, d16:1/15:0)
C000169	sphingomyelin (d17:1/16:0, d18:1/15:0, d16:1/17:0)	RP_POS	689.5592	2082	sphingomyelin (d17:1/16:0, d18:1/15:0, d16:1/17:0)
C000170	sphingomyelin (d17:2/16:0, d18:2/15:0)	RP_POS	687.5436	1837	sphingomyelin (d17:2/16:0, d18:2/15:0)
C000171	sphingomyelin (d18:0/18:0, d19:0/17:0)	RP_POS	733.6218	2362	sphingomyelin (d18:0/18:0, d19:0/17:0)
C000172	sphingomyelin (d18:0/20:0, d16:0/22:0)	RP_POS	761.6531	2600	sphingomyelin (d18:0/20:0, d16:0/22:0)
C000173	sphingomyelin (d18:1/14:0, d16:1/16:0)	RP_POS	675.5436	1998	sphingomyelin (d18:1/14:0, d16:1/16:0)
C000174	sphingomyelin (d18:1/17:0, d17:1/18:0, d19:1/16:0)	RP_POS	717.5905	2312	sphingomyelin (d18:1/17:0, d17:1/18:0, d19:1/16:0)
C000175	sphingomyelin (d18:1/18:1, d18:2/18:0)	RP_POS	729.5905	2167	sphingomyelin (d18:1/18:1, d18:2/18:0)
C000176	sphingomyelin (d18:1/19:0, d19:1/18:0)	RP_POS	745.6218	2330	sphingomyelin (d18:1/19:0, d19:1/18:0)
C000177	sphingomyelin (d18:1/20:0, d16:1/22:0)	RP_POS	759.6375	2685	sphingomyelin (d18:1/20:0, d16:1/22:0)
C000178	sphingomyelin (d18:1/20:1, d18:2/20:0)	RP_POS	757.6218	2383	sphingomyelin (d18:1/20:1, d18:2/20:0)
C000179	sphingomyelin (d18:1/20:2, d18:2/20:1, d16:1/22:2)	RP_POS	755.6062	2039	sphingomyelin (d18:1/20:2, d18:2/20:1, d16:1/22:2)
C000180	sphingomyelin (d18:1/21:0, d17:1/22:0, d16:1/23:0)	RP_POS	773.6531	2793	sphingomyelin (d18:1/21:0, d17:1/22:0, d16:1/23:0)
C000181	sphingomyelin (d18:1/22:1, d18:2/22:0, d16:1/24:1)	RP_POS	785.6531	2666	sphingomyelin (d18:1/22:1, d18:2/22:0, d16:1/24:1)
C000182	sphingomyelin (d18:1/22:2, d18:2/22:1, d16:1/24:2)	RP_POS	783.6375	2209	sphingomyelin (d18:1/22:2, d18:2/22:1, d16:1/24:2)
C000183	sphingomyelin (d18:1/24:1, d18:2/24:0)	RP_POS	813.6844	3033	sphingomyelin (d18:1/24:1, d18:2/24:0)
C000184	sphingomyelin (d18:1/25:0, d19:0/24:1, d20:1/23:0, d19:1/24:0)	RP_POS	829.7157	3500	sphingomyelin (d18:1/25:0, d19:0/24:1, d20:1/23:0, d19:1/24:0)
C000185	sphingomyelin (d18:2/14:0, d18:1/14:1)	RP_POS	673.5279	1860	sphingomyelin (d18:2/14:0, d18:1/14:1)
C000186	sphingomyelin (d18:2/16:0, d18:1/16:1)	RP_POS	701.5592	2002	sphingomyelin (d18:2/16:0, d18:1/16:1)
C000187	sphingomyelin (d18:2/18:1)	RP_POS	727.5749	1904	sphingomyelin (d18:2/18:1)
C000188	sphingomyelin (d18:2/21:0, d16:2/23:0)	RP_POS	771.6375	2330	sphingomyelin (d18:2/21:0, d16:2/23:0)
C000189	sphingomyelin (d18:2/23:0, d18:1/23:1, d17:1/24:1)	RP_POS	799.6687	2845	sphingomyelin (d18:2/23:0, d18:1/23:1, d17:1/24:1)
C000190	sphingomyelin (d18:2/23:1)	RP_POS	797.6531	2315	sphingomyelin (d18:2/23:1)
C000191	sphingomyelin (d18:2/24:1, d18:1/24:2)	RP_POS	811.6687	2635	sphingomyelin (d18:2/24:1, d18:1/24:2)
C000192	sphingomyelin (d18:2/24:2)	RP_POS	809.6531	2215	sphingomyelin (d18:2/24:2)
C000193	sphingosine	RP_POS	300.2897	1393	sphingosine
C000194	sphingosine 1-phosphate	RP_POS	380.256	1375	sphingosine 1-phosphate
C000195	stearoyl sphingomyelin (d18:1/18:0)	RP_POS	731.6062	2400	stearoyl sphingomyelin (d18:1/18:0)
C000196	stearoyl-arachidonoyl-glycerol (18:0/20:4) [1]	RP_POS	662.5718	3404	stearoyl-arachidonoyl-glycerol (18:0/20:4) [1]
C000197	stearoyl-arachidonoyl-glycerol (18:0/20:4) [2]	RP_POS	662.5718	3522	stearoyl-arachidonoyl-glycerol (18:0/20:4) [2]
C000198	stearoylcarnitine (C18)	RP_POS	428.3734	1485	stearoylcarnitine (C18)
C000199	tricosanoyl sphingomyelin (d18:1/23:0)	RP_POS	801.6844	3200	tricosanoyl sphingomyelin (d18:1/23:0)
C000200	ximenoylcarnitine (C26:1)	RP_POS	538.483	1607	ximenoylcarnitine (C26:1)
C000201	(N(1) + N(8))-acetylspermidine	RP_POS	188.1757	3080	(N(1) + N(8))-acetylspermidine
C000202	1-methyl-4-imidazoleacetate	RP_POS	141.0659	2064	1-methyl-4-imidazoleacetate
