compound_id	BIOCHEMICAL	PATHWAY SORTORDER	SUPER_PATHWAY	SUB_PATHWAY	COMP ID	PLATFORM	CHEMICAL ID	RI	MASS	PUBCHEM	CAS	KEGG	HMDB
CPD000023	4-hydroxy-2-oxoglutaric acid	1595	Lipid	Fatty Acid, Dicarboxylate	40062	LC/MS Polar	100002537	3073	161.0092	599	1187-99-1	C01127	HMDB02070
CPD000024	5-acetylamino-6-amino-3-methyluracil	4443	Xenobiotics	Xanthine Metabolism	34424	LC/MS Polar	100001403	1710	197.068	88299	1196153-01-1	C16366	HMDB04400
CPD000025	5-acetylamino-6-formylamino-3-methyluracil	4444	Xenobiotics	Xanthine Metabolism	34401	LC/MS Polar	100001402	1424	225.0629	108214	85438-96-6	C16365	HMDB11105
CPD000026	5-hydroxymethyl-2-furoic acid	211	Amino Acid	Tyrosine Metabolism	42040	LC/MS Polar	100003954	1442	141.0193	80642	6338-41-6	C20448	HMDB02432
CPD000027	allantoin	3998	Nucleotide	Purine Metabolism, (Hypo)Xanthine/Inosine containing	1107	LC/MS Polar	1002	1672	157.0367	204	97-59-6	C02350	HMDB00462
CPD000028	alpha-ketobutyrate	410	Amino Acid	Methionine, Cysteine, SAM and Taurine Metabolism	4968	LC/MS Polar	796	940	101.0244	58	600-18-0	C00109	HMDB00005
CPD000029	alpha-ketoglutaramate*	44	Amino Acid	Glutamate Metabolism	62101	LC/MS Polar	100002397	1916	144.0302	48	18465-19-5		
CPD000030	alpha-ketoglutarate	1380	Energy	TCA Cycle	528	LC/MS Polar	93	2700	145.0143	51	305-72-6;328-50-7;22202-68-2	C00026	HMDB00208
CPD000031	arabinose	1210	Carbohydrate	Pentose Metabolism	575	LC/MS Polar	828	1804.5	195.051	66308	28697-53-2	C00216	HMDB00646
CPD000032	arabitol/xylitol	1218	Carbohydrate	Pentose Metabolism	48885	LC/MS Polar	100006430	1932.4	151.0612				
CPD000033	arabote/xylote	1224	Carbohydrate	Pentose Metabolism	48255	LC/MS Polar	100006115	2700	165.0405				
CPD000034	ascorbic acid 2-sulfate	4204	Cofactors and Vitamins	Ascorbate and Aldarate Metabolism	63590	LC/MS Polar	100009329	3042	254.9816	86484			
CPD000035	ascorbic acid 3-sulfate*	4205	Cofactors and Vitamins	Ascorbate and Aldarate Metabolism	63687	LC/MS Polar	100020409	2025	254.9815	11425365			
CPD000036	caffeic acid sulfate	5002	Xenobiotics	Food Component/Plant	53254	LC/MS Polar	100009337	1307	258.9918				HMDB41708
CPD000037	carboxyibuprofen glucuronide*	5148	Xenobiotics	Drug - Algesics, Anesthetics	62067	LC/MS Polar	100020212	2294	411.1297				HMDB60564
CPD000038	chiro-inositol	2108	Lipid	Inositol Metabolism	37112	LC/MS Polar	100001859	3191.2	225.0616		643-12-9	C19891	HMDB34220
CPD000039	citracote/glutacote	1395	Energy	TCA Cycle	47076	LC/MS Polar	100006438	2600	129.0194				
CPD000040	decadienedioic acid (C10:2-DC)	1613	Lipid	Fatty Acid, Dicarboxylate	63685	LC/MS Polar	100021711	2329.7	197.0819				
CPD000041	dihydrocaffeate sulfate (2)	4645	Xenobiotics	Food Component/Plant	62524	LC/MS Polar	100020822	1328	261.0074				
CPD000042	dihydroorotate	4070	Nucleotide	Pyrimidine Metabolism, Orotate containing	601	LC/MS Polar	923	1910	157.0255	648	155-54-4	C00337	HMDB03349
CPD000043	efavirenz	5294	Xenobiotics	Drug - Antiviral	63282	LC/MS Polar	100020922	729	314.0201	64139	154598-52-4	D00896	HMDB14763
CPD000044	erythritol	4705	Xenobiotics	Food Component/Plant	20699	LC/MS Polar	100000846	1491	167.0561	222285	149-32-6	C00503	HMDB02994
CPD000045	erythrote*	1366	Carbohydrate	Aminosugar Metabolism	42420	LC/MS Polar	100001320	2186	135.0299	2781043	88759-55-1		HMDB00613
CPD000046	ethylmalote	366	Amino Acid	Leucine, Isoleucine and Valine Metabolism	15765	LC/MS Polar	2054	2785	131.035	11756	601-75-2		HMDB00622
CPD000047	febuxostat	5482	Xenobiotics	Drug - Metabolic	63734	LC/MS Polar	100021748	772	315.0809	134018	144060-53-7	D01206	
CPD000048	flucozole	5251	Xenobiotics	Drug - Antibiotic	57707	LC/MS Polar	100015972	836	351.1023	3365	86386-73-4	D00322	HMDB14342
CPD000049	fructose	1284	Carbohydrate	Fructose, Mannose and Galactose Metabolism	48195	LC/MS Polar	878	2065	225.0616	5984	57-48-7	C00095	HMDB00660
CPD000050	fumarate	1384	Energy	TCA Cycle	1643	LC/MS Polar	330	3084	115.0037	444972	100-17-8	C00122	HMDB00134
CPD000051	galactote	1310	Carbohydrate	Fructose, Mannose and Galactose Metabolism	27719	LC/MS Polar	100001026	3085	195.051	128869	299-28-5	C00880	HMDB00565
CPD000052	galactosylglycerol	2859	Lipid	Galactosyl Glycerolipids	57345	LC/MS Polar	100003064	2518	299.0984	16048618	16232-91-0	C05401	HMDB06790
CPD000053	gentisate	210	Amino Acid	Tyrosine Metabolism	18280	LC/MS Polar	100000447	905	153.0193	3469	490-79-9	C00628	HMDB00152
CPD000054	ginkgolic acid C15:1	4539	Xenobiotics	Food Component/Plant	64200	LC/MS Polar	100021252	677	345.2435	5281858	22910-60-7	C10794	
CPD000055	glucoheptose	4730	Xenobiotics	Food Component/Plant	20705	LC/MS Polar	100000852	2573	209.0667	71306729	62475-58-5		
CPD000056	glucote	4616	Xenobiotics	Food Component/Plant	587	LC/MS Polar	338	2922	195.051	10690	527-07-1	C00257	HMDB00625
CPD000057	glucose	1164	Carbohydrate	Glycolysis, Gluconeogenesis, and Pyruvate Metabolism	48152	LC/MS Polar	572	2342	225.0616	5793	50-99-7	C00031	HMDB00122
CPD000058	glucurote	1342	Carbohydrate	Aminosugar Metabolism	15443	LC/MS Polar	100000257	3233.3	193.0354	444791	207300-70-7	C00191	HMDB00127
CPD000059	glutarate (C5-DC)	1590	Lipid	Fatty Acid, Dicarboxylate	396	LC/MS Polar	339	2900	131.035	743	110-94-1	C00489	HMDB00661
CPD000060	glycerate	1184	Carbohydrate	Glycolysis, Gluconeogenesis, and Pyruvate Metabolism	1572	LC/MS Polar	1052	2070.4	105.0193	752	600-19-1	C00258	HMDB00139
CPD000061	gulote*	4212	Cofactors and Vitamins	Ascorbate and Aldarate Metabolism	46957	LC/MS Polar	100001586	2750	195.051	152304	20246-53-1	C00257	HMDB03290
CPD000062	heptenedioate (C7:1-DC)*	1605	Lipid	Fatty Acid, Dicarboxylate	61866	LC/MS Polar	100019981	2816	157.0506				
CPD000063	homocitrulline	450	Amino Acid	Urea cycle; Arginine and Proline Metabolism	22138	LC/MS Polar	100000963	3006.8	188.1041	65072	1190-49-4	C02427	HMDB00679
CPD000064	hydantoin-5-propiote	73	Amino Acid	Histidine Metabolism	40473	LC/MS Polar	100002514	2080	171.0411	782	5624-26-0	C05565	HMDB01212
CPD000065	hypotaurine	426	Amino Acid	Methionine, Cysteine, SAM and Taurine Metabolism	590	LC/MS Polar	358	2763.4	108.0125	107812	300-84-5	C00519	HMDB00965
CPD000066	isocitric lactone	1379	Energy	TCA Cycle	54724	LC/MS Polar	100009239	2970	173.0092	98259	4702-32-3		
CPD000067	lactose	1242	Carbohydrate	Disaccharides and Oligosaccharides	567	LC/MS Polar	393	3500	387.1144	84571	5965-66-2	C00243	HMDB00186
CPD000068	maleate	1602	Lipid	Fatty Acid, Dicarboxylate	20676	LC/MS Polar	100000707	2640	115.0037	444266	110-16-7	C01384	HMDB00176
CPD000069	maltose	1237	Carbohydrate	Glycogen Metabolism	15586	LC/MS Polar	913	3329.4	387.1144	10991489	6363-53-7	C00208	HMDB00163
CPD000070	mannitol/sorbitol	1289	Carbohydrate	Fructose, Mannose and Galactose Metabolism	46142	LC/MS Polar	100001740	2320	181.0718	5780		C00794	HMDB00247
CPD000071	mannote*	4767	Xenobiotics	Food Component/Plant	62864	LC/MS Polar	100003695	2736	195.051	3246006	642-99-9		
CPD000072	mannose	1290	Carbohydrate	Fructose, Mannose and Galactose Metabolism	48153	LC/MS Polar	803	2200	225.0616	18950	3458-28-4	C00159	HMDB00169
CPD000073	methylmalote (MMA)	1705	Lipid	Fatty Acid Metabolism (also BCAA Metabolism)	1496	LC/MS Polar	418	3078.4	117.0193	487	516-05-2	C02170	HMDB00202
CPD000074	methylsuccite	367	Amino Acid	Leucine, Isoleucine and Valine Metabolism	15745	LC/MS Polar	2051	2800	131.035	10349	498-21-5		HMDB01844
CPD000075	myo-inositol	2107	Lipid	Inositol Metabolism	1124	LC/MS Polar	363	3506.3	225.0616	892	87-89-8	C00137	HMDB00211
CPD000076	N-acetyl-2-aminoadipate	133	Amino Acid	Lysine Metabolism	63920	LC/MS Polar	100021760	2869	202.0721	443992		C12986	
CPD000077	N-acetylalanine	30	Amino Acid	Alanine and Aspartate Metabolism	1585	LC/MS Polar	1110	1564.8	130.051	88064	97-69-8	C02847	HMDB00766
CPD000078	N-acetylasparagine	40	Amino Acid	Alanine and Aspartate Metabolism	33942	LC/MS Polar	100001257	2250	173.0568	99715	4033-40-3		HMDB06028
CPD000079	N-acetylcarnosine	81	Amino Acid	Histidine Metabolism	43488	LC/MS Polar	100004046	2287	267.1099	9903482	56353-15-2		HMDB12881
CPD000080	N-acetylglutamate	45	Amino Acid	Glutamate Metabolism	15720	LC/MS Polar	100000282	3106	188.0564	70914	1430871	C00624	HMDB01138
CPD000081	N-acetylserine	10	Amino Acid	Glycine, Serine and Threonine Metabolism	37076	LC/MS Polar	100001851	2000	146.0459	65249	97-14-3		HMDB02931
CPD000082	N-formylanthranilic acid	259	Amino Acid	Tryptophan Metabolism	43549	LC/MS Polar	100004561	900	164.0353	101399	3342-77-6	C05653	HMDB04089
CPD000083	N-methyltaurine	428	Amino Acid	Methionine, Cysteine, SAM and Taurine Metabolism	42989	LC/MS Polar	100004056	1650	138.023	7882	107-68-6		
CPD000084	N-oxalyl glycine (NOG)	4776	Xenobiotics	Food Component/Plant	57776	LC/MS Polar	100015923	3292	146.0095	3080614			
CPD000085	N2-acetyllysine	101	Amino Acid	Lysine Metabolism	36751	LC/MS Polar	100001721	3372.6	187.1088	92907	1946-82-3	C12989	HMDB00446
CPD000086	O-acetylhomoserine	22	Amino Acid	Glycine, Serine and Threonine Metabolism	31539	LC/MS Polar	100001129	1850	160.0615	439389	7540-67-2	C01077	
CPD000087	orotate	4071	Nucleotide	Pyrimidine Metabolism, Orotate containing	1505	LC/MS Polar	445	1638.1	155.0098	967	50887-69-9	C00295	HMDB00226
CPD000088	orotidine	4073	Nucleotide	Pyrimidine Metabolism, Orotate containing	35172	LC/MS Polar	100001416	2250	287.0521	92751	314-50-1		HMDB00788
CPD000089	oxypurinol	5481	Xenobiotics	Drug - Metabolic	41726	LC/MS Polar	100002489	1656	151.0262	4644	2465-59-0	D02365	HMDB00786
CPD000090	pentose acid*	5981	Partially Characterized Molecules	Partially Characterized Molecules	63264	LC/MS Polar	100021467	2180	165.0405				
CPD000091	perfluorooctanoate (PFOA)	5860	Xenobiotics	Chemical	62071	LC/MS Polar	100020208	685	412.9664	9554			HMDB59587
CPD000092	propionylglycine (C3)	1703	Lipid	Fatty Acid Metabolism (also BCAA Metabolism)	31932	LC/MS Polar	100001150	1502.5	130.051	98681	21709-90-0		HMDB00783
CPD000093	pyruvate	1180	Carbohydrate	Glycolysis, Gluconeogenesis, and Pyruvate Metabolism	48990	LC/MS Polar	823	1083	87.0088	1060	127-17-3	C00022	HMDB00243
CPD000094	quite	4714	Xenobiotics	Food Component/Plant	18335	LC/MS Polar	100000442	2432.9	191.0561	6508	77-95-2	C00296	HMDB03072
CPD000095	ribitol	1203	Carbohydrate	Pentose Metabolism	15772	LC/MS Polar	100000406	1789.6	151.0612	6912	488-81-3	C00474	HMDB00508
CPD000096	ribote	1204	Carbohydrate	Pentose Metabolism	27731	LC/MS Polar	100001007	2425	165.0405	5460677	1255190	C01685	HMDB00867
CPD000097	ribulote/xylulote/lyxote*	1228	Carbohydrate	Pentose Metabolism	61858	LC/MS Polar	100019968	2350	165.0405				
CPD000098	ribulose/xylulose	1205	Carbohydrate	Pentose Metabolism	48340	LC/MS Polar	100006122	1400	149.0455				
CPD000099	rilpivirine	5293	Xenobiotics	Drug - Antiviral	63281	LC/MS Polar	100020925	734	365.152	6451164	500287-72-9	D09720	HMDB61725
CPD000100	salicylate	5613	Xenobiotics	Drug - Topical Agents	1515	LC/MS Polar	501	802	137.0242	338	69-72-7	C00805	HMDB01895
CPD000101	sedoheptulose	1227	Carbohydrate	Pentose Metabolism	53237	LC/MS Polar	100002619	2255	209.0667	5459879	3019-74-7		HMDB03219
CPD000102	suberate (C8-DC)	1607	Lipid	Fatty Acid, Dicarboxylate	15730	LC/MS Polar	100000016	2577.6	173.0819	10457	505-48-6	C08278	HMDB00893
CPD000103	succite	1383	Energy	TCA Cycle	1437	LC/MS Polar	252	3149	117.0193	1110	110-15-6	C00042	HMDB00254
CPD000104	succinoyltaurine	432	Amino Acid	Methionine, Cysteine, SAM and Taurine Metabolism	63678	LC/MS Polar	100021220	2572	224.0234				
CPD000105	sucrose	1263	Carbohydrate	Disaccharides and Oligosaccharides	1519	LC/MS Polar	935	3092	387.1144	5988	57-50-1	C00089	HMDB00258
CPD000106	sulfociprofloxacin*	5224	Xenobiotics	Drug - Antibiotic	62474	LC/MS Polar	100020787	1350	410.0828	128781			
CPD000107	threote	4208	Cofactors and Vitamins	Ascorbate and Aldarate Metabolism	27738	LC/MS Polar	100001022	2384	135.0299	151152	70753-61-6	C01620	HMDB00943
CPD000108	uracil	4084	Nucleotide	Pyrimidine Metabolism, Uracil containing	605	LC/MS Polar	825	1089.7	111.02	1174	66-22-8	C00106	HMDB00300
CPD000109	vanillate glucuronide	5015	Xenobiotics	Food Component/Plant	63842	LC/MS Polar	100020606	3275	343.0671				
CPD000110	xanthine	3987	Nucleotide	Purine Metabolism, (Hypo)Xanthine/Inosine containing	3147	LC/MS Polar	1004	2023	151.0262	1188	69-89-6	C00385	HMDB00292
CPD000111	xylose	1208	Carbohydrate	Pentose Metabolism	15581	LC/MS Polar	826	1727	195.051	135191	609-06-3	C00181	HMDB00098
CPD000112	(N(1) + N(8))-acetylspermidine	505	Amino Acid	Polyamine Metabolism	57814	LC/MS Pos Early	100016038	3080	188.1757				
CPD000113	(R)-3-hydroxybutyrylcarnitine	1837	Lipid	Fatty Acid Metabolism (Acyl Carnitine, Hydroxy)	43264	LC/MS Pos Early	100003926	2400	248.1493	53481617			HMDB13127
CPD000114	(S)-3-hydroxybutyrylcarnitine	1838	Lipid	Fatty Acid Metabolism (Acyl Carnitine, Hydroxy)	52984	LC/MS Pos Early	100009271	2340	248.1493				
CPD000115	(S)-a-amino-omega-caprolactam	5009	Xenobiotics	Food Component/Plant	63339	LC/MS Pos Early	100021329	2378	129.1022	439823	21568-87-6	C05328	
CPD000116	1-methyl-4-imidazoleacetate	86	Amino Acid	Histidine Metabolism	32350	LC/MS Pos Early	100001208	2064	141.0659	75810	2625-49-2	C05828	HMDB02820
CPD000117	1-methyl-5-imidazoleacetate	87	Amino Acid	Histidine Metabolism	62946	LC/MS Pos Early	100002910	1989	141.0659	6451814	4200-48-0		HMDB04988
CPD000118	1-methylguanidine	517	Amino Acid	Guanidino and Acetamido Metabolism	48114	LC/MS Pos Early	100000715	2149	74.0713	10111	22661-87-6	C02294	HMDB01522
CPD000119	1-methylnicotimide	4174	Cofactors and Vitamins	Nicotite and Nicotimide Metabolism	27665	LC/MS Pos Early	55	1940	137.0709	457	1005-24-9	C02918	HMDB00699
CPD000120	1-methylurate	4434	Xenobiotics	Xanthine Metabolism	34395	LC/MS Pos Early	100001400	1461	183.0513	69726	708-79-2	C16359	HMDB03099
CPD000121	1-methylxanthine	4440	Xenobiotics	Xanthine Metabolism	34389	LC/MS Pos Early	100001405	1500	167.0564	80220	6136-37-4	C16358	HMDB10738
CPD000122	1-ribosyl-imidazoleacetate*	91	Amino Acid	Histidine Metabolism	61868	LC/MS Pos Early	100001668	2006	259.0925	5117448	29605-99-0	C05131	HMDB02331
CPD000123	10,11-dihydro-10-hydroxycarbamazepine	5505	Xenobiotics	Drug - Neurological	62882	LC/MS Pos Early	100015985	3041	255.1128	114709	29331-92-8	C07493	HMDB60676
CPD000124	2'-O-methylcytidine	4125	Nucleotide	Pyrimidine Metabolism, Cytidine containing	57554	LC/MS Pos Early	100010895	2411	258.1085	150971	2140-72-9		
CPD000125	2,3-dihydroxypyridine	4585	Xenobiotics	Food Component/Plant	21132	LC/MS Pos Early	100000861	1420	112.0393	28115	16867-04-2		
CPD000126	2-aminobutyrate	535	Amino Acid	Glutathione Metabolism	42374	LC/MS Pos Early	1128	2059	104.0706	439691	1492-24-6	C02261	HMDB00650
CPD000127	2-aminoheptanoate	1681	Lipid	Fatty Acid, Amino	43761	LC/MS Pos Early	100004542	3160	146.1176	227939	1115-90-8		
CPD000128	2-furoylcarnitine	4775	Xenobiotics	Food Component/Plant	61771	LC/MS Pos Early	100016070	2672	256.118				
CPD000129	2-hydroxycarbamazepine	5503	Xenobiotics	Drug - Neurological	57789	LC/MS Pos Early	100015983	2972	253.0972	129274	68011-66-5	C16601	HMDB60651
CPD000130	2-hydroxyglutarate	1594	Lipid	Fatty Acid, Dicarboxylate	37253	LC/MS Pos Early	100002070	958	131.0339	43	40951-21-1	C02630	HMDB0059655
CPD000131	2-methylbutyrylcarnitine (C5)	358	Amino Acid	Leucine, Isoleucine and Valine Metabolism	45095	LC/MS Pos Early	100001509	3050	246.17	6426901	31023-25-3		HMDB00378
CPD000132	2-methylserine	15	Amino Acid	Glycine, Serine and Threonine Metabolism	53229	LC/MS Pos Early	100009246	1652	120.0655	94309		C02115	
CPD000133	2-oxoarginine*	447	Amino Acid	Urea cycle; Arginine and Proline Metabolism	55072	LC/MS Pos Early	100002784	1760	174.0873	558	663193	C03771	HMDB04225
CPD000134	2-piperidinone	4468	Xenobiotics	Food Component/Plant	43400	LC/MS Pos Early	100004295	1675	100.0757	12665	675-20-7		HMDB11749
CPD000135	2-pyrrolidinone	58	Amino Acid	Glutamate Metabolism	31675	LC/MS Pos Early	100001081	1262	86.06	12025	616-45-5		HMDB02039
CPD000136	3-(cystein-S-yl)acetaminophen*	5133	Xenobiotics	Drug - Algesics, Anesthetics	34365	LC/MS Pos Early	100001797	2420	271.0747	5233914			
CPD000137	3-amino-2-piperidone	445	Amino Acid	Urea cycle; Arginine and Proline Metabolism	62853	LC/MS Pos Early	100020361	2065	115.0866	5200225	1892-22-4		HMDB00323
CPD000138	3-aminoisobutyrate	4141	Nucleotide	Pyrimidine Metabolism, Thymine containing	1566	LC/MS Pos Early	1114	2190	104.0706	64956	10569-72-9;214139-20-5	C05145	HMDB03911
CPD000139	3-formylindole	4597	Xenobiotics	Food Component/Plant	62863	LC/MS Pos Early	100020219	2736	146.06	10256	487-89-8	C08493	HMDB29737
CPD000140	3-hydroxybutyroylglycine	1757	Lipid	Fatty Acid Metabolism (Acyl Glycine)	62064	LC/MS Pos Early	100020211	978	162.0761				
CPD000141	3-hydroxycarbamazepine	5504	Xenobiotics	Drug - Neurological	57788	LC/MS Pos Early	100015982	3164	253.0972	135290	68011-67-6	C16602	HMDB60653
CPD000142	3-hydroxyhexanoylcarnitine (1)	1839	Lipid	Fatty Acid Metabolism (Acyl Carnitine, Hydroxy)	62557	LC/MS Pos Early	100020825	2918	276.1806				
CPD000143	3-hydroxyindolin-2-one	4604	Xenobiotics	Food Component/Plant	42561	LC/MS Pos Early	100003823	2035	132.0444	6097	61-71-2	C11130	
CPD000144	3-hydroxyoctanoylcarnitine (1)	1843	Lipid	Fatty Acid Metabolism (Acyl Carnitine, Hydroxy)	64393	LC/MS Pos Early	100021990	3445	304.2119				
CPD000145	3-hydroxyoctanoylcarnitine (2)	1844	Lipid	Fatty Acid Metabolism (Acyl Carnitine, Hydroxy)	64394	LC/MS Pos Early	100021991	3497	304.2119				
CPD000146	3-hydroxypyridine glucuronide	5844	Xenobiotics	Chemical	63236	LC/MS Pos Early	100020591	1657	272.0765				
CPD000147	3-hydroxystachydrine*	4871	Xenobiotics	Food Component/Plant	62062	LC/MS Pos Early	100020203	1049	160.0968	442640			
CPD000148	3-methoxytyrosine	195	Amino Acid	Tyrosine Metabolism	12017	LC/MS Pos Early	1342	2555	212.0917	1670	300-48-1		HMDB01434
CPD000149	3-methylcytidine	4116	Nucleotide	Pyrimidine Metabolism, Cytidine containing	35132	LC/MS Pos Early	100001466	2176	258.1085	159649	21028-20-6		
CPD000150	3-methylglutarylcarnitine (2)	339	Amino Acid	Leucine, Isoleucine and Valine Metabolism	46548	LC/MS Pos Early	100005850	2687	290.1598	128145			HMDB00552
CPD000151	3-phosphoglycerate	1178	Carbohydrate	Glycolysis, Gluconeogenesis, and Pyruvate Metabolism	1414	LC/MS Pos Early	132	590	187.0002	724	80731-10-8	C00597	HMDB00807
CPD000152	3-ureidopropiote	4102	Nucleotide	Pyrimidine Metabolism, Uracil containing	3155	LC/MS Pos Early	1053	875	133.0608	111	462-88-4	C02642	HMDB00026
CPD000153	4-acetamidobutanoate	515	Amino Acid	Polyamine Metabolism	1558	LC/MS Pos Early	1113	1350	146.0812	18189	3025-96-5	C02946	HMDB03681
CPD000154	4-guanidinobutanoate	518	Amino Acid	Guanidino and Acetamido Metabolism	15681	LC/MS Pos Early	100000096	2320	146.0924	500	463-003;463-00-3	C01035	HMDB03464
CPD000155	4-hydroxyglutamate	48	Amino Acid	Glutamate Metabolism	40499	LC/MS Pos Early	100002544	1141	164.0554	439902	2485-33-8	C03079	HMDB01344
CPD000156	4-hydroxyphenylacetatoylcarnitine	171	Amino Acid	Tyrosine Metabolism	52932	LC/MS Pos Early	100006619	2730	296.1493				
CPD000157	4-imidazoleacetate	92	Amino Acid	Histidine Metabolism	32349	LC/MS Pos Early	100001207	2055	127.0502	96215	645-65-8	C02835	HMDB02024
CPD000158	5,6-dihydrothymine	4139	Nucleotide	Pyrimidine Metabolism, Thymine containing	1418	LC/MS Pos Early	158	1280	129.0659	93556	696-04-8	C00906	HMDB00079
CPD000159	5-(galactosylhydroxy)-L-lysine	114	Amino Acid	Lysine Metabolism	43582	LC/MS Pos Early	100002462	2755	325.1606	123986	32448-36-5		
CPD000160	5-hydroxylysine	113	Amino Acid	Lysine Metabolism	15685	LC/MS Pos Early	100000054	2790	163.1077	1029	13204-98-3	C16741	HMDB00450
CPD000161	5-hydroxymethyl-2-furoylcarnitine*	4615	Xenobiotics	Food Component/Plant	62871	LC/MS Pos Early	100021012	2471	286.1285				
CPD000162	5-methylthioadenosine (MTA)	511	Amino Acid	Polyamine Metabolism	1419	LC/MS Pos Early	212	2752	298.0968	439176	2457-80-9	C00170	HMDB01173
CPD000163	7-methylguanine	4051	Nucleotide	Purine Metabolism, Guanine containing	35114	LC/MS Pos Early	100001456	2175	166.0723	11361	578-76-7	C02242	HMDB00897
CPD000164	7-methylurate	4435	Xenobiotics	Xanthine Metabolism	39598	LC/MS Pos Early	100002241	1321	183.0513	69160	612-37-3	C16355	HMDB11107
CPD000165	7-methylxanthine	4442	Xenobiotics	Xanthine Metabolism	34390	LC/MS Pos Early	100001396	1350	167.0564	68374	552-62-5	C16353	HMDB01991
CPD000166	8-methoxykynurete	264	Amino Acid	Tryptophan Metabolism	62955	LC/MS Pos Early	100020360	2574	220.0604	76230	2929-14-8	C05830	HMDB60426
CPD000167	acetoacetate	1854	Lipid	Ketone Bodies	33963	LC/MS Pos Early	1218	1062	103.039	96	578486	C00164	HMDB00060
CPD000168	acetylcarnitine (C2)	1766	Lipid	Fatty Acid Metabolism (Acyl Carnitine, Short Chain)	32198	LC/MS Pos Early	100000802	2282	204.123	1	5080-50-2	C02571	HMDB00201
CPD000169	AMP	4004	Nucleotide	Purine Metabolism, Adenine containing	32342	LC/MS Pos Early	209	1013	348.0704	6083	149022-20-8	C00020	HMDB00045
