compound_id	BIOCHEMICAL	SUPER PATHWAY	SUB PATHWAY	RI	MZ	PLATFORM	KEGG
CPD00075	1-palmitoyl-2-dihomo-linolenoyl-GPC (16:0/20:3n3 or 6)*	Lipid	Phosphatidylcholine (PC)	2199	784.5851	LC/MS Pos Late	
CPD00076	1-palmitoyl-2-docosahexaenoyl-GPC (16:0/22:6)	Lipid	Phosphatidylcholine (PC)	2023	806.5694	LC/MS Pos Late	
CPD00077	1-palmitoyl-2-docosahexaenoyl-GPE (16:0/22:6)*	Lipid	Phosphatidylethanolamine (PE)	2119	764.5225	LC/MS Pos Late	
CPD00078	1-palmitoyl-2-linoleoyl-GPC (16:0/18:2)	Lipid	Phosphatidylcholine (PC)	2160	758.5694	LC/MS Pos Late	
CPD00079	1-palmitoyl-2-linoleoyl-GPE (16:0/18:2)	Lipid	Phosphatidylethanolamine (PE)	2275	716.5225	LC/MS Pos Late	
CPD00080	1-palmitoyl-2-linoleoyl-GPI (16:0/18:2)	Lipid	Phosphatidylinositol (PI)	910	833.5185	LC/MS Polar	
CPD00081	1-palmitoyl-2-oleoyl-GPC (16:0/18:1)	Lipid	Phosphatidylcholine (PC)	2358	760.5851	LC/MS Pos Late	
CPD00082	1-palmitoyl-2-oleoyl-GPE (16:0/18:1)	Lipid	Phosphatidylethanolamine (PE)	2509	718.5381	LC/MS Pos Late	
CPD00083	1-palmitoyl-2-oleoyl-GPI (16:0/18:1)*	Lipid	Phosphatidylinositol (PI)	893	835.5342	LC/MS Polar	
CPD00084	1-palmitoyl-2-palmitoleoyl-GPC (16:0/16:1)*	Lipid	Phosphatidylcholine (PC)	2160	732.5538	LC/MS Pos Late	
CPD00085	1-palmitoyl-2-stearoyl-GPC (16:0/18:0)	Lipid	Phosphatidylcholine (PC)	2653	762.6007	LC/MS Pos Late	
CPD00086	1-palmitoyl-GPA (16:0)	Lipid	Lysophospholipid	1445	409.2361	LC/MS Polar	C04036
CPD00087	1-palmitoyl-GPC (16:0)	Lipid	Lysophospholipid	1525	496.3398	LC/MS Pos Late	
CPD00088	1-palmitoyl-GPE (16:0)	Lipid	Lysophospholipid	1544	454.2928	LC/MS Pos Late	
CPD00089	1-palmitoyl-GPI* (16:0)	Lipid	Lysophospholipid	5564	571.2889	LC/MS Neg	
CPD00090	1-ribosyl-imidazoleacetate*	Amino Acid	Histidine Metabolism	2006	259.0925	LC/MS Pos Early	C05131
CPD00091	1-stearoyl-2-arachidonoyl-GPC (18:0/20:4)	Lipid	Phosphatidylcholine (PC)	2300	810.6007	LC/MS Pos Late	
CPD00092	1-stearoyl-2-arachidonoyl-GPE (18:0/20:4)	Lipid	Phosphatidylethanolamine (PE)	2424	768.5538	LC/MS Pos Late	
CPD00093	1-stearoyl-2-arachidonoyl-GPI (18:0/20:4)	Lipid	Phosphatidylinositol (PI)	870	885.5495	LC/MS Polar	
CPD00094	1-stearoyl-2-docosahexaenoyl-GPC (18:0/22:6)	Lipid	Phosphatidylcholine (PC)	2197	834.6013	LC/MS Pos Late	
CPD00095	1-stearoyl-2-docosahexaenoyl-GPE (18:0/22:6)*	Lipid	Phosphatidylethanolamine (PE)	2317	792.5538	LC/MS Pos Late	
CPD00096	1-stearoyl-2-linoleoyl-GPC (18:0/18:2)*	Lipid	Phosphatidylcholine (PC)	2380	786.6007	LC/MS Pos Late	
CPD00097	1-stearoyl-2-linoleoyl-GPE (18:0/18:2)*	Lipid	Phosphatidylethanolamine (PE)	2522	744.5538	LC/MS Pos Late	
CPD00098	1-stearoyl-2-linoleoyl-GPI (18:0/18:2)	Lipid	Phosphatidylinositol (PI)	910	861.5499	LC/MS Polar	
CPD00099	1-stearoyl-2-oleoyl-GPC (18:0/18:1)	Lipid	Phosphatidylcholine (PC)	2644	788.6164	LC/MS Pos Late	
CPD00100	1-stearoyl-2-oleoyl-GPE (18:0/18:1)	Lipid	Phosphatidylethanolamine (PE)	2858	746.5694	LC/MS Pos Late	
CPD00101	1-stearoyl-GPC (18:0)	Lipid	Lysophospholipid	1606	524.3711	LC/MS Pos Late	
CPD00102	1-stearoyl-GPE (18:0)	Lipid	Lysophospholipid	1626	482.3241	LC/MS Pos Late	
CPD00103	1-stearoyl-GPI (18:0)	Lipid	Lysophospholipid	5794	599.3202	LC/MS Neg	
CPD00104	10-heptadecenoate (17:1n7)	Lipid	Long Chain Monounsaturated Fatty Acid	5555	267.233	LC/MS Neg	
CPD00105	10-hydroxywarfarin	Xenobiotics	Drug - Cardiovascular	3910	323.0925	LC/MS Neg	
CPD00106	10-nonadecenoate (19:1n9)	Lipid	Long Chain Monounsaturated Fatty Acid	5780	295.2643	LC/MS Neg	
CPD00107	10-undecenoate (11:1n1)	Lipid	Medium Chain Fatty Acid	5085.8	183.1391	LC/MS Neg	C13910
CPD00108	11beta-hydroxyandrosterone glucuronide	Lipid	Androgenic Steroids	4209	481.2443	LC/MS Neg	
CPD00109	12,13-DiHOME	Lipid	Fatty Acid, Dihydroxy	5137	313.2384	LC/MS Neg	C14829
CPD00110	12-HETE	Lipid	Eicosanoid	5326	319.2279	LC/MS Neg	
CPD00111	13-HODE + 9-HODE	Lipid	Fatty Acid, Monohydroxy	5275	295.2283	LC/MS Neg	
CPD00112	14-HDoHE/17-HDoHE	Lipid	Docosanoid	5296	343.2279	LC/MS Neg	
CPD00113	16a-hydroxy DHEA 3-sulfate	Lipid	Androgenic Steroids	4240	383.1534	LC/MS Neg	
CPD00114	17alpha-hydroxypregnanolone glucuronide	Lipid	Pregnenolone Steroids	5071.9	509.2756	LC/MS Neg	
CPD00115	17alpha-hydroxypregnenolone 3-sulfate	Lipid	Pregnenolone Steroids	4800	411.1847	LC/MS Neg	
CPD00116	1H-indole-7-acetic acid	Xenobiotics	Bacterial/Fungal	922	174.0561	LC/MS Polar	
CPD00117	2'-deoxyuridine	Nucleotide	Pyrimidine Metabolism, Uracil containing	1586	227.0673	LC/MS Neg	C00526
CPD00118	2'-O-methylcytidine	Nucleotide	Pyrimidine Metabolism, Cytidine containing	2411	258.1085	LC/MS Pos Early	
CPD00119	2'-O-methyluridine	Nucleotide	Pyrimidine Metabolism, Uracil containing	1831	257.0779	LC/MS Neg	
CPD00120	2,2'-Methylenebis(6-tert-butyl-p-cresol)	Xenobiotics	Chemical	703	339.233	LC/MS Polar	
CPD00121	2,3-dihydroxy-2-methylbutyrate	Amino Acid	Leucine, Isoleucine and Valine Metabolism	1318	133.0506	LC/MS Polar	
CPD00122	2,3-dihydroxy-5-methylthio-4-pentenoate (DMTPA)*	Amino Acid	Methionine, Cysteine, SAM and Taurine Metabolism	1156	177.0227	LC/MS Neg	
CPD00123	2,3-dihydroxyisovalerate	Xenobiotics	Food Component/Plant	1050	133.0506	LC/MS Polar	C04039
CPD00124	2,6-dihydroxybenzoic acid	Xenobiotics	Drug - Topical Agents	2575	153.0193	LC/MS Neg	
CPD00125	2,8-quinolinediol sulfate	Xenobiotics	Food Component/Plant	2612	239.9972	LC/MS Neg	
CPD00126	2-acetamidophenol sulfate	Xenobiotics	Drug - Analgesics, Anesthetics	2251	230.0129	LC/MS Neg	
CPD00127	2-aminoadipate	Amino Acid	Lysine Metabolism	3500	160.0615	LC/MS Polar	C00956
CPD00128	2-aminobutyrate	Amino Acid	Glutathione Metabolism	2059	104.0706	LC/MS Pos Early	C02261
CPD00129	2-aminoheptanoate	Lipid	Fatty Acid, Amino	2384	144.103	LC/MS Neg	
CPD00130	2-aminooctanoate	Lipid	Fatty Acid, Amino	3385	158.1187	LC/MS Neg	
CPD00131	2-aminophenol sulfate	Xenobiotics	Chemical	1677	188.0023	LC/MS Neg	
CPD00132	2-hydroxy-3-methylvalerate	Amino Acid	Leucine, Isoleucine and Valine Metabolism	1800	131.0714	LC/MS Neg	
CPD00133	2-hydroxyacetaminophen sulfate*	Xenobiotics	Drug - Analgesics, Anesthetics	1674	246.0078	LC/MS Neg	
CPD00134	2-hydroxybutyrate/2-hydroxyisobutyrate	Amino Acid	Glutathione Metabolism	1258	103.0401	LC/MS Polar	
CPD00135	2-hydroxydecanoate	Lipid	Fatty Acid, Monohydroxy	4840	187.134	LC/MS Neg	
CPD00136	2-hydroxyfluorene sulfate	Xenobiotics	Tobacco Metabolite	4372	261.0227	LC/MS Neg	
CPD00137	2-hydroxyglutarate	Lipid	Fatty Acid, Dicarboxylate	958	131.0339	LC/MS Pos Early	C02630
CPD00138	2-hydroxyheptanoate*	Lipid	Fatty Acid, Monohydroxy	925	145.087	LC/MS Polar	
CPD00139	2-hydroxyhippurate (salicylurate)	Xenobiotics	Benzoate Metabolism	2184	194.0459	LC/MS Neg	C07588
CPD00140	2-hydroxyibuprofen	Xenobiotics	Drug - Analgesics, Anesthetics	3462	221.1183	LC/MS Neg	
CPD00141	2-hydroxynervonate*	Lipid	Fatty Acid, Monohydroxy	6345	381.3374	LC/MS Neg	
CPD00142	2-hydroxyoctanoate	Lipid	Fatty Acid, Monohydroxy	3736.8	159.1027	LC/MS Neg	
CPD00143	2-hydroxypalmitate	Lipid	Fatty Acid, Monohydroxy	5511.2	271.2279	LC/MS Neg	
CPD00144	2-hydroxyphenylacetate	Amino Acid	Phenylalanine Metabolism	2164.6	151.0401	LC/MS Neg	C05852
CPD00145	2-hydroxysebacate	Lipid	Fatty Acid, Dicarboxylate	1324	217.1081	LC/MS Neg	
CPD00146	2-hydroxystearate	Lipid	Fatty Acid, Monohydroxy	5695	299.2592	LC/MS Neg	C03045
CPD00147	2-isopropylmalate	Xenobiotics	Food Component/Plant	2605	175.0612	LC/MS Polar	C02504
CPD00148	2-keto-3-deoxy-gluconate	Xenobiotics	Food Component/Plant	1900	177.0405	LC/MS Polar	C00204
CPD00149	2-ketocaprylate	Amino Acid	Leucine, Isoleucine and Valine Metabolism	3951	157.087	LC/MS Neg	
CPD00150	2-linoleoylglycerol (18:2)	Lipid	Monoacylglycerol	6250	279.2329	LC/MS Neg	
CPD00151	2-methoxyacetaminophen glucuronide*	Xenobiotics	Drug - Analgesics, Anesthetics	1633	356.0987	LC/MS Neg	
CPD00152	2-methoxyacetaminophen sulfate*	Xenobiotics	Drug - Analgesics, Anesthetics	1949	260.0234	LC/MS Neg	
CPD00153	2-methoxyresorcinol sulfate	Xenobiotics	Chemical	1863	218.9969	LC/MS Neg	
CPD00154	2-methylbutyrylcarnitine (C5)	Amino Acid	Leucine, Isoleucine and Valine Metabolism	3050	246.17	LC/MS Pos Early	
CPD00155	2-methylbutyrylglycine (C5)	Amino Acid	Leucine, Isoleucine and Valine Metabolism	2000	160.0968	LC/MS Pos Early	
CPD00156	2-methylcitrate/homocitrate	Energy	TCA Cycle	575	205.0354	LC/MS Neg	
CPD00157	2-methylserine	Amino Acid	Glycine, Serine and Threonine Metabolism	1652	120.0655	LC/MS Pos Early	C02115
CPD00158	2-naphthol sulfate	Xenobiotics	Chemical	3658	223.0071	LC/MS Neg	
CPD00159	2-oleoylglycerol (18:1)	Lipid	Monoacylglycerol	6500	281.2486	LC/MS Neg	
CPD00160	2-oxoarginine*	Amino Acid	Urea cycle; Arginine and Proline Metabolism	1760	174.0873	LC/MS Pos Early	C03771
CPD00161	2-palmitoyl-GPC* (16:0)*	Lipid	Lysophospholipid	6215	570.3413	LC/MS Neg	
CPD00162	2-piperidinone	Xenobiotics	Food Component/Plant	1675	100.0757	LC/MS Pos Early	
CPD00163	2-pyrrolidinone	Amino Acid	Glutamate Metabolism	1262	86.06	LC/MS Pos Early	
CPD00164	2-stearoyl-GPE (18:0)*	Lipid	Lysophospholipid	6350	480.3096	LC/MS Neg	
CPD00165	21-hydroxypregnenolone disulfate	Lipid	Pregnenolone Steroids	3935	245.0671	LC/MS Neg	
CPD00166	21-hydroxypregnenolone monosulfate (1)	Lipid	Pregnenolone Steroids	4624	411.1847	LC/MS Neg	
CPD00167	2R,3R-dihydroxybutyrate	Lipid	Fatty Acid, Dihydroxy	1543	119.035	LC/MS Polar	
CPD00168	2S,3R-dihydroxybutyrate	Lipid	Fatty Acid, Dihydroxy	1660	119.035	LC/MS Polar	
CPD00169	3,4-dihydroxybutyrate	Lipid	Fatty Acid, Dihydroxy	2204	119.035	LC/MS Polar	
CPD00170	3,4-methyleneheptanoate	Xenobiotics	Food Component/Plant	3807	141.0921	LC/MS Neg	
CPD00171	3,5-dichloro-2,6-dihydroxybenzoic acid	Xenobiotics	Chemical	693	220.9414	LC/MS Polar	
CPD00172	3-(3-amino-3-carboxypropyl)uridine*	Nucleotide	Pyrimidine Metabolism, Uracil containing	1369	344.1099	LC/MS Neg	
CPD00173	3-(3-hydroxyphenyl)propionate	Xenobiotics	Benzoate Metabolism	1980	165.0557	LC/MS Neg	C11457
CPD00174	3-(3-hydroxyphenyl)propionate sulfate	Xenobiotics	Benzoate Metabolism	1294	245.0125	LC/MS Neg	
CPD00175	3-(4-hydroxyphenyl)lactate (HPLA)	Amino Acid	Tyrosine Metabolism	1379	181.0506	LC/MS Neg	C03672
CPD00176	3-(4-hydroxyphenyl)propionate	Xenobiotics	Benzoate Metabolism	1670	165.0557	LC/MS Neg	C01744
CPD00177	3-(methylthio)acetaminophen sulfate*	Xenobiotics	Drug - Analgesics, Anesthetics	2265	276.0006	LC/MS Neg	
CPD00178	3-(N-acetyl-L-cystein-S-yl) acetaminophen	Xenobiotics	Drug - Analgesics, Anesthetics	2094	311.0707	LC/MS Neg	
CPD00179	3-amino-2-piperidone	Amino Acid	Urea cycle; Arginine and Proline Metabolism	2065	115.0866	LC/MS Pos Early	
CPD00180	3-aminoisobutyrate	Nucleotide	Pyrimidine Metabolism, Thymine containing	2190	104.0706	LC/MS Pos Early	C05145
CPD00181	3-carboxy-4-methyl-5-pentyl-2-furanpropionate (3-CMPFP)	Lipid	Fatty Acid, Dicarboxylate	4000	267.1238	LC/MS Neg	
CPD00182	3-carboxy-4-methyl-5-propyl-2-furanpropanoate (CMPF)	Lipid	Fatty Acid, Dicarboxylate	2800	239.0925	LC/MS Neg	
CPD00183	3-decenoylcarnitine	Lipid	Fatty Acid Metabolism (Acyl Carnitine, Monounsaturated)	1045	314.2326	LC/MS Pos Late	
CPD00184	3-ethylcatechol sulfate (1)	Xenobiotics	Food Component/Plant	3422	217.0176	LC/MS Neg	
CPD00185	3-formylindole	Xenobiotics	Food Component/Plant	2736	146.06	LC/MS Pos Early	C08493
CPD00186	3-hydroxy-2-ethylpropionate	Amino Acid	Leucine, Isoleucine and Valine Metabolism	975	117.0557	LC/MS Neg	
CPD00187	3-hydroxy-2-methylpyridine sulfate	Xenobiotics	Chemical	1849	188.0023	LC/MS Neg	
CPD00188	3-hydroxy-3-methylglutarate	Lipid	Mevalonate Metabolism	2850	161.0456	LC/MS Polar	C03761
CPD00189	3-hydroxyadipate*	Lipid	Fatty Acid, Dicarboxylate	3131	161.0455	LC/MS Polar	
CPD00190	3-hydroxybutyrate (BHBA)	Lipid	Ketone Bodies	1480	103.0401	LC/MS Polar	C01089
CPD00191	3-hydroxybutyroylglycine	Lipid	Fatty Acid Metabolism (Acyl Glycine)	978	162.0761	LC/MS Pos Early	
CPD00192	3-hydroxydecanoate	Lipid	Fatty Acid, Monohydroxy	4634.7	187.134	LC/MS Neg	
CPD00193	3-hydroxydecanoylcarnitine	Lipid	Fatty Acid Metabolism (Acyl Carnitine, Hydroxy)	961	332.2432	LC/MS Pos Late	
CPD00194	3-hydroxydodecanedioate*	Lipid	Fatty Acid, Dicarboxylate	2252	245.1394	LC/MS Neg	
CPD00195	3-hydroxyhexanoate	Lipid	Fatty Acid, Monohydroxy	1082	131.0714	LC/MS Polar	
CPD00196	3-hydroxyhexanoylcarnitine (1)	Lipid	Fatty Acid Metabolism (Acyl Carnitine, Hydroxy)	2918	276.1806	LC/MS Pos Early	
CPD00197	3-hydroxyhippurate	Xenobiotics	Benzoate Metabolism	1687	194.0459	LC/MS Neg	
CPD00198	3-hydroxyhippurate sulfate	Xenobiotics	Benzoate Metabolism	1047	274.0027	LC/MS Neg	
CPD00199	3-hydroxyisobutyrate	Amino Acid	Leucine, Isoleucine and Valine Metabolism	1619	103.0401	LC/MS Polar	C06001
CPD00200	3-hydroxylaurate	Lipid	Fatty Acid, Monohydroxy	5175	215.1653	LC/MS Neg	
CPD00201	3-hydroxyoctanoate	Lipid	Fatty Acid, Monohydroxy	3446	159.1027	LC/MS Neg	
CPD00202	3-hydroxyoleate*	Lipid	Fatty Acid, Monohydroxy	5508	297.2435	LC/MS Neg	
CPD00203	3-hydroxypyridine sulfate	Xenobiotics	Chemical	1595.5	173.9867	LC/MS Neg	
CPD00204	3-hydroxysebacate	Lipid	Fatty Acid, Monohydroxy	1282	217.1081	LC/MS Neg	
CPD00205	3-hydroxystachydrine*	Xenobiotics	Food Component/Plant	1049	160.0968	LC/MS Pos Early	
CPD00206	3-hydroxystearate	Lipid	Fatty Acid, Monohydroxy	5674	299.2592	LC/MS Neg	
CPD00207	3-indoleglyoxylic acid	Xenobiotics	Food Component/Plant	2140	188.0353	LC/MS Neg	
CPD00208	3-indoxyl sulfate	Amino Acid	Tryptophan Metabolism	2222.2	212.0023	LC/MS Neg	
CPD00209	3-methoxycatechol sulfate (1)	Xenobiotics	Benzoate Metabolism	2163	218.9969	LC/MS Neg	
CPD00210	3-methoxycatechol sulfate (2)	Xenobiotics	Benzoate Metabolism	2200	218.9969	LC/MS Neg	
CPD00211	3-methoxytyramine sulfate	Amino Acid	Tyrosine Metabolism	1722	246.0442	LC/MS Neg	
CPD00212	3-methoxytyrosine	Amino Acid	Tyrosine Metabolism	1606	210.0772	LC/MS Neg	
