compound_id	BIOCHEMICAL	SUPER PATHWAY	SUB PATHWAY	RI	MZ	PLATFORM	KEGG
CPD00051	1-linoleoyl-2-arachidonoyl-GPC (18:2/20:4n6)*	Lipid	Phosphatidylcholine (PC)	1969	806.56944	LC/MS Pos Late	
CPD00052	1-linoleoyl-2-linolenoyl-GPC (18:2/18:3)*	Lipid	Phosphatidylcholine (PC)	1939	780.55378	LC/MS Pos Late	
CPD00053	1-linoleoylglycerol (18:2)	Lipid	Monoacylglycerol	6477	279.23293	LC/MS Neg	
CPD00054	1-linoleoyl-GPA (18:2)*	Lipid	Lysophospholipid	5483	433.23606	LC/MS Neg	
CPD00055	1-linoleoyl-GPC (18:2)	Lipid	Lysophospholipid	1465	520.33977	LC/MS Pos Late	C04100
CPD00056	1-linoleoyl-GPE (18:2)*	Lipid	Lysophospholipid	1482	478.29282	LC/MS Pos Late	
CPD00057	1-linoleoyl-GPG (18:2)*	Lipid	Lysophospholipid	5516	507.27284	LC/MS Neg	
CPD00058	1-linoleoyl-GPI (18:2)*	Lipid	Lysophospholipid	5494	595.28888	LC/MS Neg	
CPD00059	1-methyl-4-imidazoleacetate	Amino Acid	Histidine Metabolism	2064	141.06586	LC/MS Pos Early	C05828
CPD00060	N1-methyladenosine	Nucleotide	Purine Metabolism, Adenine containing	2120	282.11969	LC/MS Pos Early	C02494
CPD00061	1-methylhistidine	Amino Acid	Histidine Metabolism	1227	168.07785	LC/MS Neg	C01152
CPD00062	1-methylnicotinamide	Cofactors and Vitamins	Nicotinate and Nicotinamide Metabolism	1940	137.07094	LC/MS Pos Early	C02918
CPD00063	1-methylurate	Xenobiotics	Xanthine Metabolism	1099	181.03671	LC/MS Neg	C16359
CPD00064	1-methylxanthine	Xenobiotics	Xanthine Metabolism	1568.8	165.0418	LC/MS Neg	C16358
CPD00065	1-myristoyl-2-arachidonoyl-GPC (14:0/20:4)*	Lipid	Phosphatidylcholine (PC)	1914	754.53813	LC/MS Pos Late	
CPD00066	1-myristoyl-2-palmitoyl-GPC (14:0/16:0)	Lipid	Phosphatidylcholine (PC)	2147	706.53813	LC/MS Pos Late	
CPD00067	1-oleoyl-2-docosahexaenoyl-GPC (18:1/22:6)*	Lipid	Phosphatidylcholine (PC)	2011	832.58509	LC/MS Pos Late	
CPD00068	1-oleoylglycerol (18:1)	Lipid	Monoacylglycerol	6650	281.24858	LC/MS Neg	
CPD00069	1-oleoyl-GPC (18:1)	Lipid	Lysophospholipid	1540	522.35542	LC/MS Pos Late	
CPD00070	1-oleoyl-GPE (18:1)	Lipid	Lysophospholipid	1554	480.30847	LC/MS Pos Late	
CPD00071	1-oleoyl-GPI (18:1)*	Lipid	Lysophospholipid	5599	597.30453	LC/MS Neg	
CPD00072	1-palmitoleoyl-2-linolenoyl-GPC (16:1/18:3)*	Lipid	Phosphatidylcholine (PC)	1850	754.53813	LC/MS Pos Late	
CPD00073	1-palmitoleoyl-2-linoleoyl-GPC (16:1/18:2)*	Lipid	Phosphatidylcholine (PC)	2003	756.55378	LC/MS Pos Late	
CPD00074	1-palmitoleoylglycerol (16:1)*	Lipid	Monoacylglycerol	6094	253.21727	LC/MS Neg	
CPD00075	1-palmitoleoyl-GPC (16:1)*	Lipid	Lysophospholipid	1450	494.32412	LC/MS Pos Late	
CPD00076	1-palmitoyl-2-alpha-linolenoyl-GPC (16:0/18:3n3)*	Lipid	Phosphatidylcholine (PC)	2034	756.55378	LC/MS Pos Late	
CPD00077	1-palmitoyl-2-arachidonoyl-GPC (16:0/20:4n6)	Lipid	Phosphatidylcholine (PC)	2091	782.56944	LC/MS Pos Late	
CPD00078	1-palmitoyl-2-arachidonoyl-GPE (16:0/20:4)*	Lipid	Phosphatidylethanolamine (PE)	2198	740.52248	LC/MS Pos Late	
CPD00079	1-palmitoyl-2-docosahexaenoyl-GPC (16:0/22:6)	Lipid	Phosphatidylcholine (PC)	2023	806.56944	LC/MS Pos Late	
CPD00080	1-palmitoyl-2-docosahexaenoyl-GPE (16:0/22:6)*	Lipid	Phosphatidylethanolamine (PE)	2119	764.52248	LC/MS Pos Late	
CPD00081	1-palmitoyl-2-linoleoyl-GPC (16:0/18:2)	Lipid	Phosphatidylcholine (PC)	2160	758.56944	LC/MS Pos Late	
CPD00082	1-palmitoyl-2-linoleoyl-GPE (16:0/18:2)	Lipid	Phosphatidylethanolamine (PE)	2275	716.52248	LC/MS Pos Late	
CPD00083	1-palmitoyl-2-linoleoyl-GPI (16:0/18:2)	Lipid	Phosphatidylinositol (PI)	910	833.51845	LC/MS Polar	
CPD00084	1-palmitoyl-2-oleoyl-GPC (16:0/18:1)	Lipid	Phosphatidylcholine (PC)	2358	760.58509	LC/MS Pos Late	
CPD00085	1-palmitoyl-2-oleoyl-GPE (16:0/18:1)	Lipid	Phosphatidylethanolamine (PE)	2509	718.53813	LC/MS Pos Late	
CPD00086	1-palmitoyl-2-oleoyl-GPI (16:0/18:1)*	Lipid	Phosphatidylinositol (PI)	893	835.5342	LC/MS Polar	
CPD00087	1-palmitoyl-2-palmitoleoyl-GPC (16:0/16:1)*	Lipid	Phosphatidylcholine (PC)	2160	732.55378	LC/MS Pos Late	
CPD00088	1-palmitoyl-2-stearoyl-GPC (16:0/18:0)	Lipid	Phosphatidylcholine (PC)	2653	762.60074	LC/MS Pos Late	
CPD00089	1-palmitoyl-GPA (16:0)	Lipid	Lysophospholipid	5600	409.23606	LC/MS Neg	C04036
CPD00090	1-palmitoyl-GPC (16:0)	Lipid	Lysophospholipid	1525	496.33977	LC/MS Pos Late	
CPD00091	1-palmitoyl-GPE (16:0)	Lipid	Lysophospholipid	1544	454.29282	LC/MS Pos Late	
CPD00092	1-palmitoyl-GPI (16:0)	Lipid	Lysophospholipid	5564	571.28888	LC/MS Neg	
CPD00093	1-ribosyl-imidazoleacetate*	Amino Acid	Histidine Metabolism	2006	259.09247	LC/MS Pos Early	C05131
CPD00094	1-stearoyl-2-arachidonoyl-GPC (18:0/20:4)	Lipid	Phosphatidylcholine (PC)	2300	810.60074	LC/MS Pos Late	
CPD00095	1-stearoyl-2-arachidonoyl-GPE (18:0/20:4)	Lipid	Phosphatidylethanolamine (PE)	2424	768.55378	LC/MS Pos Late	
CPD00096	1-stearoyl-2-arachidonoyl-GPI (18:0/20:4)	Lipid	Phosphatidylinositol (PI)	3000	904.59096	LC/MS Pos Late	
CPD00097	1-stearoyl-2-docosahexaenoyl-GPC (18:0/22:6)	Lipid	Phosphatidylcholine (PC)	2197	834.60128	LC/MS Pos Late	
CPD00098	1-stearoyl-2-docosahexaenoyl-GPE (18:0/22:6)*	Lipid	Phosphatidylethanolamine (PE)	2317	792.55378	LC/MS Pos Late	
CPD00099	1-stearoyl-2-linoleoyl-GPC (18:0/18:2)*	Lipid	Phosphatidylcholine (PC)	2380	786.60074	LC/MS Pos Late	
CPD00100	1-stearoyl-2-linoleoyl-GPE (18:0/18:2)*	Lipid	Phosphatidylethanolamine (PE)	2522	744.55378	LC/MS Pos Late	
CPD00101	1-stearoyl-2-linoleoyl-GPI (18:0/18:2)	Lipid	Phosphatidylinositol (PI)	3185	880.59096	LC/MS Pos Late	
CPD00102	1-stearoyl-2-oleoyl-GPC (18:0/18:1)	Lipid	Phosphatidylcholine (PC)	2644	788.61639	LC/MS Pos Late	
CPD00103	1-stearoyl-2-oleoyl-GPE (18:0/18:1)	Lipid	Phosphatidylethanolamine (PE)	2858	746.56944	LC/MS Pos Late	
CPD00104	1-stearoyl-GPC (18:0)	Lipid	Lysophospholipid	1606	524.37107	LC/MS Pos Late	
CPD00105	1-stearoyl-GPE (18:0)	Lipid	Lysophospholipid	1626	482.32412	LC/MS Pos Late	
CPD00106	1-stearoyl-GPI (18:0)	Lipid	Lysophospholipid	5794	599.32018	LC/MS Neg	
CPD00107	1-stearoyl-GPS (18:0)*	Lipid	Lysophospholipid	5800	524.29939	LC/MS Neg	
CPD00108	1-stearyl-2-linoleoyl-GPC (O-18:0/18:2)*	Lipid	Plasmalogen	2455	772.62147	LC/MS Pos Late	
CPD00109	2,3-dihydroxy-5-methylthio-4-pentenoate (DMTPA)*	Amino Acid	Methionine, Cysteine, SAM and Taurine Metabolism	1156	177.0227	LC/MS Neg	
CPD00110	2,3-dihydroxyisovalerate	Xenobiotics	Food Component/Plant	1050	133.05063	LC/MS Polar	C04039
CPD00111	21-hydroxypregnenolone disulfate	Lipid	Pregnenolone Steroids	3935	245.06711	LC/MS Neg	
CPD00112	21-hydroxypregnenolone monosulfate (1)	Lipid	Pregnenolone Steroids	4624	411.18468	LC/MS Neg	
CPD00113	2-aminoadipate	Amino Acid	Lysine Metabolism	3500	160.06153	LC/MS Polar	C00956
CPD00114	2-aminobutyrate	Amino Acid	Glutathione Metabolism	2059	104.07061	LC/MS Pos Early	C02261
CPD00115	2-aminoheptanoate	Lipid	Fatty Acid, Amino	3160	146.11756	LC/MS Pos Early	
CPD00116	2-aminooctanoate	Lipid	Fatty Acid, Amino	750	160.13321	LC/MS Pos Late	
CPD00117	2-aminophenol sulfate	Xenobiotics	Chemical	1677	188.0023	LC/MS Neg	
CPD00118	2'-deoxyinosine	Nucleotide	Purine Metabolism, (Hypo)Xanthine/Inosine containing	1688	251.07857	LC/MS Neg	C05512
CPD00119	2'-deoxyuridine	Nucleotide	Pyrimidine Metabolism, Uracil containing	1586	227.0673	LC/MS Neg	C00526
CPD00120	2-hydroxy-3-methylvalerate	Amino Acid	Leucine, Isoleucine and Valine Metabolism	1800	131.07136	LC/MS Neg	
CPD00121	2-hydroxyacetaminophen sulfate*	Xenobiotics	Drug - Analgesics, Anesthetics	1674	246.00778	LC/MS Neg	
CPD00122	2-hydroxybutyrate/2-hydroxyisobutyrate	Amino Acid	Glutathione Metabolism	1258	103.04006	LC/MS Polar	
CPD00123	2-hydroxydecanoate	Lipid	Fatty Acid, Monohydroxy	4840	187.13396	LC/MS Neg	
CPD00124	2-hydroxyglutarate	Lipid	Fatty Acid, Dicarboxylate	958	131.03389	LC/MS Pos Early	C02630
CPD00125	2-hydroxyhippurate (salicylurate)	Xenobiotics	Benzoate Metabolism	2184	194.04588	LC/MS Neg	C07588
CPD00126	2-hydroxynervonate*	Lipid	Fatty Acid, Monohydroxy	6345	381.33742	LC/MS Neg	
CPD00127	2-hydroxyoctanoate	Lipid	Fatty Acid, Monohydroxy	3736.8	159.10266	LC/MS Neg	
CPD00128	2-hydroxypalmitate	Lipid	Fatty Acid, Monohydroxy	5511.2	271.22786	LC/MS Neg	
CPD00129	2-hydroxystearate	Lipid	Fatty Acid, Monohydroxy	5695	299.25917	LC/MS Neg	C03045
CPD00130	2-keto-3-deoxy-gluconate	Xenobiotics	Food Component/Plant	1900	177.04046	LC/MS Polar	C00204
CPD00131	2-linoleoylglycerol (18:2)	Lipid	Monoacylglycerol	6250	279.23293	LC/MS Neg	
CPD00132	2-methoxyacetaminophen sulfate*	Xenobiotics	Drug - Analgesics, Anesthetics	1949	260.02343	LC/MS Neg	
CPD00133	2-methoxyresorcinol sulfate	Xenobiotics	Chemical	1863	218.99688	LC/MS Neg	
CPD00134	2-methylbutyrylcarnitine (C5)	Amino Acid	Leucine, Isoleucine and Valine Metabolism	3050	246.16999	LC/MS Pos Early	
CPD00135	2-methylcitrate/homocitrate	Energy	TCA Cycle	575	205.03538	LC/MS Neg	
CPD00136	2-naphthol sulfate	Xenobiotics	Chemical	3658	223.00705	LC/MS Neg	
CPD00137	2-oleoylglycerol (18:1)	Lipid	Monoacylglycerol	6500	281.24858	LC/MS Neg	
CPD00138	2'-O-methyluridine	Nucleotide	Pyrimidine Metabolism, Uracil containing	1831	257.07791	LC/MS Neg	
CPD00139	2-oxoarginine*	Amino Acid	Urea cycle; Arginine and Proline Metabolism	1760	174.08732	LC/MS Pos Early	C03771
CPD00140	2-palmitoleoyl-GPC (16:1)*	Lipid	Lysophospholipid	5720	568.3256	LC/MS Neg	
CPD00141	2-palmitoyl-GPC (16:0)*	Lipid	Lysophospholipid	6215	570.34125	LC/MS Neg	
CPD00142	2-piperidinone	Xenobiotics	Food Component/Plant	1675	100.07569	LC/MS Pos Early	
CPD00143	2-pyrrolidinone	Amino Acid	Glutamate Metabolism	1262	86.06004	LC/MS Pos Early	
CPD00144	2-stearoyl-GPE (18:0)*	Lipid	Lysophospholipid	6350	480.30956	LC/MS Neg	
CPD00145	3-(3-hydroxyphenyl)propionate	Xenobiotics	Benzoate Metabolism	1980	165.05571	LC/MS Neg	C11457
CPD00146	3-(3-hydroxyphenyl)propionate sulfate	Xenobiotics	Benzoate Metabolism	1294	245.01253	LC/MS Neg	
CPD00147	3-(4-hydroxyphenyl)lactate	Amino Acid	Tyrosine Metabolism	1379	181.05063	LC/MS Neg	C03672
CPD00148	3-(4-hydroxyphenyl)propionate	Xenobiotics	Benzoate Metabolism	1670	165.05571	LC/MS Neg	C01744
CPD00149	3-(methylthio)acetaminophen sulfate*	Xenobiotics	Drug - Analgesics, Anesthetics	2265	276.00059	LC/MS Neg	
CPD00150	3,4-methyleneheptanoate	Xenobiotics	Food Component/Plant	3807	141.0921	LC/MS Neg	
CPD00151	3-aminoisobutyrate	Nucleotide	Pyrimidine Metabolism, Thymine containing	2190	104.07061	LC/MS Pos Early	C05145
CPD00152	3beta,7alpha-dihydroxy-5-cholestenoate	Lipid	Sterol	5275	431.31668	LC/MS Neg	C17335
CPD00153	3beta-hydroxy-5-cholestenoate	Lipid	Sterol	5398	415.32177	LC/MS Neg	C17333
CPD00154	3b-hydroxy-5-cholenoic acid	Lipid	Secondary Bile Acid Metabolism	5205	373.27482	LC/MS Neg	
CPD00155	3-carboxy-4-methyl-5-pentyl-2-furanpropionate (3-CMPFP)**	Lipid	Fatty Acid, Dicarboxylate	4000	267.12379	LC/MS Neg	
CPD00156	3-carboxy-4-methyl-5-propyl-2-furanpropanoate (CMPF)	Lipid	Fatty Acid, Dicarboxylate	2800	239.09249	LC/MS Neg	
CPD00157	3-hydroxy-2-ethylpropionate	Amino Acid	Leucine, Isoleucine and Valine Metabolism	975	117.05571	LC/MS Neg	
CPD00158	3-hydroxy-3-methylglutarate	Lipid	Mevalonate Metabolism	2850	161.04555	LC/MS Polar	C03761
CPD00159	3-hydroxyadipate*	Lipid	Fatty Acid, Dicarboxylate	3131	161.04554	LC/MS Polar	
CPD00160	3-hydroxybutyrate (BHBA)	Lipid	Ketone Bodies	1444	103.04007	LC/MS Polar	C01089
CPD00161	3-hydroxybutyroylglycine**	Lipid	Fatty Acid Metabolism(Acyl Glycine)	978	162.07608	LC/MS Pos Early	
CPD00162	3-hydroxybutyrylcarnitine (1)	Lipid	Fatty Acid Metabolism(Acyl Carnitine)	2400	248.14925	LC/MS Pos Early	
CPD00163	3-hydroxybutyrylcarnitine (2)	Lipid	Fatty Acid Metabolism(Acyl Carnitine)	2340	248.14925	LC/MS Pos Early	
CPD00164	3-hydroxydecanoate	Lipid	Fatty Acid, Monohydroxy	4634.7	187.13396	LC/MS Neg	
CPD00165	3-hydroxyhexanoate	Lipid	Fatty Acid, Monohydroxy	1725	131.07136	LC/MS Neg	
CPD00166	3-hydroxyhippurate	Xenobiotics	Benzoate Metabolism	1687	194.04588	LC/MS Neg	
CPD00167	3-hydroxyisobutyrate	Amino Acid	Leucine, Isoleucine and Valine Metabolism	1619	103.04007	LC/MS Polar	C06001
CPD00168	3-hydroxylaurate	Lipid	Fatty Acid, Monohydroxy	5175	215.16526	LC/MS Neg	
CPD00169	3-hydroxymyristate	Lipid	Fatty Acid, Monohydroxy	5335	243.19656	LC/MS Neg	
CPD00170	3-hydroxyoctanoate	Lipid	Fatty Acid, Monohydroxy	3446	159.10266	LC/MS Neg	
CPD00171	3-hydroxyoleate*	Lipid	Fatty Acid, Monohydroxy	5508	297.24351	LC/MS Neg	
CPD00172	3-hydroxypyridine sulfate	Xenobiotics	Chemical	1595.5	173.98665	LC/MS Neg	
CPD00173	3-hydroxysebacate	Lipid	Fatty Acid, Monohydroxy	1282	217.10814	LC/MS Neg	
CPD00174	3-hydroxystachydrine*	Xenobiotics	Food Component/Plant	1049	160.09682	LC/MS Pos Early	
CPD00175	3-hydroxystearate	Lipid	Fatty Acid, Monohydroxy	5674	299.25917	LC/MS Neg	
CPD00176	3-indoxyl sulfate	Amino Acid	Tryptophan Metabolism	2222.2	212.0023	LC/MS Neg	
CPD00177	3-methoxycatechol sulfate (1)	Xenobiotics	Benzoate Metabolism	2163	218.99688	LC/MS Neg	
CPD00178	3-methoxycatechol sulfate (2)	Xenobiotics	Benzoate Metabolism	2200	218.99688	LC/MS Neg	
CPD00179	3-methoxytyramine sulfate	Amino Acid	Tyrosine Metabolism	1722	246.04416	LC/MS Neg	
CPD00180	3-methoxytyrosine	Amino Acid	Tyrosine Metabolism	2555	212.09174	LC/MS Pos Early	
CPD00181	3-methyl catechol sulfate (1)	Xenobiotics	Benzoate Metabolism	2790	203.00196	LC/MS Neg	
CPD00182	3-methyl-2-oxobutyrate	Amino Acid	Leucine, Isoleucine and Valine Metabolism	1465	115.04006	LC/MS Neg	C00141
CPD00183	3-methyl-2-oxovalerate	Amino Acid	Leucine, Isoleucine and Valine Metabolism	2064.2	129.05572	LC/MS Neg	C00671
CPD00184	3-methylcytidine	Nucleotide	Pyrimidine Metabolism, Cytidine containing	2176	258.10845	LC/MS Pos Early	
CPD00185	3-methylglutaconate	Amino Acid	Leucine, Isoleucine and Valine Metabolism	2700	99.04518	LC/MS Polar	
CPD00186	3-methylglutarylcarnitine (2)	Amino Acid	Leucine, Isoleucine and Valine Metabolism	2687	290.15982	LC/MS Pos Early	
CPD00187	3-methylhistidine	Amino Acid	Histidine Metabolism	906.3	168.07785	LC/MS Neg	C01152
CPD00188	3-methylxanthine	Xenobiotics	Xanthine Metabolism	1700	165.0418	LC/MS Neg	C16357
CPD00189	3-phenylpropionate (hydrocinnamate)	Xenobiotics	Benzoate Metabolism	2860	149.0608	LC/MS Neg	C05629
CPD00190	3-ureidopropionate	Nucleotide	Pyrimidine Metabolism, Uracil containing	875	133.06077	LC/MS Pos Early	C02642
CPD00191	4-acetamidobutanoate	Amino Acid	Polyamine Metabolism	1350	146.08117	LC/MS Pos Early	C02946
CPD00192	4-acetamidophenol	Xenobiotics	Drug - Analgesics, Anesthetics	2173.7	150.05605	LC/MS Neg	C06804
CPD00193	4-acetamidophenylglucuronide	Xenobiotics	Drug - Analgesics, Anesthetics	1400	326.08814	LC/MS Neg	
CPD00194	4-acetaminophen sulfate	Xenobiotics	Drug - Analgesics, Anesthetics	1792	230.01287	LC/MS Neg	C06804
CPD00195	4-acetylphenol sulfate	Xenobiotics	Benzoate Metabolism	2375	215.00196	LC/MS Neg	
CPD00196	4-allylphenol sulfate	Xenobiotics	Food Component/Plant	3805	213.0227	LC/MS Neg	
CPD00197	4-cholesten-3-one	Lipid	Sterol	2520	385.3465	LC/MS Pos Late	C00599
CPD00198	4-ethylphenylsulfate	Xenobiotics	Benzoate Metabolism	3580	201.0227	LC/MS Neg	C13637
CPD00199	4-guanidinobutanoate	Amino Acid	Guanidino and Acetamido Metabolism	2320	146.09241	LC/MS Pos Early	C01035
CPD00200	4-hydroxy duloxetine glucuronide*	Xenobiotics	Drug - Psychoactive	3705	488.13846	LC/MS Neg	
CPD00201	4-hydroxychlorothalonil	Xenobiotics	Chemical	4427	244.90817	LC/MS Neg	
CPD00202	4-hydroxyhippurate	Xenobiotics	Benzoate Metabolism	1475	194.04588	LC/MS Neg	
CPD00203	4-hydroxyphenylacetate	Amino Acid	Phenylalanine Metabolism	1361	151.04007	LC/MS Neg	C00642
CPD00204	4-hydroxyphenylacetylglutamine	Peptide	Acetylated Peptides	1650	279.09864	LC/MS Neg	
CPD00205	4-hydroxyphenylpyruvate	Amino Acid	Tyrosine Metabolism	1690	179.03498	LC/MS Neg	C01179
CPD00206	4-imidazoleacetate	Amino Acid	Histidine Metabolism	2055	127.05021	LC/MS Pos Early	C02835
CPD00207	4-methoxyphenol sulfate	Amino Acid	Tyrosine Metabolism	2412	203.00196	LC/MS Neg	
CPD00208	4-methyl-2-oxopentanoate	Amino Acid	Leucine, Isoleucine and Valine Metabolism	2170	129.05571	LC/MS Neg	C00233
CPD00209	4-methylcatechol sulfate	Xenobiotics	Benzoate Metabolism	2665	203.00196	LC/MS Neg	
CPD00210	4-methylguaiacol sulfate	Xenobiotics	Benzoate Metabolism	2978	217.01761	LC/MS Neg	
CPD00211	4-vinylguaiacol sulfate	Xenobiotics	Food Component/Plant	3354	229.01761	LC/MS Neg	
CPD00212	4-vinylphenol sulfate	Xenobiotics	Benzoate Metabolism	3320	199.00705	LC/MS Neg	C05627
CPD00213	5-(galactosylhydroxy)-L-lysine	Amino Acid	Lysine Metabolism	2755	325.16055	LC/MS Pos Early	
CPD00214	5,6-dihydrothymine	Nucleotide	Pyrimidine Metabolism, Thymine containing	1637.8	127.0513	LC/MS Neg	C00906
CPD00215	5,6-dihydrouracil	Nucleotide	Pyrimidine Metabolism, Uracil containing	1120	113.03565	LC/MS Neg	C00429
