BIOCHEMICAL	KEGG	PUBCHEM	compound_id
3-(cystein-S-yl)acetaminophen*	NA	171264	C000174
3-(methylthio)acetaminophen sulfate*	NA	NA	C000175
3-acetylphenol sulfate	NA	NA	C000176
3-amino-2-piperidone	NA	5200225	C000177
3-aminoisobutyrate	C05145	64956	C000178
3-carboxy-4-methyl-5-pentyl-2-furanpropionate (3-CMPFP)**	NA	194501	C000179
3-carboxy-4-methyl-5-propyl-2-furanpropanoate (CMPF)	NA	123979	C000180
3-ethylcatechol sulfate (1)	NA	NA	C000181
3-ethylcatechol sulfate (2)	NA	NA	C000182
3-formylindole	C08493	10256	C000183
3-hydroxy-2-ethylpropionate	NA	188979	C000184
3-hydroxy-3-methylglutarate	C03761	1662,5459993	C000185
3-hydroxyadipate	NA	151913	C000186
3-hydroxybutyrate (BHBA)	C03197,C01089	94318,441,92135	C000187
3-hydroxybutyroylglycine**	NA	NA	C000188
3-hydroxycotinine glucuronide	NA	53477725	C000189
3-hydroxydecanoate	NA	26612	C000190
3-hydroxyhexanoate	NA	151492	C000191
3-hydroxyhippurate	NA	450268	C000192
3-hydroxyhippurate sulfate	NA	186339	C000193
3-hydroxyisobutyrate	C01188,C06001	11966314	C000194
3-hydroxylaurate	NA	94216	C000195
3-hydroxymyristate	NA	16064	C000196
3-hydroxyoctanoate	C20793	26613	C000197
3-hydroxyoleate*	NA	NA	C000198
3-hydroxyoleoylcarnitine	NA	129637446	C000199
3-hydroxyphenylacetoylglutamine	NA	NA	C000200
3-hydroxypyridine sulfate	NA	NA	C000201
3-hydroxysebacate	NA	3017884	C000202
3-hydroxystachydrine*	C10151	46173781	C000203
3-hydroxystearate	NA	5282907	C000204
3-hydroxyvalproate	C16651	134459	C000205
3-indoxyl sulfate	NA	10258	C000206
3-methoxycatechol sulfate (1)	NA	129892430	C000207
3-methoxycatechol sulfate (2)	NA	NA	C000208
3-methoxytyramine sulfate	NA	54133459	C000209
3-methoxytyrosine	NA	9307	C000210
3-methyl catechol sulfate (1)	NA	118431379	C000211
3-methyl catechol sulfate (2)	NA	NA	C000212
3-methyl-2-oxobutyrate	C00141	49	C000213
3-methyl-2-oxovalerate	C03465,C06008,C00671	439286,440877	C000214
3-methyladipate	NA	12292	C000215
3-methylcytidine	NA	14237477	C000216
3-methylglutaconate	NA	1551553	C000217
3-methylglutarylcarnitine (2)	NA	128145	C000218
3-methylhistidine	C01152	64969	C000219
3-methylxanthine	C16357	70639	C000220
3-phenylpropionate (hydrocinnamate)	C05629	107	C000221
3-phosphoglycerate	C00597	724	C000222
3-ureidopropionate	C02642	111	C000223
3beta-hydroxy-5-cholenoate	NA	92997	C000224
3beta-hydroxy-5-cholestenoate	C17333	165511	C000225
4-acetamidobenzoate	D03836	6918889	C000226
4-acetamidobutanoate	C02946	18189	C000227
4-acetamidophenol	C06804	1983	C000228
4-acetamidophenylglucuronide	NA	4022661,83944	C000229
4-acetaminophen sulfate	C06804	83939	C000230
4-acetylphenol sulfate	NA	4684006	C000231
4-allylphenol sulfate	NA	66633409	C000232
4-ethylphenylsulfate	C13637	20822574	C000233
4-guanidinobutanoate	C01035	500	C000234
4-hydroxy duloxetine glucuronide*	NA	29981512	C000235
4-hydroxy-2-oxoglutaric acid	C01127	599	C000236
4-hydroxychlorothalonil	NA	34217	C000237
4-hydroxycoumarin	C20414	54682930	C000238
4-hydroxyglutamate	C03079	439902	C000239
4-hydroxyhippurate	NA	151012	C000240
4-hydroxyphenylacetate	C00642	127	C000241
4-hydroxyphenylacetoylcarnitine	NA	NA	C000242
4-hydroxyphenylpyruvate	C01179	979	C000243
4-imidazoleacetate	C02835	96215	C000244
4-methoxyphenol sulfate	NA	NA	C000245
4-methyl-2-oxopentanoate	C00233	70	C000246
4-methylbenzenesulfonate	C06677	85570	C000247
4-methylcatechol sulfate	NA	54104170	C000248
4-methylguaiacol sulfate	NA	NA	C000249
4-methylhexanoylglutamine	NA	NA	C000250
4-vinylguaiacol sulfate	NA	53803570	C000251
4-vinylphenol sulfate	C05627	6426766	C000252
5,6-dihydrothymine	C00906	93556	C000253
5,6-dihydrouracil	C00429	649	C000254
5,6-dihydrouridine	NA	94312	C000255
5-(galactosylhydroxy)-lysine	NA	66995551	C000256
5-acetylamino-6-amino-3-methyluracil	C16366	88299	C000257
5-acetylamino-6-formylamino-3-methyluracil	C16365	108214	C000258
5-dodecenoate (12:1n7)	NA	5312378	C000259
5-dodecenoylcarnitine (C12:1)	NA	91825571	C000260
5-hydroxyhexanoate	NA	170748	C000261
5-hydroxyindole sulfate	NA	NA	C000262
5-hydroxylysine	C16741	3032849	C000263
5-hydroxymethyl-2-furoic acid	C20448	80642	C000264
5-hydroxymethyl-2-furoylcarnitine*	NA	NA	C000265
5-methylthioadenosine (MTA)	C00170	439176	C000266
5-methyluridine (ribothymidine)	NA	445408	C000267
5-oxoproline	C02237,C01879	439685,7405	C000268
5alpha-androstan-3alpha,17alpha-diol monosulfate	NA	NA	C000269
5alpha-androstan-3alpha,17beta-diol 17-glucuronide	NA	NA	C000270
5alpha-androstan-3alpha,17beta-diol disulfate	NA	56639109	C000271
5alpha-androstan-3alpha,17beta-diol monosulfate (1)	NA	121596226,121596225	C000272
5alpha-androstan-3alpha,17beta-diol monosulfate (2)	NA	121596225	C000273
5alpha-androstan-3beta,17alpha-diol disulfate	NA	56639109	C000274
5alpha-androstan-3beta,17beta-diol disulfate	C12525	90186325	C000275
5alpha-androstan-3beta,17beta-diol monosulfate (1)	NA	NA	C000276
5alpha-androstan-3beta,17beta-diol monosulfate (2)	NA	NA	C000277
5alpha-pregnan-3beta,20alpha-diol disulfate	NA	118703093	C000278
5alpha-pregnan-3beta,20alpha-diol monosulfate (2)	NA	NA	C000279
5alpha-pregnan-3beta,20beta-diol monosulfate (1)	NA	NA	C000280
5alpha-pregnan-diol disulfate	NA	3082277,5127902	C000281
6-bromotryptophan	NA	9856996	C000282
6-hydroxyindole sulfate	NA	122198196	C000283
6-oxopiperidine-2-carboxylate	NA	3014237	C000284
7-methylguanine	C02242	135398679	C000285
7-methylurate	C16355	69160	C000286
7-methylxanthine	C16353	68374	C000287
7alpha-hydroxy-3-oxo-4-cholestenoate (7-Hoca)	C17337	3081085	C000288
9,10-DiHOME	C14828	9966640	C000289
9-hydroxystearate	NA	9570127	C000290
C-glycosyltryptophan	NA	10981970	C000291
EDTA	C00284	6049	C000292
HXGXA*	NA	132993924	C000293
I-urobilinogen	C05789	9548718	C000294
L-urobilin	C05793	5280818	C000295
N,N,N-trimethyl-5-aminovalerate	NA	14274897	C000296
N,N-dimethyl-5-aminovalerate	NA	NA	C000297
N-(2-furoyl)glycine	NA	21863	C000298
N-acetyl sulfapyridine	NA	58638	C000299
N-acetyl-1-methylhistidine*	NA	53859791	C000300
N-acetyl-2-aminooctanoate*	NA	95555	C000301
N-acetyl-3-methylhistidine*	NA	193270	C000302
N-acetyl-aspartyl-glutamate (NAAG)	C12270	188803	C000303
N-acetyl-beta-alanine	C01073	76406	C000304
N-acetyl-isoputreanine	NA	131802901	C000305
N-acetylalanine	C02847	88064	C000306
N-acetylalliin	NA	NA	C000307
N-acetylarginine	C02562	67427	C000308
N-acetylaspartate (NAA)	C01042	65065	C000309
N-acetylcarnosine	NA	9903482	C000310
N-acetylcitrulline	C15532,C02851	656979	C000311
N-acetylglucosamine/N-acetylgalactosamine	C01074	439174,84265	C000312
N-acetylglucosaminylasparagine	C04540	123826	C000313
N-acetylglutamate	C00624	70914	C000314
N-acetylglutamine	C02716	182230	C000315
N-acetylglycine	NA	10972	C000316
N-acetylhistidine	C02997	75619	C000317
N-acetylisoleucine	NA	306109	C000318
N-acetylkynurenine (2)	NA	73817779	C000319
N-acetylleucine	C02710	70912	C000320
N-acetylmethionine	C02712	448580	C000321
N-acetylneuraminate	C00270	439197	C000322
N-acetylphenylalanine	C03519	74839	C000323
N-acetylproline	NA	322640	C000324
N-acetylputrescine	C02714	122356	C000325
N-acetylserine	NA	65249	C000326
N-acetyltaurine	NA	159864	C000327
N-acetyltheanine	NA	NA	C000328
N-acetylthreonine	NA	152204	C000329
N-acetyltryptophan	C03137	439917,700653	C000330
N-acetyltyrosine	NA	68310	C000331
N-acetylvaline	NA	66789	C000332
N-alpha-acetylornithine	C00437	439232	C000333
N-behenoyl-sphingadienine (d18:2/22:0)*	NA	NA	C000334
N-carbamoylalanine	NA	426409	C000335
N-delta-acetylornithine	C00437	9920500	C000336
N-desalkylquetiapine*	NA	11369918	C000337
N-formylanthranilic acid	C05653	101399	C000338
N-formylmethionine	C03145	439750	C000339
N-formylphenylalanine	NA	759256,7064571	C000340
N-linoleoylglycine	NA	6433346	C000341
N-linoleoyltaurine*	NA	52922081	C000342
N-methylalanine	C02721	4377	C000343
N-methylhydroxyproline**	NA	9860390	C000344
N-methylpipecolate	NA	11286529	C000345
N-methylproline	NA	643474	C000346
N-methyltaurine	NA	7882	C000347
N-oleoylserine	NA	44190514	C000348
N-oleoyltaurine	NA	6437033	C000349
N-palmitoyl-heptadecasphingosine (d17:1/16:0)*	NA	NA	C000350
N-palmitoyl-sphingadienine (d18:2/16:0)*	NA	NA	C000351
N-palmitoyl-sphinganine (d18:0/16:0)	NA	5283572	C000352
N-palmitoyl-sphingosine (d18:1/16:0)	NA	5283564	C000353
N-palmitoylglycine	NA	151008	C000354
N-palmitoylserine	NA	6453686	C000355
N-stearoyl-sphingadienine (d18:2/18:0)*	NA	132282053	C000356
N-stearoyl-sphinganine (d18:0/18:0)*	NA	5283573	C000357
N-stearoyl-sphingosine (d18:1/18:0)*	NA	5283565	C000358
N-stearoylserine*	NA	NA	C000359
N-stearoyltaurine	NA	168274	C000360
N1,N12-diacetylspermine	C03413	132680	C000361
N1-methyl-2-pyridone-5-carboxamide	C05842	69698	C000362
N1-methyladenosine	C02494	27476	C000363
N1-methylinosine	NA	650095	C000364
N2,N2-dimethylguanosine	NA	135501639	C000365
N2,N5-diacetylornithine	NA	65977	C000366
N2-acetyllysine	C12989	92907	C000367
N4-acetyl-5-hydroxysulfamethoxazole*	NA	NA	C000368
N4-acetylcytidine	NA	107461	C000369
N4-acetylsulfamethoxazole*	D01601,C13061	65280	C000370
N6,N6,N6-trimethyllysine	C03793	440120	C000371
N6,N6-dimethyllysine	C05545	193344	C000372
N6-acetyllysine	C02727	92832	C000373
N6-carbamoylthreonyladenosine	NA	161466	C000374
N6-carboxymethyllysine	NA	123800	C000375
N6-methyllysine	C02728	164795	C000376
O-desmethyltramadol	NA	9838803	C000377
O-desmethyltramadol glucuronide	NA	29919005	C000378
O-desmethylvenlafaxine	D07793	125017	C000379
O-sulfo-tyrosine	NA	514186	C000380
S-1-pyrroline-5-carboxylate	C04322	11966181	C000381
S-adenosylhomocysteine (SAH)	C00021	439155	C000382
S-allylcysteine	NA	98280	C000383
S-methylcysteine	NA	24417,7058174,88180	C000384
S-methylcysteine sulfoxide	NA	82142	C000385
S-methylmethionine	C05319	458	C000386
THC carboxylic acid	NA	107885	C000387
THC carboxylic acid glucuronide	NA	NA	C000388
X-07765	NA	NA	C000389
X-09789: ret for 63042	NA	NA	C000390
X-10458	NA	NA	C000391
X-11261	NA	NA	C000392
X-11299	NA	NA	C000393
X-11308	NA	NA	C000394
X-11315	NA	NA	C000395
X-11372	NA	NA	C000396
X-11381	NA	NA	C000397
X-11438: ret for 62919	NA	NA	C000398
X-11440: ret for 62921	NA	NA	C000399
X-11441: ret for 64405	NA	NA	C000400
X-11442	NA	NA	C000401
X-11444	NA	NA	C000402
X-11470	NA	NA	C000403
X-11478	NA	NA	C000404
X-11483	NA	NA	C000405
X-11491: ret for 63610	NA	NA	C000406
X-11522	NA	NA	C000407
X-11530	NA	NA	C000408
X-11549: ret for 62923	NA	NA	C000409
X-11632	NA	NA	C000410
X-11787	NA	NA	C000411
X-11795	NA	NA	C000412
X-11843	NA	NA	C000413
X-11847	NA	NA	C000414
X-11849	NA	NA	C000415
X-11850	NA	NA	C000416
X-11852	NA	NA	C000417
X-11858	NA	NA	C000418
X-11880	NA	NA	C000419
X-12007	NA	NA	C000420
X-12013	NA	NA	C000421
X-12015	NA	NA	C000422
X-12026	NA	NA	C000423
X-12027	NA	NA	C000424
X-12063: ret for 63153	NA	NA	C000425
X-12093	NA	NA	C000426
X-12100	NA	NA	C000427
X-12101	NA	NA	C000428
X-12104	NA	NA	C000429
X-12111	NA	NA	C000430
X-12112	NA	NA	C000431
X-12117	NA	NA	C000432
X-12126	NA	NA	C000433
X-12127	NA	NA	C000434
X-12170: ret for 63057	NA	NA	C000435
X-12193	NA	NA	C000436
X-12199	NA	NA	C000437
X-12206	NA	NA	C000438
X-12212: ret for 63597	NA	NA	C000439
X-12216	NA	NA	C000440
X-12221	NA	NA	C000441
X-12230: ret for 63072	NA	NA	C000442
X-12261	NA	NA	C000443
X-12283	NA	NA	C000444
X-12306	NA	NA	C000445
X-12329	NA	NA	C000446
X-12407	NA	NA	C000447
X-12410	NA	NA	C000448
X-12411	NA	NA	C000449
X-12456	NA	NA	C000450
X-12462	NA	NA	C000451
X-12524: ret for 64328	NA	NA	C000452
X-12543	NA	NA	C000453
X-12544	NA	NA	C000454
X-12680	NA	NA	C000455
X-12701	NA	NA	C000456
X-12707	NA	NA	C000457
X-12714	NA	NA	C000458
X-12718	NA	NA	C000459
X-12726	NA	NA	C000460
X-12729	NA	NA	C000461
X-12730	NA	NA	C000462
X-12731	NA	NA	C000463
X-12738	NA	NA	C000464
X-12740	NA	NA	C000465
X-12742: ret for 63660	NA	NA	C000466
X-12753	NA	NA	C000467
X-12798	NA	NA	C000468
X-12812	NA	NA	C000469
X-12816	NA	NA	C000470
X-12818	NA	NA	C000471
X-12822	NA	NA	C000472
X-12830	NA	NA	C000473
X-12839	NA	NA	C000474
X-12844	NA	NA	C000475
X-12846: ret for 63251	NA	NA	C000476
X-12847	NA	NA	C000477
X-12849: ret for 64873	NA	NA	C000478
X-12851	NA	NA	C000479
X-12906	NA	NA	C000480
X-13255: ret for 63400	NA	NA	C000481
X-13431	NA	NA	C000482
X-13507	NA	NA	C000483
X-13553	NA	NA	C000484
X-13658	NA	NA	C000485
X-13684	NA	NA	C000486
X-13688	NA	NA	C000487
X-13726	NA	NA	C000488
X-13728	NA	NA	C000489
X-13729	NA	NA	C000490
X-13737	NA	NA	C000491
X-13835	NA	NA	C000492
X-13844	NA	NA	C000493
X-13846	NA	NA	C000494
X-13866	NA	NA	C000495
X-14056	NA	NA	C000496
X-14626: ret for 62889	NA	NA	C000497
X-14658: ret for 62890	NA	NA	C000498
X-14662: ret for 63731	NA	NA	C000499
X-14838: ret for 62946	NA	NA	C000500
X-14904	NA	NA	C000501
X-14908	NA	NA	C000502
X-14939	NA	NA	C000503
X-15245	NA	NA	C000504
X-15461	NA	NA	C000505
X-15469: ret for 64393	NA	NA	C000506
X-15486	NA	NA	C000507
X-15492: ret for 64411	NA	NA	C000508
X-15503	NA	NA	C000509
X-15666	NA	NA	C000510
X-15674	NA	NA	C000511
X-15728	NA	NA	C000512
X-16087	NA	NA	C000513
X-16124	NA	NA	C000514
X-16397	NA	NA	C000515
X-16570: ret for 64386	NA	NA	C000516
X-16576	NA	NA	C000517
X-16580	NA	NA	C000518
X-16649	NA	NA	C000519
X-16654: ret for 63688	NA	NA	C000520
X-16935	NA	NA	C000521
X-16938	NA	NA	C000522
X-16944	NA	NA	C000523
X-16946: ret for 64404	NA	NA	C000524
X-17010	NA	NA	C000525
X-17137	NA	NA	C000526
X-17145: ret for 63191	NA	NA	C000527
X-17146	NA	NA	C000528
X-17185: ret for 64579	NA	NA	C000529
X-17269	NA	NA	C000530
X-17299: ret for 62947	NA	NA	C000531
X-17325	NA	NA	C000532
X-17327: ret for 63658	NA	NA	C000533
X-17328	NA	NA	C000534
X-17335	NA	NA	C000535
X-17337: ret for 63613	NA	NA	C000536
X-17340: ret for 64591	NA	NA	C000537
X-17343	NA	NA	C000538
X-17346	NA	NA	C000539
X-17348	NA	NA	C000540
X-17351	NA	NA	C000541
X-17353	NA	NA	C000542
X-17354	NA	NA	C000543
X-17355	NA	NA	C000544
X-17357	NA	NA	C000545
X-17359: ret for 57699	NA	NA	C000546
X-17361	NA	NA	C000547
X-17367	NA	NA	C000548
X-17398	NA	NA	C000549
X-17438	NA	NA	C000550
X-17653	NA	NA	C000551
X-17654	NA	NA	C000552
X-17655	NA	NA	C000553
X-17676	NA	NA	C000554
